Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,188.59,0.01,0.42,35.05,5.78,2.81,2.98,0.0
2025-01-01 09:00:00,186.92,0.01,0.36,34.69,5.96,2.61,2.77,0.0
2025-01-01 10:00:00,186.92,0.01,0.33,33.97,5.96,2.45,2.59,0.0
2025-01-01 11:00:00,185.25,0.01,0.3,33.97,6.02,2.33,2.46,0.0
2025-01-01 12:00:00,185.25,0.01,0.27,34.33,5.9,2.12,2.23,0.0
2025-01-01 13:00:00,185.25,0.01,0.23,35.41,5.66,1.91,2.01,0.0
2025-01-01 14:00:00,185.25,0.01,0.19,36.84,5.48,1.73,1.82,0.0
2025-01-01 15:00:00,185.25,0.0,0.18,37.91,5.3,1.7,1.8,0.0
2025-01-01 16:00:00,186.92,0.0,0.19,38.27,5.07,1.74,1.85,0.0
2025-01-01 17:00:00,188.59,0.0,0.22,38.62,5.01,1.84,1.96,0.0
2025-01-01 18:00:00,188.59,0.0,0.27,38.62,4.89,1.96,2.11,0.0
2025-01-01 19:00:00,190.26,0.0,0.32,37.55,4.89,2.09,2.27,0.02
2025-01-01 20:00:00,188.59,0.0,0.36,36.12,5.01,2.2,2.43,0.06
2025-01-01 21:00:00,185.25,0.0,0.37,35.41,5.25,2.29,2.54,0.04
2025-01-01 22:00:00,183.58,0.0,0.37,35.05,5.19,2.34,2.6,0.0
2025-01-01 23:00:00,183.58,0.0,0.39,34.69,5.3,2.53,2.78,0.0
2025-01-02 00:00:00,183.58,0.0,0.44,33.97,5.42,2.84,3.06,0.0
2025-01-02 01:00:00,185.25,0.0,0.53,31.83,6.2,3.7,3.93,0.0
2025-01-02 02:00:00,186.92,0.0,0.63,30.04,6.68,4.64,4.9,0.0
2025-01-02 03:00:00,188.59,0.0,0.7,28.25,6.26,5.13,5.38,0.0
2025-01-02 04:00:00,190.26,0.0,0.72,26.82,5.78,5.19,5.44,0.0
