Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,867.84,1.59,16.45,55.07,2.95,43.08,47.45,57.76
2025-01-01 09:00:00,881.2,0.75,11.82,114.44,3.16,50.28,54.71,56.74
2025-01-01 10:00:00,881.2,0.3,7.8,141.62,3.13,52.39,56.7,52.69
2025-01-01 11:00:00,867.84,0.12,6.34,137.33,3.01,51.76,55.89,48.13
2025-01-01 12:00:00,854.49,0.04,6.17,114.44,2.68,50.21,53.88,42.05
2025-01-01 13:00:00,854.49,0.04,6.25,97.27,2.5,49.57,52.89,39.01
2025-01-01 14:00:00,867.84,0.04,6.51,85.83,2.47,49.09,52.23,37.49
2025-01-01 15:00:00,867.84,0.04,6.94,76.53,2.47,49.51,52.51,36.48
2025-01-01 16:00:00,894.55,0.02,7.8,67.95,2.53,52.03,55.0,36.48
2025-01-01 17:00:00,907.9,0.01,9.0,57.94,2.56,54.0,56.91,35.97
2025-01-01 18:00:00,854.49,0.0,9.77,47.21,2.41,50.35,53.0,31.41
2025-01-01 19:00:00,834.47,0.0,11.48,40.41,2.5,47.16,50.04,30.4
2025-01-01 20:00:00,854.49,0.0,13.54,35.41,2.71,47.07,50.19,31.92
2025-01-01 21:00:00,867.84,0.0,15.77,30.4,2.8,45.38,48.67,31.66
2025-01-01 22:00:00,854.49,0.0,17.65,25.39,2.71,41.85,45.17,29.64
2025-01-01 23:00:00,814.44,0.0,17.48,20.56,2.35,38.14,41.05,26.09
2025-01-02 00:00:00,747.68,0.0,15.08,16.63,1.82,34.08,36.35,22.29
2025-01-02 01:00:00,700.95,0.0,14.05,15.2,1.58,31.2,33.02,22.04
2025-01-02 02:00:00,680.92,0.01,13.88,14.84,1.48,29.19,30.98,22.55
2025-01-02 03:00:00,680.92,0.01,14.74,15.02,1.52,29.01,31.05,25.33
2025-01-02 04:00:00,700.95,0.01,15.77,14.66,1.62,29.68,31.98,28.88
2025-01-02 05:00:00,720.98,0.01,16.62,13.41,1.71,30.3,32.92,31.92
2025-01-02 06:00:00,727.65,0.02,17.31,10.91,1.74,30.15,33.15,32.42
2025-01-02 07:00:00,734.33,0.24,17.48,10.37,1.89,29.77,33.08,33.94
2025-01-02 08:00:00,720.98,0.8,16.28,19.49,2.06,30.38,33.73,34.45
2025-01-02 09:00:00,614.17,0.39,9.85,26.82,1.3,25.37,28.05,17.48
2025-01-02 10:00:00,560.76,0.29,7.03,28.61,1.04,22.63,25.19,11.91
2025-01-02 11:00:00,540.73,0.24,6.25,32.9,1.07,22.25,24.87,12.41
2025-01-02 12:00:00,534.06,0.19,6.25,42.2,1.16,22.09,24.47,14.44
2025-01-02 13:00:00,527.38,0.15,6.34,48.64,1.3,21.46,23.67,16.72
2025-01-02 14:00:00,534.06,0.13,6.43,51.5,1.45,20.83,23.04,18.24
2025-01-02 15:00:00,534.06,0.1,6.51,50.78,1.55,19.89,22.02,19.51
2025-01-02 16:00:00,540.73,0.05,7.28,46.49,1.7,20.49,22.65,21.53
2025-01-02 17:00:00,560.76,0.01,8.57,41.48,1.86,21.56,23.75,23.31
