Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,377.18,0.0,1.14,110.15,2.95,26.39,43.04,0.0
2025-01-01 09:00:00,367.16,0.01,1.26,111.58,2.62,27.87,44.61,0.0
2025-01-01 10:00:00,363.83,0.02,1.41,111.58,2.35,28.99,45.2,0.0
2025-01-01 11:00:00,363.83,0.03,1.54,110.15,2.21,30.01,45.85,0.0
2025-01-01 12:00:00,370.5,0.04,1.63,107.29,2.18,30.4,45.42,0.0
2025-01-01 13:00:00,373.84,0.04,1.67,107.29,2.12,30.37,44.28,0.0
2025-01-01 14:00:00,373.84,0.04,1.74,108.72,1.97,29.16,41.55,0.0
2025-01-01 15:00:00,373.84,0.03,1.8,110.15,1.8,29.81,42.44,0.0
2025-01-01 16:00:00,367.16,0.01,1.84,111.58,1.62,29.38,42.04,0.0
2025-01-01 17:00:00,357.15,0.0,1.8,113.01,1.39,28.19,39.57,0.0
2025-01-01 18:00:00,347.14,0.0,1.63,113.01,1.22,25.91,36.35,0.0
2025-01-01 19:00:00,340.46,0.0,1.41,111.58,1.16,25.05,35.87,0.0
2025-01-01 20:00:00,333.79,0.0,1.24,110.15,1.1,24.26,35.43,0.0
2025-01-01 21:00:00,327.11,0.0,1.16,108.72,1.0,23.11,34.52,0.0
2025-01-01 22:00:00,323.77,0.0,1.12,107.29,0.89,21.51,32.24,0.0
2025-01-01 23:00:00,313.76,0.0,1.09,104.43,0.8,19.59,29.98,0.0
2025-01-02 00:00:00,303.75,0.0,1.03,103.0,0.72,18.61,29.31,0.0
2025-01-02 01:00:00,300.41,0.0,0.96,104.43,0.69,18.1,29.45,0.0
2025-01-02 02:00:00,300.41,0.0,0.92,104.43,0.67,17.87,29.43,0.0
2025-01-02 03:00:00,300.41,0.0,0.89,104.43,0.66,17.81,29.59,0.0
2025-01-02 04:00:00,300.41,0.0,0.89,104.43,0.66,17.92,29.68,0.0
2025-01-02 05:00:00,300.41,0.0,0.88,103.0,0.64,16.9,28.37,0.0
2025-01-02 06:00:00,300.41,0.0,0.86,103.0,0.63,16.28,28.14,0.0
2025-01-02 07:00:00,303.75,0.0,0.91,101.57,0.66,16.26,28.6,0.0
2025-01-02 08:00:00,310.42,0.0,1.04,101.57,0.71,16.71,29.89,0.0
2025-01-02 09:00:00,317.1,0.01,1.17,103.0,0.73,17.56,29.81,0.0
2025-01-02 10:00:00,320.43,0.01,1.22,101.57,0.68,17.79,27.78,0.0
2025-01-02 11:00:00,320.43,0.02,1.25,100.14,0.58,17.37,25.77,0.0
2025-01-02 12:00:00,320.43,0.01,1.19,97.27,0.47,16.94,25.32,0.0
2025-01-02 13:00:00,320.43,0.02,1.15,97.27,0.45,17.13,26.23,0.0
2025-01-02 14:00:00,317.1,0.02,1.21,97.27,0.49,17.27,26.95,0.0
2025-01-02 15:00:00,313.76,0.01,1.29,94.41,0.48,16.62,26.21,0.0
2025-01-02 16:00:00,310.42,0.01,1.34,91.55,0.45,15.24,24.31,0.0
2025-01-02 17:00:00,307.08,0.0,1.36,90.12,0.42,14.16,22.72,0.0
2025-01-02 18:00:00,303.75,0.0,1.32,88.69,0.39,12.53,19.13,0.0
2025-01-02 19:00:00,300.41,0.0,1.22,87.98,0.37,11.58,17.12,0.0
2025-01-02 20:00:00,297.07,0.0,1.14,87.26,0.35,10.57,15.6,0.0
2025-01-02 21:00:00,293.73,0.0,1.06,87.26,0.33,9.66,14.16,0.0
2025-01-02 22:00:00,290.39,0.0,0.99,87.26,0.31,8.81,12.82,0.0
2025-01-02 23:00:00,290.39,0.0,0.91,87.98,0.29,8.0,11.68,0.0
2025-01-03 00:00:00,290.39,0.0,0.87,88.69,0.29,7.81,11.68,0.0
2025-01-03 01:00:00,287.06,0.0,0.86,88.69,0.31,7.87,12.27,0.0
2025-01-03 02:00:00,280.38,0.0,0.85,88.69,0.31,7.78,12.47,0.0
2025-01-03 03:00:00,273.7,0.0,0.84,88.69,0.31,7.71,12.51,0.0
2025-01-03 04:00:00,267.03,0.0,0.84,88.69,0.31,7.49,12.35,0.0
2025-01-03 05:00:00,267.03,0.0,0.85,88.69,0.31,7.31,12.35,0.0
2025-01-03 06:00:00,267.03,0.0,0.84,89.41,0.29,7.03,11.93,0.0
2025-01-03 07:00:00,270.37,0.0,0.85,89.41,0.26,6.63,11.22,0.0
2025-01-03 08:00:00,273.7,0.0,0.87,90.84,0.23,6.18,10.6,0.0
2025-01-03 09:00:00,270.37,0.0,0.86,92.98,0.21,5.95,10.36,0.0
2025-01-03 10:00:00,267.03,0.01,0.82,92.98,0.2,6.29,11.21,0.0
