Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,216.96,0.01,1.48,36.84,1.33,4.54,4.87,0.0
2025-01-01 09:00:00,216.96,0.02,1.54,36.84,1.33,3.98,4.3,0.0
2025-01-01 10:00:00,216.96,0.04,1.54,36.48,1.49,3.79,4.1,0.06
2025-01-01 11:00:00,220.3,0.07,1.71,35.41,1.82,4.13,4.44,0.14
2025-01-01 12:00:00,223.64,0.09,1.86,35.76,2.0,4.44,4.77,0.19
2025-01-01 13:00:00,230.31,0.08,1.95,35.05,1.88,4.69,5.08,0.28
2025-01-01 14:00:00,236.99,0.06,1.99,33.62,1.71,4.93,5.38,0.42
2025-01-01 15:00:00,236.99,0.05,1.95,33.97,1.58,4.87,5.32,0.44
2025-01-01 16:00:00,240.33,0.04,1.99,34.33,1.45,4.76,5.19,0.43
2025-01-01 17:00:00,247.0,0.02,2.12,33.97,1.28,4.69,5.11,0.42
2025-01-01 18:00:00,250.34,0.0,2.27,32.19,1.16,4.92,5.37,0.49
2025-01-01 19:00:00,250.34,0.0,2.38,31.47,1.22,5.23,5.67,0.48
2025-01-01 20:00:00,240.33,0.0,2.57,31.11,1.49,5.48,5.89,0.35
2025-01-01 21:00:00,236.99,0.0,2.7,30.4,1.7,5.77,6.21,0.3
2025-01-01 22:00:00,236.99,0.0,2.61,29.68,1.64,5.86,6.35,0.31
2025-01-01 23:00:00,236.99,0.0,2.48,29.33,1.49,5.76,6.26,0.3
2025-01-02 00:00:00,230.31,0.0,2.25,29.33,1.31,5.34,5.75,0.24
2025-01-02 01:00:00,226.97,0.0,1.97,28.97,1.13,4.86,5.19,0.21
2025-01-02 02:00:00,223.64,0.0,1.74,28.61,1.01,4.31,4.6,0.22
2025-01-02 03:00:00,220.3,0.0,1.59,28.61,1.01,3.68,3.95,0.19
2025-01-02 04:00:00,213.62,0.0,1.48,29.33,1.01,3.19,3.45,0.18
2025-01-02 05:00:00,211.95,0.0,1.34,30.4,0.97,2.76,3.01,0.17
2025-01-02 06:00:00,211.95,0.0,1.26,31.47,0.97,2.56,2.82,0.18
2025-01-02 07:00:00,210.29,0.0,1.27,32.19,1.04,2.42,2.7,0.16
2025-01-02 08:00:00,210.29,0.02,1.39,32.54,1.12,2.32,2.63,0.13
2025-01-02 09:00:00,211.95,0.08,1.26,32.54,1.12,2.25,2.58,0.15
2025-01-02 10:00:00,213.62,0.12,1.05,33.97,1.25,2.6,2.94,0.17
2025-01-02 11:00:00,216.96,0.13,0.87,38.62,1.46,3.39,3.73,0.16
2025-01-02 12:00:00,201.94,0.07,0.5,41.84,1.18,2.74,2.97,0.08
2025-01-02 13:00:00,200.27,0.06,0.41,42.92,1.04,2.76,2.98,0.09
2025-01-02 14:00:00,201.94,0.06,0.45,44.7,1.13,3.36,3.6,0.14
2025-01-02 15:00:00,205.28,0.06,0.59,46.49,1.33,3.86,4.14,0.18
2025-01-02 16:00:00,211.95,0.05,0.81,47.92,1.34,4.03,4.38,0.27
2025-01-02 17:00:00,220.3,0.02,1.08,47.21,1.1,3.65,4.05,0.38
2025-01-02 18:00:00,230.31,0.0,1.32,46.49,0.79,3.42,3.84,0.47
2025-01-02 19:00:00,236.99,0.0,1.39,47.92,0.57,3.36,3.75,0.4
2025-01-02 20:00:00,236.99,0.0,1.25,47.92,0.39,3.29,3.65,0.28
2025-01-02 21:00:00,233.65,0.0,1.01,47.21,0.28,3.23,3.57,0.2
2025-01-02 22:00:00,236.99,0.0,0.93,46.49,0.24,3.38,3.71,0.2
2025-01-02 23:00:00,240.33,0.0,1.0,45.42,0.24,3.57,3.9,0.26
2025-01-03 00:00:00,243.66,0.0,1.03,43.99,0.22,3.53,3.83,0.28
2025-01-03 01:00:00,243.66,0.0,1.03,43.27,0.2,3.43,3.73,0.28
2025-01-03 02:00:00,243.66,0.0,1.04,42.2,0.17,3.35,3.64,0.29
2025-01-03 03:00:00,240.33,0.0,0.94,41.84,0.15,3.14,3.42,0.23
2025-01-03 04:00:00,236.99,0.0,0.87,41.48,0.14,2.97,3.24,0.2
2025-01-03 05:00:00,236.99,0.0,0.93,41.13,0.17,3.01,3.29,0.26
2025-01-03 06:00:00,243.66,0.0,1.39,39.34,0.34,3.88,4.21,0.74
2025-01-03 07:00:00,247.0,0.01,1.71,38.27,0.58,4.86,5.22,0.73
2025-01-03 08:00:00,243.66,0.15,1.8,38.98,1.04,5.71,6.11,0.5
2025-01-03 09:00:00,243.66,0.22,1.76,43.27,1.43,6.14,6.58,0.43
2025-01-03 10:00:00,240.33,0.15,1.54,47.92,1.49,5.64,6.07,0.32
2025-01-03 11:00:00,233.65,0.08,1.39,50.78,1.49,5.29,5.7,0.24
2025-01-03 12:00:00,233.65,0.06,1.3,51.5,1.51,6.01,6.41,0.13
2025-01-03 13:00:00,233.65,0.08,1.14,54.36,1.34,6.59,6.97,0.07
2025-01-03 14:00:00,236.99,0.08,0.95,56.51,1.06,6.54,6.92,0.08
2025-01-03 15:00:00,240.33,0.07,0.89,58.65,0.8,6.46,6.87,0.1
2025-01-03 16:00:00,243.66,0.04,1.06,58.65,0.74,6.5,6.97,0.14
2025-01-03 17:00:00,250.34,0.01,1.48,56.51,0.78,6.47,7.02,0.22
2025-01-03 18:00:00,263.69,0.0,2.08,47.21,0.89,6.28,6.94,0.51
2025-01-03 19:00:00,270.37,0.0,2.4,36.84,1.01,5.87,6.53,0.66
2025-01-03 20:00:00,263.69,0.0,2.51,29.68,1.25,5.79,6.43,0.58
2025-01-03 21:00:00,260.35,0.0,2.61,25.03,1.7,6.41,7.05,0.45
2025-01-03 22:00:00,257.02,0.0,2.83,23.96,2.24,7.14,7.76,0.3
2025-01-03 23:00:00,253.68,0.0,2.96,24.32,2.56,7.66,8.23,0.16
2025-01-04 00:00:00,247.0,0.0,2.63,26.46,2.24,6.93,7.37,0.03
2025-01-04 01:00:00,250.34,0.0,2.25,27.18,1.51,6.35,6.79,0.11
2025-01-04 02:00:00,260.35,0.0,1.95,27.89,0.89,6.03,6.5,0.28
2025-01-04 03:00:00,267.03,0.0,1.76,28.97,0.57,5.71,6.23,0.43
2025-01-04 04:00:00,270.37,0.0,1.67,29.33,0.51,5.69,6.22,0.49
2025-01-04 05:00:00,260.35,0.0,1.63,28.97,0.6,5.65,6.15,0.46
2025-01-04 06:00:00,243.66,0.0,1.67,28.25,1.0,5.85,6.3,0.25
2025-01-04 07:00:00,226.97,0.02,1.78,28.25,1.45,6.19,6.61,0.0
2025-01-04 08:00:00,216.96,0.21,1.67,30.76,1.8,6.82,7.27,0.0
2025-01-04 09:00:00,216.96,0.28,1.5,36.48,2.0,7.65,8.17,0.0
2025-01-04 10:00:00,223.64,0.24,1.32,40.41,2.06,8.24,8.79,0.0
2025-01-04 11:00:00,233.65,0.19,1.12,40.05,2.03,8.99,9.53,0.0
2025-01-04 12:00:00,216.96,0.09,0.6,38.98,1.49,7.02,7.33,0.0
2025-01-04 13:00:00,208.62,0.06,0.49,37.55,1.27,6.41,6.65,0.0
2025-01-04 14:00:00,208.62,0.06,0.54,36.48,1.21,5.99,6.19,0.0
2025-01-04 15:00:00,205.28,0.05,0.58,36.12,1.09,5.05,5.23,0.0
2025-01-04 16:00:00,201.94,0.04,0.61,36.12,0.98,3.99,4.16,0.0
2025-01-04 17:00:00,198.6,0.03,0.66,36.48,0.89,3.1,3.27,0.0
2025-01-04 18:00:00,203.61,0.0,0.99,36.12,1.12,3.58,3.83,0.0
2025-01-04 19:00:00,210.29,0.0,1.41,35.41,1.53,4.6,4.94,0.0
2025-01-04 20:00:00,213.62,0.0,1.65,35.76,1.71,5.2,5.59,0.0
2025-01-04 21:00:00,213.62,0.0,1.76,34.69,1.71,5.52,5.92,0.0
2025-01-04 22:00:00,220.3,0.0,1.76,33.97,1.71,6.17,6.56,0.0
2025-01-04 23:00:00,226.97,0.0,1.74,33.26,1.55,6.74,7.11,0.0
2025-01-05 00:00:00,230.31,0.0,1.63,32.9,1.18,6.18,6.48,0.0
2025-01-05 01:00:00,230.31,0.0,1.44,32.9,0.88,5.21,5.45,0.0
2025-01-05 02:00:00,220.3,0.0,1.18,33.62,0.69,4.1,4.3,0.05
2025-01-05 03:00:00,211.95,0.0,0.96,33.97,0.63,3.18,3.38,0.08
2025-01-05 04:00:00,208.62,0.0,0.87,33.62,0.63,2.88,3.11,0.1
2025-01-05 05:00:00,206.95,0.0,0.79,32.9,0.64,2.72,2.96,0.09
2025-01-05 06:00:00,206.95,0.0,0.8,31.83,0.69,2.76,3.02,0.08
2025-01-05 07:00:00,206.95,0.0,0.93,30.76,0.83,3.01,3.3,0.01
2025-01-05 08:00:00,206.95,0.02,1.1,30.4,1.01,3.53,3.87,0.0
2025-01-05 09:00:00,206.95,0.05,1.0,31.83,1.1,3.73,4.08,0.0
2025-01-05 10:00:00,208.62,0.09,0.97,34.33,1.36,3.94,4.27,0.02
2025-01-05 11:00:00,210.29,0.13,1.08,37.55,1.71,4.02,4.35,0.11
2025-01-05 12:00:00,203.61,0.12,0.92,41.13,1.62,3.47,3.8,0.12
2025-01-05 13:00:00,200.27,0.11,0.76,42.2,1.43,3.17,3.51,0.1
2025-01-05 14:00:00,198.6,0.1,0.71,42.2,1.49,3.35,3.66,0.09
2025-01-05 15:00:00,198.6,0.08,0.69,42.2,1.55,3.64,3.95,0.05
2025-01-05 16:00:00,196.93,0.05,0.73,41.48,1.51,3.47,3.76,0.02
2025-01-05 17:00:00,195.26,0.02,0.82,40.05,1.4,3.08,3.34,0.01
2025-01-05 18:00:00,196.93,0.0,1.03,38.62,1.49,3.17,3.44,0.04
2025-01-05 19:00:00,198.6,0.0,1.18,38.27,1.73,3.45,3.76,0.02
2025-01-05 20:00:00,196.93,0.0,1.11,39.34,1.77,3.38,3.72,0.0
2025-01-05 21:00:00,196.93,0.0,1.08,38.98,1.7,3.26,3.63,0.0
2025-01-05 22:00:00,198.6,0.0,1.1,38.98,1.68,3.24,3.63,0.0
2025-01-05 23:00:00,198.6,0.0,1.11,38.98,1.61,3.16,3.58,0.0
2025-01-06 00:00:00,196.93,0.0,1.04,38.98,1.45,2.95,3.35,0.0
2025-01-06 01:00:00,195.26,0.0,0.99,38.62,1.34,2.93,3.34,0.0
2025-01-06 02:00:00,195.26,0.0,0.96,37.91,1.28,2.97,3.37,0.0
2025-01-06 03:00:00,195.26,0.0,0.93,37.91,1.28,2.88,3.29,0.0
2025-01-06 04:00:00,195.26,0.0,0.93,37.91,1.24,2.94,3.37,0.0
2025-01-06 05:00:00,195.26,0.0,0.92,37.55,1.18,3.01,3.43,0.0
2025-01-06 06:00:00,196.93,0.0,0.94,36.84,1.16,3.12,3.53,0.0
2025-01-06 07:00:00,196.93,0.01,1.01,36.84,1.28,3.17,3.6,0.0
2025-01-06 08:00:00,198.6,0.1,0.93,37.91,1.49,3.4,3.88,0.0
2025-01-06 09:00:00,201.94,0.13,0.82,40.41,1.7,3.82,4.37,0.0
2025-01-06 10:00:00,208.62,0.13,0.73,43.27,1.85,4.67,5.33,0.0
2025-01-06 11:00:00,213.62,0.1,0.58,47.92,1.73,5.55,6.31,0.0
2025-01-06 12:00:00,216.96,0.06,0.39,52.93,1.45,6.26,7.08,0.0
2025-01-06 13:00:00,223.64,0.05,0.33,55.07,1.28,7.04,7.87,0.0
2025-01-06 14:00:00,223.64,0.04,0.33,55.79,1.16,8.01,8.87,0.0
2025-01-06 15:00:00,223.64,0.04,0.33,55.07,0.92,7.93,8.81,0.0
2025-01-06 16:00:00,216.96,0.03,0.36,52.93,0.62,6.34,7.21,0.0
2025-01-06 17:00:00,211.95,0.02,0.44,50.78,0.41,4.65,5.52,0.0
2025-01-06 18:00:00,216.96,0.0,0.65,49.35,0.42,4.3,5.29,0.07
2025-01-06 19:00:00,220.3,0.0,0.86,48.64,0.58,4.41,5.57,0.15
