Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,333.79,1.12,4.8,6.97,0.97,5.53,6.88,2.41
2025-01-01 09:00:00,290.39,0.67,4.16,16.09,0.8,3.68,4.71,1.76
2025-01-01 10:00:00,263.69,0.4,3.38,22.53,0.71,2.71,3.63,1.66
2025-01-01 11:00:00,253.68,0.28,2.91,27.54,0.66,2.37,3.21,1.65
2025-01-01 12:00:00,253.68,0.16,2.87,30.04,0.66,2.3,3.1,1.68
2025-01-01 13:00:00,253.68,0.12,2.87,30.04,0.67,2.32,3.11,1.66
2025-01-01 14:00:00,253.68,0.1,2.74,29.68,0.66,2.23,2.98,1.58
2025-01-01 15:00:00,253.68,0.08,2.91,27.54,0.7,2.26,3.02,1.61
2025-01-01 16:00:00,263.69,0.07,3.56,23.96,0.8,2.59,3.44,1.8
2025-01-01 17:00:00,280.38,0.03,4.71,20.21,0.97,3.11,4.07,2.03
2025-01-01 18:00:00,317.1,0.02,6.85,13.77,1.3,4.43,5.72,2.75
2025-01-01 19:00:00,367.16,0.11,8.83,7.96,1.64,6.48,8.31,3.89
2025-01-01 20:00:00,403.88,0.23,9.77,5.14,1.86,8.46,10.76,5.13
2025-01-01 21:00:00,420.57,0.29,9.42,3.84,1.85,9.86,12.57,5.7
2025-01-01 22:00:00,420.57,0.32,7.54,3.17,1.42,10.51,13.39,4.31
2025-01-01 23:00:00,407.22,0.34,5.91,2.95,1.04,10.44,13.16,3.01
2025-01-02 00:00:00,387.19,0.31,4.76,2.86,0.74,9.95,12.17,2.34
2025-01-02 01:00:00,363.83,0.23,3.77,3.22,0.55,9.18,10.94,2.22
2025-01-02 02:00:00,343.8,0.17,3.21,3.76,0.47,8.47,9.88,2.15
2025-01-02 03:00:00,347.14,0.14,3.43,4.07,0.45,8.19,9.46,2.12
2025-01-02 04:00:00,353.81,0.15,3.73,3.93,0.43,8.07,9.3,2.09
2025-01-02 05:00:00,353.81,0.15,3.81,3.93,0.42,7.67,8.85,2.01
2025-01-02 06:00:00,337.12,0.13,3.68,5.01,0.44,6.41,7.5,1.99
2025-01-02 07:00:00,320.43,0.25,4.11,5.59,0.67,5.48,6.76,2.28
2025-01-02 08:00:00,317.1,0.66,4.93,7.06,1.03,5.0,6.54,2.63
2025-01-02 09:00:00,280.38,0.4,4.5,14.48,0.94,3.34,4.6,2.09
2025-01-02 10:00:00,250.34,0.22,3.47,19.49,0.72,2.19,3.14,1.5
2025-01-02 11:00:00,233.65,0.15,2.91,23.25,0.6,1.57,2.28,1.19
2025-01-02 12:00:00,220.3,0.11,2.33,27.54,0.47,1.1,1.56,0.88
2025-01-02 13:00:00,216.96,0.09,2.12,27.89,0.42,1.0,1.38,0.82
2025-01-02 14:00:00,211.95,0.08,1.95,27.18,0.38,0.93,1.25,0.78
2025-01-02 15:00:00,216.96,0.12,2.25,24.32,0.47,1.11,1.51,1.03
2025-01-02 16:00:00,236.99,0.19,3.17,21.46,0.66,1.63,2.22,1.49
2025-01-02 17:00:00,253.68,0.16,4.46,20.03,0.89,2.19,2.94,1.92
2025-01-02 18:00:00,273.7,0.03,6.08,16.27,1.15,2.87,3.93,2.47
2025-01-02 19:00:00,297.07,0.06,6.68,11.44,1.25,3.86,5.37,2.72
2025-01-02 20:00:00,313.76,0.13,6.25,8.4,1.18,4.74,6.66,2.63
2025-01-02 21:00:00,320.43,0.18,5.36,6.71,1.03,5.21,7.3,2.5
2025-01-02 22:00:00,323.77,0.28,4.84,5.14,0.98,5.62,7.85,2.72
2025-01-02 23:00:00,330.45,0.4,4.76,4.02,0.97,6.08,8.18,3.04
2025-01-03 00:00:00,343.8,0.36,5.74,4.34,1.18,6.52,8.28,5.32
2025-01-03 01:00:00,357.15,0.21,6.85,5.81,1.4,6.9,8.46,8.11
2025-01-03 02:00:00,370.5,0.14,7.2,6.97,1.45,7.19,8.65,9.88
2025-01-03 03:00:00,383.85,0.12,7.54,7.51,1.51,7.68,9.1,11.4
2025-01-03 04:00:00,400.54,0.12,7.88,7.6,1.56,8.26,9.68,12.79
2025-01-03 05:00:00,407.22,0.14,7.8,7.24,1.56,8.68,10.05,13.17
2025-01-03 06:00:00,397.21,0.21,6.77,5.99,1.45,8.8,10.24,11.91
2025-01-03 07:00:00,403.88,0.91,6.43,4.38,1.62,9.59,11.47,10.01
2025-01-03 08:00:00,423.91,2.77,5.74,5.99,1.89,10.44,12.69,7.92
2025-01-03 09:00:00,370.5,1.58,5.48,12.7,1.31,7.67,9.5,3.67
2025-01-03 10:00:00,317.1,0.57,4.41,18.95,0.9,5.27,6.73,2.09
2025-01-03 11:00:00,287.06,0.17,3.47,25.39,0.73,4.09,5.31,1.73
2025-01-03 12:00:00,293.73,0.08,3.64,25.03,1.04,4.56,5.87,1.96
2025-01-03 13:00:00,327.11,0.19,4.58,20.74,1.28,6.12,7.82,2.53
2025-01-03 14:00:00,340.46,0.26,5.18,23.6,1.4,6.75,8.63,3.42
2025-01-03 15:00:00,343.8,0.41,5.74,32.9,1.68,7.02,8.92,4.81
2025-01-03 16:00:00,343.8,0.48,5.48,41.13,1.67,7.12,8.97,4.62
2025-01-03 17:00:00,333.79,0.34,5.83,41.48,1.61,6.64,8.36,3.86
2025-01-03 18:00:00,323.77,0.02,6.6,32.54,1.56,5.75,7.47,3.2
2025-01-03 19:00:00,330.45,0.01,7.2,20.74,1.51,5.92,7.96,2.88
2025-01-03 20:00:00,343.8,0.05,7.2,12.52,1.34,6.43,8.75,2.53
2025-01-03 21:00:00,350.48,0.13,6.51,7.6,1.15,6.77,9.18,2.41
2025-01-03 22:00:00,357.15,0.24,6.08,5.28,1.1,7.21,9.68,2.75
2025-01-03 23:00:00,363.83,0.37,5.91,3.98,1.12,7.74,10.24,3.42
2025-01-04 00:00:00,370.5,0.43,6.17,3.26,1.15,8.34,10.76,4.75
2025-01-04 01:00:00,373.84,0.3,6.51,3.8,1.15,8.69,10.95,6.59
2025-01-04 02:00:00,370.5,0.18,6.68,5.32,1.18,8.8,10.87,8.36
2025-01-04 03:00:00,377.18,0.11,6.94,7.15,1.24,8.99,10.95,10.13
2025-01-04 04:00:00,373.84,0.07,6.77,8.67,1.22,8.89,10.74,10.77
2025-01-04 05:00:00,360.49,0.07,6.17,9.48,1.12,8.54,10.27,10.26
2025-01-04 06:00:00,333.79,0.08,4.93,9.48,0.92,7.61,9.15,8.11
2025-01-04 07:00:00,323.77,0.48,4.03,8.76,0.98,7.15,8.74,6.21
2025-01-04 08:00:00,333.79,1.7,3.26,12.52,1.21,7.53,9.36,5.07
2025-01-04 09:00:00,300.41,0.99,2.87,26.11,0.92,5.96,7.5,2.85
2025-01-04 10:00:00,277.04,0.43,1.99,35.05,0.67,4.8,6.05,1.79
2025-01-04 11:00:00,277.04,0.24,1.54,42.2,0.6,4.68,5.78,1.49
2025-01-04 12:00:00,253.68,0.12,1.02,50.07,0.48,3.8,4.62,1.01
2025-01-04 13:00:00,247.0,0.08,1.02,49.35,0.47,3.5,4.26,0.97
2025-01-04 14:00:00,240.33,0.06,1.14,45.42,0.45,2.98,3.64,0.98
2025-01-04 15:00:00,243.66,0.06,1.82,36.48,0.53,2.91,3.62,1.25
2025-01-04 16:00:00,260.35,0.07,2.96,27.89,0.69,3.39,4.28,1.66
2025-01-04 17:00:00,280.38,0.04,4.37,22.89,0.91,3.9,4.93,2.22
2025-01-04 18:00:00,290.39,0.01,5.4,18.95,1.09,4.23,5.39,2.82
2025-01-04 19:00:00,303.75,0.03,5.83,13.77,1.1,4.83,6.22,2.91
2025-01-04 20:00:00,317.1,0.06,5.65,10.64,1.01,5.54,7.17,2.69
2025-01-04 21:00:00,327.11,0.1,5.23,8.58,0.89,6.15,8.0,2.56
2025-01-04 22:00:00,333.79,0.14,4.84,7.15,0.82,6.71,8.71,2.56
2025-01-04 23:00:00,337.12,0.17,4.41,6.26,0.74,7.08,9.04,2.53
2025-01-05 00:00:00,337.12,0.2,4.07,5.28,0.62,7.39,9.15,2.47
2025-01-05 01:00:00,337.12,0.19,3.77,4.83,0.51,7.7,9.25,2.37
2025-01-05 02:00:00,330.45,0.15,3.56,5.54,0.44,7.48,8.81,2.22
2025-01-05 03:00:00,323.77,0.14,3.38,6.17,0.41,6.99,8.2,2.18
2025-01-05 04:00:00,317.1,0.15,3.26,6.17,0.39,6.45,7.61,2.25
2025-01-05 05:00:00,310.42,0.18,3.17,6.17,0.4,5.95,7.08,2.37
2025-01-05 06:00:00,293.73,0.17,3.04,6.88,0.42,5.08,6.16,2.44
