Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,747.68,3.21,23.99,8.4,18.36,15.15,28.5,7.09
2025-01-01 09:00:00,467.3,0.6,13.19,36.12,11.44,6.79,14.43,3.89
2025-01-01 10:00:00,370.5,0.48,7.97,47.21,7.75,4.24,9.68,2.88
2025-01-01 11:00:00,337.12,0.45,6.34,51.5,6.68,3.4,7.96,2.5
2025-01-01 12:00:00,333.79,0.51,6.17,54.36,6.79,3.45,7.49,2.5
2025-01-01 13:00:00,347.14,0.54,6.6,55.79,7.15,3.95,8.22,2.6
2025-01-01 14:00:00,363.83,0.47,7.2,55.07,7.39,4.65,9.2,2.66
2025-01-01 15:00:00,380.52,0.17,8.57,52.21,8.23,5.56,10.71,2.91
2025-01-01 16:00:00,390.53,0.06,8.91,52.93,8.34,5.85,11.32,2.88
2025-01-01 17:00:00,403.88,0.01,9.25,53.64,8.11,5.6,11.04,2.75
2025-01-01 18:00:00,547.41,0.0,15.77,41.84,11.8,8.28,16.48,4.31
2025-01-01 19:00:00,700.95,0.01,21.25,29.68,14.9,12.37,23.65,5.64
2025-01-01 20:00:00,761.03,0.02,22.96,24.32,15.74,15.5,28.35,6.08
2025-01-01 21:00:00,781.06,0.05,21.93,21.1,14.66,17.7,31.52,5.89
2025-01-01 22:00:00,801.09,0.12,21.59,16.81,13.47,19.58,34.79,5.76
2025-01-01 23:00:00,814.44,0.28,21.93,12.34,12.76,20.47,36.59,5.45
2025-01-02 00:00:00,814.44,0.43,22.28,8.85,12.04,20.04,36.12,4.81
2025-01-02 01:00:00,754.36,0.41,20.22,8.14,10.85,18.45,34.04,4.37
2025-01-02 02:00:00,660.9,0.27,17.14,9.75,9.54,16.3,31.27,4.02
2025-01-02 03:00:00,594.14,0.19,15.94,11.44,8.94,14.87,28.29,3.83
2025-01-02 04:00:00,567.44,0.18,15.94,11.8,8.94,14.48,26.48,3.8
2025-01-02 05:00:00,560.76,0.22,16.28,11.35,9.3,14.42,25.94,3.77
2025-01-02 06:00:00,560.76,0.28,16.11,10.91,9.78,13.8,25.77,3.83
2025-01-02 07:00:00,667.57,0.95,20.39,6.97,12.52,15.7,29.28,4.81
2025-01-02 08:00:00,867.84,4.81,25.7,3.49,17.64,19.2,34.87,6.27
2025-01-02 09:00:00,534.06,0.98,15.59,35.41,13.47,8.17,18.92,4.18
2025-01-02 10:00:00,440.6,0.87,10.28,47.92,10.37,5.28,15.21,3.64
2025-01-02 11:00:00,400.54,0.82,8.23,55.07,9.06,4.27,13.73,3.39
2025-01-02 12:00:00,383.85,0.65,7.97,57.94,9.06,3.95,11.68,3.39
2025-01-02 13:00:00,383.85,0.42,8.83,52.93,9.3,3.87,10.78,3.51
2025-01-02 14:00:00,387.19,0.19,9.85,45.78,9.54,3.87,10.56,3.61
2025-01-02 15:00:00,540.73,0.54,18.34,35.05,14.78,6.9,15.1,6.08
2025-01-02 16:00:00,854.49,1.62,33.59,22.35,21.46,13.61,25.2,9.75
2025-01-02 17:00:00,1214.98,3.49,49.35,8.76,26.46,21.02,35.66,12.03
2025-01-02 18:00:00,1415.25,6.98,54.15,1.16,27.66,25.66,42.06,12.54
2025-01-02 19:00:00,1428.6,8.49,50.72,0.36,25.51,28.74,45.85,11.15
2025-01-02 20:00:00,1388.55,7.26,47.98,0.45,22.65,30.79,47.44,9.63
2025-01-02 21:00:00,1455.31,10.39,42.5,0.17,20.03,37.12,54.94,9.75
2025-01-02 22:00:00,1708.98,18.55,37.01,0.01,20.27,49.31,70.38,12.29
2025-01-02 23:00:00,1922.61,27.05,32.9,0.0,21.93,59.28,81.75,15.96
2025-01-03 00:00:00,2109.53,34.87,31.19,0.0,22.41,66.31,86.68,16.97
2025-01-03 01:00:00,2243.04,39.34,29.47,0.0,20.03,71.67,89.01,11.53
2025-01-03 02:00:00,2243.04,36.66,29.47,0.0,18.84,70.54,85.78,7.85
