Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,427.25,0.86,8.23,28.97,2.47,12.18,14.62,6.84
2025-01-01 09:00:00,420.57,0.95,7.2,40.41,2.77,11.93,14.47,6.65
2025-01-01 10:00:00,407.22,0.56,6.25,51.5,2.86,11.27,13.82,5.76
2025-01-01 11:00:00,383.85,0.32,5.44,54.36,2.83,9.23,11.7,4.69
2025-01-01 12:00:00,330.45,0.21,4.46,52.93,2.41,6.37,8.5,3.48
2025-01-01 13:00:00,287.06,0.15,3.68,50.78,1.88,4.51,6.12,2.63
2025-01-01 14:00:00,277.04,0.14,3.77,50.07,1.8,4.61,5.86,2.28
2025-01-01 15:00:00,283.72,0.13,3.98,50.07,1.91,5.37,6.42,2.15
2025-01-01 16:00:00,303.75,0.08,5.01,47.21,2.12,6.18,7.31,2.91
2025-01-01 17:00:00,340.46,0.03,7.03,42.56,2.53,6.88,8.18,4.05
2025-01-01 18:00:00,417.23,0.0,11.31,36.84,3.31,8.58,10.14,6.46
2025-01-01 19:00:00,467.3,0.0,13.88,32.19,3.58,9.55,11.26,7.03
2025-01-01 20:00:00,453.95,0.0,12.68,30.04,3.16,8.68,10.32,5.7
2025-01-01 21:00:00,453.95,0.0,12.85,28.61,2.92,8.69,10.27,5.83
2025-01-01 22:00:00,480.65,0.0,14.05,26.11,2.86,9.61,11.3,6.27
2025-01-01 23:00:00,460.62,0.0,12.85,25.39,2.5,9.15,10.75,5.38
2025-01-02 00:00:00,380.52,0.0,8.57,28.97,1.97,6.79,8.04,3.45
2025-01-02 01:00:00,373.84,0.0,8.23,28.61,1.88,6.9,8.14,3.86
2025-01-02 02:00:00,387.19,0.0,8.65,26.82,1.86,7.77,9.09,4.69
2025-01-02 03:00:00,370.5,0.0,7.8,26.82,1.68,7.47,8.73,4.12
2025-01-02 04:00:00,343.8,0.0,6.6,27.18,1.49,6.63,7.85,3.61
2025-01-02 05:00:00,330.45,0.0,6.0,27.18,1.43,6.42,7.68,3.58
2025-01-02 06:00:00,343.8,0.0,6.51,26.11,1.61,7.29,8.73,4.56
2025-01-02 07:00:00,337.12,0.09,6.08,26.11,1.74,6.94,8.51,4.24
2025-01-02 08:00:00,310.42,0.5,4.16,30.04,1.68,5.57,7.19,2.94
2025-01-02 09:00:00,313.76,0.57,3.64,40.41,1.77,5.74,7.53,3.13
2025-01-02 10:00:00,330.45,0.45,3.68,52.93,2.0,6.81,8.92,3.58
2025-01-02 11:00:00,320.43,0.29,3.04,60.8,2.09,6.41,8.54,3.32
2025-01-02 12:00:00,280.38,0.19,2.25,60.8,1.97,4.17,6.12,2.6
2025-01-02 13:00:00,257.02,0.17,1.91,58.65,1.79,2.9,4.6,2.22
2025-01-02 14:00:00,260.35,0.2,2.03,58.65,1.8,3.15,4.57,2.22
2025-01-02 15:00:00,267.03,0.19,2.38,60.08,1.88,3.95,5.12,2.25
2025-01-02 16:00:00,280.38,0.14,3.04,60.08,2.0,4.71,5.87,2.53
2025-01-02 17:00:00,293.73,0.05,3.9,58.65,2.21,5.32,6.6,2.98
2025-01-02 18:00:00,307.08,0.0,4.41,56.51,2.32,5.84,7.33,3.51
2025-01-02 19:00:00,303.75,0.0,4.28,55.07,2.06,5.89,7.5,3.13
2025-01-02 20:00:00,280.38,0.0,3.56,53.64,1.51,5.24,6.7,2.12
2025-01-02 21:00:00,260.35,0.0,3.0,52.21,1.12,4.49,5.48,1.2
2025-01-02 22:00:00,260.35,0.0,3.26,50.07,1.04,4.25,5.09,1.09
2025-01-02 23:00:00,267.03,0.0,3.6,47.92,1.04,4.21,5.03,1.2
2025-01-03 00:00:00,273.7,0.0,3.9,45.78,1.01,4.22,5.04,1.33
2025-01-03 01:00:00,290.39,0.0,4.41,42.92,1.04,4.75,5.67,1.69
2025-01-03 02:00:00,323.77,0.0,5.27,38.98,1.13,6.22,7.29,2.31
2025-01-03 03:00:00,343.8,0.0,5.91,36.12,1.24,7.1,8.41,2.6
2025-01-03 04:00:00,353.81,0.0,6.25,33.97,1.36,7.41,8.93,2.69
2025-01-03 05:00:00,360.49,0.0,6.34,32.19,1.39,7.86,9.54,2.72
2025-01-03 06:00:00,380.52,0.0,6.43,31.11,1.49,9.09,10.9,3.17
2025-01-03 07:00:00,400.54,0.05,7.03,29.33,2.0,10.11,12.22,3.42
2025-01-03 08:00:00,420.57,0.44,7.28,28.61,2.74,10.74,13.27,3.39
