Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,380.52,1.41,7.8,6.08,1.76,6.94,8.54,5.76
2025-01-01 09:00:00,403.88,1.7,10.62,6.44,2.29,7.33,9.03,6.65
2025-01-01 10:00:00,383.85,1.08,10.11,9.39,1.83,6.5,7.96,4.81
2025-01-01 11:00:00,337.12,0.47,7.54,16.99,1.24,4.89,5.94,3.1
2025-01-01 12:00:00,280.38,0.21,4.58,26.82,0.78,3.15,3.76,1.99
2025-01-01 13:00:00,260.35,0.16,3.73,30.76,0.7,2.59,3.09,1.85
2025-01-01 14:00:00,243.66,0.13,3.34,32.54,0.65,2.01,2.43,1.74
2025-01-01 15:00:00,236.99,0.14,3.26,32.54,0.63,1.6,1.97,1.69
2025-01-01 16:00:00,243.66,0.1,4.11,29.33,0.74,1.61,2.02,1.87
2025-01-01 17:00:00,257.02,0.04,5.65,25.39,0.95,1.84,2.32,2.15
2025-01-01 18:00:00,277.04,0.02,7.37,20.92,1.18,2.23,2.84,2.56
2025-01-01 19:00:00,303.75,0.04,8.48,16.63,1.3,2.95,3.78,2.98
2025-01-01 20:00:00,330.45,0.07,8.91,13.05,1.27,3.85,4.94,3.23
2025-01-01 21:00:00,343.8,0.09,8.48,11.09,1.15,4.54,5.77,3.23
2025-01-01 22:00:00,347.14,0.08,7.88,10.82,1.03,4.89,6.14,3.13
2025-01-01 23:00:00,347.14,0.07,7.54,11.27,0.95,5.09,6.26,2.98
2025-01-02 00:00:00,340.46,0.05,7.03,12.16,0.83,5.14,6.12,2.79
2025-01-02 01:00:00,337.12,0.03,6.43,12.7,0.72,5.31,6.19,2.72
2025-01-02 02:00:00,333.79,0.02,5.91,12.52,0.66,5.56,6.4,2.72
2025-01-02 03:00:00,330.45,0.02,5.65,12.52,0.64,5.8,6.66,2.69
2025-01-02 04:00:00,323.77,0.02,5.23,13.23,0.63,5.62,6.45,2.34
2025-01-02 05:00:00,297.07,0.01,4.54,15.56,0.6,4.75,5.43,1.92
2025-01-02 06:00:00,267.03,0.0,3.68,18.6,0.54,3.41,3.93,1.58
2025-01-02 07:00:00,253.68,0.02,3.56,18.95,0.55,2.71,3.24,1.5
2025-01-02 08:00:00,250.34,0.19,4.07,18.78,0.69,2.31,2.88,1.47
2025-01-02 09:00:00,243.66,0.32,4.11,20.21,0.71,1.85,2.35,1.31
2025-01-02 10:00:00,230.31,0.31,3.43,23.25,0.63,1.48,1.91,1.28
2025-01-02 11:00:00,220.3,0.25,2.68,27.89,0.55,1.27,1.66,1.31
2025-01-02 12:00:00,216.96,0.19,2.27,31.83,0.5,1.18,1.52,1.36
2025-01-02 13:00:00,216.96,0.18,2.33,32.9,0.51,1.15,1.48,1.42
2025-01-02 14:00:00,216.96,0.2,2.46,32.9,0.53,1.11,1.43,1.49
2025-01-02 15:00:00,216.96,0.18,2.57,32.54,0.54,1.07,1.37,1.47
2025-01-02 16:00:00,220.3,0.12,3.0,30.76,0.59,1.09,1.41,1.46
2025-01-02 17:00:00,226.97,0.05,3.9,28.97,0.7,1.2,1.55,1.46
2025-01-02 18:00:00,240.33,0.01,5.1,25.75,0.89,1.47,1.94,1.66
2025-01-02 19:00:00,267.03,0.01,6.43,21.46,1.07,2.13,2.89,1.99
2025-01-02 20:00:00,290.39,0.02,7.2,17.88,1.1,3.02,4.12,2.15
2025-01-02 21:00:00,310.42,0.04,7.28,14.31,1.04,3.91,5.26,2.34
2025-01-02 22:00:00,330.45,0.09,7.11,10.64,1.0,4.71,6.27,2.79
2025-01-02 23:00:00,340.46,0.17,7.11,8.14,1.0,5.29,6.93,3.39
2025-01-03 00:00:00,350.48,0.2,6.94,6.79,0.94,5.69,7.23,4.02
2025-01-03 01:00:00,350.48,0.21,6.34,5.68,0.8,5.89,7.3,4.12
2025-01-03 02:00:00,350.48,0.25,5.65,4.6,0.67,6.01,7.34,4.05
2025-01-03 03:00:00,360.49,0.37,5.4,3.26,0.66,6.63,8.0,4.62
2025-01-03 04:00:00,380.52,0.52,5.74,2.24,0.75,7.68,9.15,6.27
2025-01-03 05:00:00,403.88,0.66,6.43,1.77,0.92,8.65,10.08,8.61
2025-01-03 06:00:00,407.22,0.61,7.45,2.46,1.15,8.75,10.05,10.77
