Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,243.66,0.06,2.21,38.27,0.8,3.41,4.26,0.9
2025-01-01 09:00:00,243.66,0.09,2.12,39.34,0.86,3.43,4.44,0.83
2025-01-01 10:00:00,240.33,0.1,2.21,40.77,1.13,3.57,4.85,0.74
2025-01-01 11:00:00,236.99,0.11,2.18,41.48,1.46,3.57,4.91,0.7
2025-01-01 12:00:00,220.3,0.08,1.69,42.56,1.27,2.45,3.19,0.53
2025-01-01 13:00:00,213.62,0.06,1.37,43.27,1.0,1.83,2.34,0.46
2025-01-01 14:00:00,216.96,0.07,1.67,43.99,1.16,2.02,2.57,0.45
2025-01-01 15:00:00,223.64,0.07,1.99,45.42,1.27,2.28,2.82,0.44
2025-01-01 16:00:00,226.97,0.06,2.01,47.92,1.13,2.51,3.08,0.45
2025-01-01 17:00:00,226.97,0.03,2.1,48.64,1.07,2.75,3.39,0.48
2025-01-01 18:00:00,233.65,0.0,2.48,47.21,1.28,3.46,4.48,0.76
2025-01-01 19:00:00,243.66,0.0,2.78,45.78,1.3,4.36,5.56,1.01
2025-01-01 20:00:00,250.34,0.0,2.78,45.42,1.01,4.87,5.85,1.04
2025-01-01 21:00:00,250.34,0.0,2.68,45.78,0.81,4.99,5.77,0.92
2025-01-01 22:00:00,247.0,0.0,2.55,47.21,0.75,4.86,5.52,0.74
2025-01-01 23:00:00,240.33,0.0,2.36,47.92,0.69,4.59,5.11,0.58
2025-01-02 00:00:00,230.31,0.0,1.91,47.92,0.6,3.47,3.84,0.47
2025-01-02 01:00:00,226.97,0.0,1.84,46.49,0.57,3.16,3.55,0.49
2025-01-02 02:00:00,226.97,0.0,1.95,43.99,0.6,3.16,3.63,0.51
2025-01-02 03:00:00,233.65,0.0,2.1,41.48,0.63,3.36,3.88,0.59
2025-01-02 04:00:00,233.65,0.0,2.21,38.98,0.64,3.52,4.04,0.59
2025-01-02 05:00:00,233.65,0.0,2.27,36.84,0.68,3.62,4.14,0.55
2025-01-02 06:00:00,230.31,0.0,2.33,35.05,0.77,3.71,4.27,0.45
