Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,520.71,1.29,8.57,27.89,1.48,10.19,13.4,4.43
2025-01-01 09:00:00,337.12,0.34,2.16,53.64,0.57,3.59,4.71,1.66
2025-01-01 10:00:00,353.81,0.36,2.53,59.37,0.73,4.95,6.42,2.25
2025-01-01 11:00:00,360.49,0.27,2.72,62.94,0.85,5.6,7.18,2.53
2025-01-01 12:00:00,310.42,0.14,1.86,60.08,0.61,3.1,4.0,1.8
2025-01-01 13:00:00,290.39,0.14,1.56,58.65,0.52,1.94,2.54,1.57
2025-01-01 14:00:00,293.73,0.15,1.63,59.37,0.56,1.86,2.45,1.61
2025-01-01 15:00:00,310.42,0.14,1.86,61.51,0.63,2.23,2.88,1.73
2025-01-01 16:00:00,330.45,0.1,2.42,61.51,0.69,2.65,3.34,1.8
2025-01-01 17:00:00,343.8,0.03,3.3,58.65,0.75,2.9,3.59,1.76
2025-01-01 18:00:00,350.48,0.0,4.54,54.36,0.91,3.2,3.89,1.63
2025-01-01 19:00:00,350.48,0.0,5.1,51.5,0.97,3.62,4.37,1.57
2025-01-01 20:00:00,347.14,0.0,4.8,52.21,0.87,4.02,4.78,1.49
2025-01-01 21:00:00,397.21,0.0,7.03,44.7,1.07,5.76,7.08,2.5
2025-01-01 22:00:00,473.98,0.0,10.2,33.97,1.3,8.42,10.53,3.36
2025-01-01 23:00:00,527.38,0.0,12.0,26.82,1.34,10.54,13.01,3.8
2025-01-02 00:00:00,567.44,0.01,12.51,21.46,1.24,12.11,14.55,4.12
2025-01-02 01:00:00,594.14,0.02,12.0,18.06,1.04,13.33,15.66,4.18
2025-01-02 02:00:00,600.81,0.02,10.97,18.6,0.89,13.81,16.07,4.37
2025-01-02 03:00:00,587.46,0.01,9.51,22.53,0.82,13.48,15.8,4.94
2025-01-02 04:00:00,567.44,0.01,8.65,26.11,0.83,13.07,15.58,5.7
2025-01-02 05:00:00,560.76,0.01,8.65,27.18,0.92,13.19,15.85,6.9
2025-01-02 06:00:00,574.11,0.01,9.51,26.11,1.07,13.65,16.6,7.28
2025-01-02 07:00:00,587.46,0.03,11.31,23.25,1.36,13.59,16.94,5.38
2025-01-02 08:00:00,587.46,0.42,12.85,23.96,1.74,12.83,16.37,4.12
2025-01-02 09:00:00,317.1,0.1,2.78,57.94,0.51,2.91,3.76,1.38
2025-01-02 10:00:00,317.1,0.22,2.46,62.94,0.55,2.91,3.76,1.79
2025-01-02 11:00:00,347.14,0.3,2.36,71.53,0.65,4.53,5.6,1.98
2025-01-02 12:00:00,327.11,0.16,1.44,76.53,0.54,4.92,5.77,1.57
2025-01-02 13:00:00,313.76,0.1,1.32,75.82,0.52,5.18,5.89,1.5
2025-01-02 14:00:00,303.75,0.05,1.54,72.96,0.54,4.45,5.07,1.5
2025-01-02 15:00:00,300.41,0.02,1.84,68.66,0.57,3.4,3.95,1.44
2025-01-02 16:00:00,300.41,0.02,2.16,65.8,0.6,2.96,3.51,1.49
2025-01-02 17:00:00,297.07,0.01,2.38,62.94,0.6,2.57,3.09,1.42
2025-01-02 18:00:00,360.49,0.0,6.51,52.21,1.19,3.82,4.8,2.6
2025-01-02 19:00:00,453.95,0.0,11.48,38.27,1.71,6.6,8.43,3.29
