Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,310.42,0.66,4.03,6.17,0.89,8.09,8.81,7.47
2025-01-01 09:00:00,253.68,0.11,2.06,15.74,0.36,4.07,4.45,1.95
2025-01-01 10:00:00,233.65,0.09,1.34,18.95,0.24,2.67,2.97,0.89
2025-01-01 11:00:00,223.64,0.08,1.07,21.1,0.18,1.96,2.21,0.55
2025-01-01 12:00:00,216.96,0.07,0.89,22.89,0.16,1.47,1.67,0.44
2025-01-01 13:00:00,213.62,0.05,0.81,23.25,0.16,1.29,1.49,0.44
2025-01-01 14:00:00,213.62,0.05,0.79,23.6,0.18,1.23,1.42,0.45
2025-01-01 15:00:00,216.96,0.04,0.77,23.6,0.18,1.25,1.46,0.48
2025-01-01 16:00:00,216.96,0.02,0.76,22.89,0.17,1.3,1.51,0.49
2025-01-01 17:00:00,216.96,0.0,0.77,21.82,0.16,1.34,1.54,0.49
2025-01-01 18:00:00,226.97,0.0,1.21,15.2,0.23,1.9,2.25,0.71
2025-01-01 19:00:00,240.33,0.0,1.71,8.14,0.33,2.94,3.52,1.09
2025-01-01 20:00:00,250.34,0.01,1.99,4.69,0.41,3.92,4.64,1.58
2025-01-01 21:00:00,260.35,0.02,2.29,3.17,0.51,4.82,5.57,2.41
2025-01-01 22:00:00,270.37,0.03,2.72,2.48,0.65,5.63,6.37,3.42
2025-01-01 23:00:00,283.72,0.03,3.3,2.12,0.8,6.37,7.04,4.56
2025-01-02 00:00:00,290.39,0.04,3.81,1.86,0.85,6.56,7.09,5.51
2025-01-02 01:00:00,297.07,0.04,4.11,1.56,0.79,6.45,6.88,6.08
2025-01-02 02:00:00,300.41,0.05,4.24,1.32,0.72,6.4,6.78,6.27
2025-01-02 03:00:00,300.41,0.05,4.16,1.21,0.66,6.11,6.47,5.89
2025-01-02 04:00:00,300.41,0.05,4.24,1.18,0.66,5.86,6.22,5.83
2025-01-02 05:00:00,300.41,0.05,4.41,1.17,0.69,5.8,6.18,5.95
2025-01-02 06:00:00,293.73,0.05,4.16,1.34,0.69,5.96,6.34,5.13
2025-01-02 07:00:00,287.06,0.08,3.47,2.17,0.62,5.95,6.41,3.01
2025-01-02 08:00:00,277.04,0.19,2.83,5.81,0.54,5.32,5.78,1.55
2025-01-02 09:00:00,236.99,0.15,1.95,18.24,0.53,2.98,3.25,0.61
2025-01-02 10:00:00,213.62,0.14,1.88,23.6,0.68,1.97,2.21,0.4
2025-01-02 11:00:00,206.95,0.16,2.21,26.82,0.92,1.56,1.78,0.38
2025-01-02 12:00:00,196.93,0.13,1.74,33.97,0.88,1.02,1.16,0.23
2025-01-02 13:00:00,193.6,0.1,1.39,35.76,0.8,0.8,0.92,0.2
2025-01-02 14:00:00,193.6,0.07,1.31,36.48,0.88,0.76,0.87,0.2
2025-01-02 15:00:00,193.6,0.04,1.39,35.05,1.04,0.76,0.87,0.22
2025-01-02 16:00:00,196.93,0.02,1.5,31.11,1.03,0.81,0.93,0.26
2025-01-02 17:00:00,198.6,0.01,1.52,25.75,0.8,0.81,0.95,0.28
2025-01-02 18:00:00,205.28,0.0,1.74,16.99,0.54,0.98,1.25,0.49
