Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,921.25,7.15,17.31,12.16,4.05,25.66,33.89,13.3
2025-01-01 09:00:00,747.68,5.25,14.39,28.97,3.52,18.76,25.05,9.5
2025-01-01 10:00:00,567.44,2.01,10.62,49.35,2.5,12.42,16.74,6.71
2025-01-01 11:00:00,397.21,0.49,5.44,58.65,1.51,5.9,8.05,4.05
2025-01-01 12:00:00,287.06,0.11,1.91,55.07,0.62,1.8,2.49,1.68
2025-01-01 13:00:00,280.38,0.11,1.67,55.07,0.57,1.49,2.04,1.52
2025-01-01 14:00:00,293.73,0.14,1.88,57.22,0.65,1.73,2.32,1.63
2025-01-01 15:00:00,310.42,0.14,2.27,57.22,0.73,1.96,2.56,1.73
2025-01-01 16:00:00,327.11,0.11,3.13,55.07,0.83,2.36,3.1,1.95
2025-01-01 17:00:00,350.48,0.04,4.8,52.21,1.04,2.96,3.92,2.22
2025-01-01 18:00:00,387.19,0.0,7.54,47.21,1.42,4.02,5.32,2.6
2025-01-01 19:00:00,440.6,0.0,11.14,41.13,1.86,5.75,7.62,3.36
2025-01-01 20:00:00,480.65,0.0,13.37,37.91,2.03,7.23,9.6,3.89
2025-01-01 21:00:00,527.38,0.0,15.42,34.69,2.18,8.72,11.58,4.62
2025-01-01 22:00:00,607.49,0.0,19.02,28.61,2.35,11.17,14.82,5.26
2025-01-01 23:00:00,687.6,0.01,21.93,22.89,2.32,13.8,18.01,5.32
2025-01-02 00:00:00,774.38,0.04,24.68,15.74,2.12,16.91,21.48,5.57
2025-01-02 01:00:00,854.49,0.17,25.7,9.21,1.89,20.26,25.09,6.84
2025-01-02 02:00:00,907.9,0.37,25.02,5.68,1.8,23.08,27.97,9.37
2025-01-02 03:00:00,934.6,0.45,25.02,5.14,2.21,25.02,30.11,15.58
2025-01-02 04:00:00,947.95,0.33,25.7,6.35,2.71,26.43,31.79,22.29
2025-01-02 05:00:00,974.66,0.32,27.08,6.62,3.22,28.25,33.97,28.12
2025-01-02 06:00:00,1028.06,0.57,28.79,4.87,3.81,30.79,36.91,32.42
2025-01-02 07:00:00,1108.17,1.98,31.53,2.12,5.07,33.55,40.44,34.96
2025-01-02 08:00:00,1174.93,6.09,31.87,4.56,6.74,35.35,42.98,34.96
2025-01-02 09:00:00,921.25,4.25,22.96,18.6,4.41,25.06,30.87,15.45
2025-01-02 10:00:00,774.38,3.52,15.25,36.48,3.19,20.37,25.38,8.49
2025-01-02 11:00:00,647.54,1.75,9.6,67.95,2.56,19.14,23.15,6.4
2025-01-02 12:00:00,383.85,0.31,2.4,78.68,1.01,8.1,9.4,2.47
