Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,233.65,0.07,1.84,32.19,0.58,2.26,2.76,0.5
2025-01-01 09:00:00,230.31,0.14,1.84,34.33,0.6,2.49,3.06,0.45
2025-01-01 10:00:00,226.97,0.14,1.84,37.55,0.6,2.87,3.56,0.38
2025-01-01 11:00:00,226.97,0.13,1.86,40.41,0.63,3.56,4.3,0.3
2025-01-01 12:00:00,226.97,0.14,1.82,42.2,0.65,3.94,4.62,0.27
2025-01-01 13:00:00,226.97,0.12,1.48,43.27,0.54,3.3,3.86,0.27
2025-01-01 14:00:00,216.96,0.09,0.97,43.99,0.37,1.98,2.42,0.26
2025-01-01 15:00:00,205.28,0.04,0.68,43.27,0.29,1.05,1.42,0.22
2025-01-01 16:00:00,198.6,0.03,0.67,41.48,0.32,0.79,1.15,0.23
2025-01-01 17:00:00,198.6,0.02,0.8,40.41,0.37,0.8,1.17,0.25
2025-01-01 18:00:00,200.27,0.0,0.94,39.7,0.36,0.84,1.18,0.26
2025-01-01 19:00:00,200.27,0.0,0.96,39.34,0.32,0.84,1.2,0.27
2025-01-01 20:00:00,201.94,0.0,0.93,39.7,0.29,0.8,1.18,0.27
2025-01-01 21:00:00,201.94,0.0,0.89,39.34,0.25,0.74,1.13,0.28
2025-01-01 22:00:00,201.94,0.0,0.89,38.98,0.26,0.74,1.13,0.3
2025-01-01 23:00:00,201.94,0.0,0.91,37.91,0.28,0.81,1.2,0.3
2025-01-02 00:00:00,203.61,0.0,0.94,36.84,0.32,0.98,1.35,0.32
2025-01-02 01:00:00,205.28,0.0,0.96,35.41,0.35,1.2,1.57,0.34
2025-01-02 02:00:00,205.28,0.0,0.99,34.33,0.37,1.37,1.74,0.35
2025-01-02 03:00:00,206.95,0.0,1.02,33.26,0.37,1.48,1.82,0.34
2025-01-02 04:00:00,210.29,0.0,1.08,31.11,0.35,1.54,1.85,0.36
2025-01-02 05:00:00,211.95,0.0,1.1,28.61,0.32,1.42,1.71,0.39
2025-01-02 06:00:00,211.95,0.0,1.07,27.54,0.29,1.2,1.5,0.39
