Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,190.26,0.0,0.5,38.62,0.6,0.5,0.58,0.04
2025-01-01 09:00:00,190.26,0.01,0.58,38.98,0.57,0.5,0.59,0.04
2025-01-01 10:00:00,190.26,0.03,0.49,40.05,0.6,0.5,0.6,0.04
2025-01-01 11:00:00,188.59,0.04,0.34,41.13,0.66,0.5,0.62,0.04
2025-01-01 12:00:00,186.92,0.03,0.23,41.84,0.85,0.5,0.65,0.04
2025-01-01 13:00:00,186.92,0.02,0.19,41.84,0.87,0.52,0.74,0.04
2025-01-01 14:00:00,185.25,0.02,0.19,41.84,0.77,0.58,0.87,0.03
2025-01-01 15:00:00,185.25,0.02,0.2,41.84,0.74,0.6,0.93,0.03
2025-01-01 16:00:00,185.25,0.02,0.26,42.2,0.71,0.58,0.89,0.03
2025-01-01 17:00:00,185.25,0.01,0.37,42.2,0.66,0.54,0.81,0.04
2025-01-01 18:00:00,185.25,0.0,0.52,42.2,0.57,0.51,0.76,0.04
2025-01-01 19:00:00,185.25,0.0,0.64,42.2,0.58,0.53,0.76,0.04
2025-01-01 20:00:00,186.92,0.0,0.7,42.56,0.65,0.54,0.75,0.05
2025-01-01 21:00:00,186.92,0.0,0.72,42.56,0.63,0.5,0.66,0.06
2025-01-01 22:00:00,188.59,0.0,0.68,42.56,0.59,0.5,0.63,0.07
2025-01-01 23:00:00,190.26,0.0,0.62,42.56,0.57,0.5,0.62,0.07
2025-01-02 00:00:00,191.93,0.0,0.61,41.48,0.58,0.5,0.62,0.08
2025-01-02 01:00:00,191.93,0.0,0.59,40.41,0.55,0.5,0.62,0.09
2025-01-02 02:00:00,190.26,0.0,0.53,40.41,0.51,0.5,0.62,0.09
2025-01-02 03:00:00,190.26,0.0,0.44,41.84,0.53,0.5,0.61,0.1
2025-01-02 04:00:00,190.26,0.0,0.38,42.56,0.54,0.5,0.6,0.1
2025-01-02 05:00:00,190.26,0.0,0.35,42.56,0.55,0.5,0.59,0.1
2025-01-02 06:00:00,190.26,0.0,0.36,41.48,0.51,0.5,0.59,0.09
2025-01-02 07:00:00,190.26,0.0,0.45,40.41,0.53,0.5,0.6,0.09
2025-01-02 08:00:00,190.26,0.0,0.62,39.34,0.58,0.5,0.62,0.09
2025-01-02 09:00:00,190.26,0.01,0.75,39.7,0.57,0.59,0.74,0.09
2025-01-02 10:00:00,190.26,0.01,0.72,41.13,0.56,0.69,0.91,0.08
2025-01-02 11:00:00,186.92,0.01,0.59,42.2,0.57,0.77,1.08,0.07
2025-01-02 12:00:00,185.25,0.01,0.46,42.2,0.63,0.78,1.18,0.06
2025-01-02 13:00:00,183.58,0.01,0.36,41.48,0.6,0.73,1.21,0.05
2025-01-02 14:00:00,183.58,0.01,0.29,39.7,0.53,0.73,1.36,0.04
2025-01-02 15:00:00,183.58,0.02,0.28,38.27,0.54,0.8,1.55,0.03
2025-01-02 16:00:00,183.58,0.03,0.34,36.84,0.6,0.89,1.64,0.05
2025-01-02 17:00:00,185.25,0.02,0.48,35.41,0.65,1.01,1.69,0.06
2025-01-02 18:00:00,185.25,0.0,0.69,33.97,0.65,1.2,1.89,0.07
2025-01-02 19:00:00,185.25,0.0,0.79,33.62,0.69,1.37,2.16,0.08
2025-01-02 20:00:00,185.25,0.0,0.75,33.97,0.72,1.41,2.22,0.1
2025-01-02 21:00:00,186.92,0.0,0.7,33.62,0.7,1.36,2.06,0.12
2025-01-02 22:00:00,186.92,0.0,0.65,33.62,0.7,1.33,1.94,0.13
2025-01-02 23:00:00,188.59,0.0,0.61,34.33,0.72,1.32,1.84,0.12
2025-01-03 00:00:00,188.59,0.0,0.58,35.05,0.76,1.31,1.77,0.11
2025-01-03 01:00:00,188.59,0.0,0.51,36.48,0.69,1.21,1.61,0.09
2025-01-03 02:00:00,188.59,0.0,0.38,38.27,0.58,1.06,1.4,0.06
2025-01-03 03:00:00,188.59,0.0,0.33,38.62,0.59,0.98,1.25,0.07
2025-01-03 04:00:00,190.26,0.0,0.36,37.55,0.64,0.97,1.19,0.1
2025-01-03 05:00:00,190.26,0.0,0.4,35.41,0.69,0.91,1.1,0.12
2025-01-03 06:00:00,190.26,0.0,0.43,33.97,0.67,0.87,1.07,0.15
2025-01-03 07:00:00,188.59,0.0,0.52,33.62,0.73,0.82,1.05,0.17
