Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,310.42,0.13,2.23,41.84,0.55,3.63,4.26,2.91
2025-01-01 09:00:00,273.7,0.13,1.1,53.64,0.36,2.58,3.13,1.61
2025-01-01 10:00:00,263.69,0.12,0.8,57.22,0.35,2.41,2.97,1.49
2025-01-01 11:00:00,260.35,0.09,0.6,61.51,0.37,2.54,3.17,1.55
2025-01-01 12:00:00,260.35,0.04,0.48,66.52,0.34,2.85,3.58,1.36
2025-01-01 13:00:00,260.35,0.03,0.52,70.1,0.36,3.32,4.13,1.38
2025-01-01 14:00:00,260.35,0.02,0.62,72.24,0.39,3.85,4.72,1.41
2025-01-01 15:00:00,273.7,0.02,0.94,73.67,0.47,5.21,6.13,1.66
2025-01-01 16:00:00,293.73,0.05,1.44,72.96,0.6,6.87,7.86,2.15
2025-01-01 17:00:00,317.1,0.04,2.08,71.53,0.74,8.17,9.28,2.66
2025-01-01 18:00:00,330.45,0.0,2.61,67.95,0.8,8.5,9.62,2.88
2025-01-01 19:00:00,327.11,0.0,2.38,65.8,0.72,8.11,9.1,2.37
2025-01-01 20:00:00,313.76,0.0,1.71,66.52,0.59,7.63,8.43,1.68
2025-01-01 21:00:00,307.08,0.0,1.27,65.09,0.48,6.68,7.24,1.25
2025-01-01 22:00:00,313.76,0.0,1.52,60.08,0.48,6.42,6.91,1.44
2025-01-01 23:00:00,317.1,0.0,1.84,55.79,0.48,5.96,6.4,1.79
2025-01-02 00:00:00,330.45,0.0,2.46,48.64,0.5,6.08,6.56,2.66
2025-01-02 01:00:00,347.14,0.0,3.04,41.84,0.52,6.96,7.45,3.45
2025-01-02 02:00:00,353.81,0.0,3.26,37.19,0.53,7.63,8.11,4.12
2025-01-02 03:00:00,360.49,0.0,3.38,33.97,0.57,8.06,8.53,4.88
2025-01-02 04:00:00,360.49,0.0,3.43,31.47,0.58,8.35,8.82,4.94
2025-01-02 05:00:00,360.49,0.0,3.38,28.97,0.57,8.52,8.98,4.69
2025-01-02 06:00:00,363.83,0.0,3.47,25.39,0.56,8.88,9.38,4.24
2025-01-02 07:00:00,383.85,0.01,4.16,22.53,0.72,9.87,10.51,3.7
2025-01-02 08:00:00,410.56,0.06,4.76,26.46,0.86,10.92,11.68,3.13
2025-01-02 09:00:00,370.5,0.12,2.74,45.78,0.54,10.48,11.15,1.76
2025-01-02 10:00:00,373.84,0.13,1.74,58.65,0.44,12.24,13.09,1.52
2025-01-02 11:00:00,417.23,0.13,1.27,67.95,0.42,15.66,16.62,1.42
2025-01-02 12:00:00,460.62,0.09,1.01,80.11,0.37,16.74,17.43,0.97
2025-01-02 13:00:00,447.27,0.05,0.92,84.4,0.3,12.75,13.12,0.75
2025-01-02 14:00:00,423.91,0.02,0.92,81.54,0.26,8.61,8.82,0.64
2025-01-02 15:00:00,393.87,0.02,1.07,77.25,0.27,7.14,7.29,0.66
2025-01-02 16:00:00,370.5,0.03,1.2,73.67,0.3,6.72,6.88,0.8
2025-01-02 17:00:00,370.5,0.02,1.39,69.38,0.32,6.8,6.97,0.9
2025-01-02 18:00:00,387.19,0.0,2.14,60.08,0.47,7.69,7.97,1.42
2025-01-02 19:00:00,403.88,0.0,3.0,50.78,0.65,8.94,9.4,1.95
2025-01-02 20:00:00,410.56,0.0,3.6,45.78,0.76,10.0,10.59,2.25
2025-01-02 21:00:00,417.23,0.0,3.9,41.84,0.8,10.68,11.39,2.6
2025-01-02 22:00:00,433.92,0.0,4.37,35.41,0.86,11.26,12.17,3.2
2025-01-02 23:00:00,440.6,0.0,4.76,32.19,0.9,11.48,12.52,4.02
2025-01-03 00:00:00,440.6,0.0,4.88,30.4,0.84,11.54,12.6,4.81
2025-01-03 01:00:00,447.27,0.0,5.01,24.32,0.74,11.83,12.98,4.88
2025-01-03 02:00:00,447.27,0.0,4.67,18.06,0.6,11.59,12.78,4.12
2025-01-03 03:00:00,433.92,0.0,4.11,15.38,0.56,11.06,12.11,3.8
2025-01-03 04:00:00,427.25,0.0,3.98,15.56,0.66,11.37,12.27,4.69
2025-01-03 05:00:00,427.25,0.0,4.2,17.7,0.8,12.18,12.99,5.89
2025-01-03 06:00:00,440.6,0.0,4.63,19.49,0.95,12.74,13.54,6.97
2025-01-03 07:00:00,473.98,0.0,5.91,19.13,1.37,13.56,14.44,8.36
2025-01-03 08:00:00,527.38,0.01,8.14,18.24,2.03,14.89,15.88,10.01
2025-01-03 09:00:00,560.76,0.05,9.34,19.13,2.38,15.54,16.53,10.39
2025-01-03 10:00:00,547.41,0.07,8.05,26.46,2.18,15.49,16.34,8.23
2025-01-03 11:00:00,494.0,0.05,4.63,38.27,1.33,14.33,14.87,4.18
2025-01-03 12:00:00,420.57,0.02,1.29,54.36,0.38,10.73,10.96,0.7
2025-01-03 13:00:00,397.21,0.02,0.95,55.07,0.28,8.92,9.11,0.59
2025-01-03 14:00:00,377.18,0.02,0.99,56.51,0.28,7.11,7.29,0.72
2025-01-03 15:00:00,357.15,0.02,1.14,62.23,0.3,5.78,5.97,0.82
2025-01-03 16:00:00,347.14,0.01,1.54,63.66,0.35,5.45,5.63,0.91
2025-01-03 17:00:00,347.14,0.0,1.91,60.08,0.37,5.64,5.83,0.93
2025-01-03 18:00:00,347.14,0.0,2.16,54.36,0.38,6.0,6.22,0.94
2025-01-03 19:00:00,333.79,0.0,2.33,53.64,0.4,6.02,6.29,0.89
2025-01-03 20:00:00,317.1,0.0,2.29,57.22,0.39,6.35,6.66,0.82
2025-01-03 21:00:00,307.08,0.0,2.14,57.94,0.37,6.74,7.15,0.85
2025-01-03 22:00:00,297.07,0.0,2.01,58.65,0.35,6.37,6.83,0.89
2025-01-03 23:00:00,283.72,0.0,1.8,60.8,0.3,5.63,6.09,0.9
2025-01-04 00:00:00,277.04,0.0,1.69,61.51,0.25,5.01,5.46,1.01
2025-01-04 01:00:00,277.04,0.0,1.71,60.08,0.24,4.8,5.28,1.25
2025-01-04 02:00:00,280.38,0.0,1.65,59.37,0.23,4.66,5.19,1.44
2025-01-04 03:00:00,283.72,0.0,1.8,57.22,0.23,4.56,5.05,1.63
2025-01-04 04:00:00,293.73,0.0,2.03,52.93,0.25,4.59,5.01,1.85
2025-01-04 05:00:00,303.75,0.0,2.25,48.64,0.27,4.63,4.99,2.15
2025-01-04 06:00:00,307.08,0.0,2.33,45.06,0.29,4.49,4.82,2.18
2025-01-04 07:00:00,310.42,0.0,2.42,42.56,0.35,4.26,4.59,1.8
2025-01-04 08:00:00,300.41,0.0,2.21,45.42,0.35,3.66,3.96,1.35
2025-01-04 09:00:00,263.69,0.01,1.11,57.94,0.2,2.49,2.67,0.81
2025-01-04 10:00:00,260.35,0.02,0.84,61.51,0.19,2.37,2.55,0.82
2025-01-04 11:00:00,260.35,0.03,0.76,63.66,0.2,2.53,2.74,0.88
2025-01-04 12:00:00,260.35,0.04,0.72,67.95,0.21,3.13,3.37,0.88
2025-01-04 13:00:00,260.35,0.04,0.66,70.1,0.2,4.09,4.32,0.85
2025-01-04 14:00:00,263.69,0.04,0.63,70.81,0.17,5.22,5.43,0.75
2025-01-04 15:00:00,273.7,0.04,0.65,72.24,0.15,5.99,6.16,0.67
2025-01-04 16:00:00,283.72,0.04,0.73,72.96,0.15,6.31,6.46,0.7
