Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,223.64,0.06,5.65,33.62,5.78,2.99,4.91,0.55
2025-01-01 09:00:00,220.3,0.26,5.83,35.76,6.08,2.84,4.3,0.44
2025-01-01 10:00:00,226.97,0.58,5.74,38.27,5.25,2.82,3.77,0.36
2025-01-01 11:00:00,243.66,0.85,6.34,44.7,5.07,3.32,4.11,0.36
2025-01-01 12:00:00,257.02,0.61,6.0,57.94,4.89,3.8,4.61,0.36
2025-01-01 13:00:00,260.35,0.33,5.06,68.66,4.65,4.06,4.85,0.35
2025-01-01 14:00:00,253.68,0.2,4.24,70.81,4.23,3.51,4.11,0.3
2025-01-01 15:00:00,243.66,0.13,3.81,70.1,3.87,2.95,3.43,0.27
2025-01-01 16:00:00,243.66,0.08,4.03,67.23,3.78,2.9,3.42,0.3
2025-01-01 17:00:00,247.0,0.04,4.88,60.08,3.87,2.91,3.42,0.32
2025-01-01 18:00:00,257.02,0.0,6.43,52.21,4.17,3.22,3.72,0.32
2025-01-01 19:00:00,267.03,0.0,7.54,46.49,4.23,3.47,3.91,0.32
2025-01-01 20:00:00,270.37,0.0,8.14,44.35,4.35,3.74,4.2,0.28
2025-01-01 21:00:00,273.7,0.0,8.57,43.27,4.83,4.23,4.82,0.25
2025-01-01 22:00:00,280.38,0.0,9.77,40.05,5.96,5.18,6.12,0.29
2025-01-01 23:00:00,290.39,0.0,10.37,37.91,6.97,6.18,7.67,0.34
2025-01-02 00:00:00,293.73,0.0,10.37,36.84,7.27,6.92,9.12,0.4
2025-01-02 01:00:00,297.07,0.0,10.02,35.76,7.57,7.51,10.69,0.45
2025-01-02 02:00:00,293.73,0.0,9.51,35.41,7.45,8.05,11.79,0.42
2025-01-02 03:00:00,287.06,0.0,8.83,35.05,6.97,8.13,11.89,0.37
2025-01-02 04:00:00,280.38,0.0,8.05,35.41,6.26,7.86,11.5,0.35
2025-01-02 05:00:00,270.37,0.0,7.45,35.76,5.96,7.37,11.05,0.38
2025-01-02 06:00:00,263.69,0.0,7.03,35.76,5.96,6.75,10.49,0.47
2025-01-02 07:00:00,260.35,0.01,6.94,35.41,6.02,6.23,10.09,0.59
2025-01-02 08:00:00,257.02,0.34,6.85,36.48,6.02,5.6,9.03,0.62
2025-01-02 09:00:00,253.68,0.75,6.77,40.77,6.14,4.67,7.15,0.51
2025-01-02 10:00:00,253.68,1.06,6.43,50.78,6.38,4.54,6.3,0.41
2025-01-02 11:00:00,263.69,0.94,5.65,68.66,6.5,5.6,7.08,0.34
2025-01-02 12:00:00,267.03,0.59,4.46,85.12,6.08,6.9,8.16,0.21
2025-01-02 13:00:00,267.03,0.37,3.94,91.55,5.48,7.79,8.94,0.11
2025-01-02 14:00:00,247.0,0.28,3.51,87.26,4.77,6.36,7.3,0.07
2025-01-02 15:00:00,226.97,0.24,2.7,82.25,3.76,4.41,5.26,0.11
2025-01-02 16:00:00,220.3,0.17,3.0,73.67,3.34,3.64,4.51,0.15
2025-01-02 17:00:00,216.96,0.08,3.73,62.94,3.13,3.33,4.2,0.18
2025-01-02 18:00:00,213.62,0.0,4.46,51.5,3.61,3.09,3.75,0.23
2025-01-02 19:00:00,216.96,0.0,5.14,43.63,4.17,3.11,3.57,0.31
2025-01-02 20:00:00,226.97,0.0,6.08,39.7,4.83,3.56,3.97,0.43
2025-01-02 21:00:00,243.66,0.0,7.28,38.98,5.6,4.13,4.55,0.53
2025-01-02 22:00:00,260.35,0.0,8.65,37.91,6.32,4.64,5.07,0.59
2025-01-02 23:00:00,273.7,0.0,9.77,35.41,6.91,5.1,5.57,0.64
2025-01-03 00:00:00,280.38,0.0,10.28,31.83,6.91,5.83,6.37,0.68
2025-01-03 01:00:00,290.39,0.0,10.71,25.03,6.26,6.94,7.59,0.52
2025-01-03 02:00:00,303.75,0.0,13.02,18.06,5.6,7.9,8.6,0.36
2025-01-03 03:00:00,287.06,0.0,13.88,15.91,4.95,7.33,7.91,0.2
2025-01-03 04:00:00,253.68,0.0,12.17,18.24,4.11,6.31,6.77,0.13
2025-01-03 05:00:00,247.0,0.0,11.14,19.31,3.76,6.32,6.82,0.14
2025-01-03 06:00:00,257.02,0.0,11.82,18.24,4.29,7.4,8.15,0.26
2025-01-03 07:00:00,253.68,0.01,12.17,16.81,5.07,8.54,9.59,0.4
2025-01-03 08:00:00,243.66,0.37,10.37,18.24,5.01,8.33,9.42,0.4
2025-01-03 09:00:00,226.97,0.78,6.85,24.68,3.93,6.38,7.21,0.27
2025-01-03 10:00:00,220.3,0.6,4.41,33.62,2.89,4.81,5.44,0.19
2025-01-03 11:00:00,223.64,0.36,2.87,46.49,2.21,4.14,4.63,0.14
2025-01-03 12:00:00,223.64,0.18,1.99,57.22,1.82,3.99,4.4,0.11
2025-01-03 13:00:00,226.97,0.1,1.86,62.23,1.83,4.16,4.53,0.1
2025-01-03 14:00:00,226.97,0.07,2.03,66.52,2.15,4.6,4.99,0.08
2025-01-03 15:00:00,233.65,0.07,2.68,67.23,2.47,6.21,6.66,0.24
2025-01-03 16:00:00,247.0,0.05,3.56,70.1,2.92,9.09,9.7,0.39
2025-01-03 17:00:00,263.69,0.02,4.5,77.96,3.67,12.28,13.21,0.55
2025-01-03 18:00:00,283.72,0.0,5.65,87.98,4.95,14.97,16.22,0.61
2025-01-03 19:00:00,327.11,0.0,6.51,82.97,5.01,17.39,18.6,0.46
2025-01-03 20:00:00,420.57,0.0,6.94,80.11,4.65,23.17,24.22,0.32
2025-01-03 21:00:00,500.68,0.0,7.03,80.11,4.59,28.17,29.06,0.27
2025-01-03 22:00:00,514.03,0.0,7.88,72.96,4.53,26.48,27.23,0.39
2025-01-03 23:00:00,487.33,0.0,9.51,62.23,4.35,22.01,22.66,0.49
2025-01-04 00:00:00,453.95,0.0,11.65,50.07,4.05,18.28,18.89,0.6
2025-01-04 01:00:00,393.87,0.0,15.42,33.97,4.47,15.12,15.8,0.54
2025-01-04 02:00:00,337.12,0.0,20.91,19.85,5.9,14.05,15.0,0.4
2025-01-04 03:00:00,320.43,0.0,23.31,12.7,7.09,16.08,17.41,0.31
2025-01-04 04:00:00,350.48,0.0,22.96,10.37,7.57,19.74,21.48,0.25
2025-01-04 05:00:00,400.54,0.0,23.31,8.76,7.33,24.08,26.31,0.16
2025-01-04 06:00:00,417.23,0.0,25.7,6.71,8.11,27.79,31.01,0.04
2025-01-04 07:00:00,433.92,0.03,27.08,5.81,8.46,28.72,32.23,0.01
2025-01-04 08:00:00,383.85,1.29,19.88,12.16,6.79,21.94,24.6,0.01
2025-01-04 09:00:00,277.04,1.48,10.28,22.71,4.83,10.9,12.41,0.05
2025-01-04 10:00:00,240.33,0.98,6.51,32.19,4.47,6.1,7.24,0.17
2025-01-04 11:00:00,247.0,0.65,5.06,47.21,4.77,4.38,5.4,0.37
2025-01-04 12:00:00,267.03,0.29,3.64,72.24,5.25,4.47,5.61,0.55
2025-01-04 13:00:00,277.04,0.11,2.91,84.4,5.42,5.45,6.91,0.77
2025-01-04 14:00:00,283.72,0.06,2.31,90.84,5.19,5.94,7.29,0.74
2025-01-04 15:00:00,280.38,0.04,2.01,91.55,5.01,5.95,7.15,0.65
2025-01-04 16:00:00,277.04,0.03,2.14,89.41,5.01,5.81,7.1,0.66
2025-01-04 17:00:00,273.7,0.02,2.68,84.4,5.13,5.04,6.4,0.71
2025-01-04 18:00:00,267.03,0.0,3.51,75.1,5.36,4.18,5.57,0.79
2025-01-04 19:00:00,267.03,0.0,4.33,66.52,5.96,3.77,5.26,0.88
2025-01-04 20:00:00,263.69,0.0,4.54,61.51,6.08,3.6,5.3,0.89
2025-01-04 21:00:00,260.35,0.0,4.71,60.08,6.14,4.0,5.98,0.89
2025-01-04 22:00:00,260.35,0.0,4.63,60.8,6.26,4.74,6.9,0.83
2025-01-04 23:00:00,263.69,0.0,4.5,62.94,6.32,5.68,8.05,0.78
2025-01-05 00:00:00,270.37,0.0,4.46,63.66,6.38,6.41,8.87,0.74
2025-01-05 01:00:00,277.04,0.0,4.54,62.23,6.2,6.39,8.73,0.73
2025-01-05 02:00:00,263.69,0.0,4.71,53.64,6.2,5.04,6.96,0.67
2025-01-05 03:00:00,240.33,0.0,4.71,43.99,6.08,3.59,5.13,0.64
2025-01-05 04:00:00,247.0,0.0,4.63,47.92,6.02,3.71,5.43,0.77
2025-01-05 05:00:00,283.72,0.0,4.41,61.51,6.02,4.74,6.99,1.01
2025-01-05 06:00:00,300.41,0.0,3.9,72.24,5.78,5.09,7.56,1.14
2025-01-05 07:00:00,287.06,0.0,3.47,76.53,5.3,3.97,6.09,1.03
2025-01-05 08:00:00,267.03,0.03,3.51,75.82,5.07,2.83,4.56,0.85
2025-01-05 09:00:00,253.68,0.13,3.81,72.96,5.36,2.44,4.16,0.77
2025-01-05 10:00:00,250.34,0.25,4.03,72.96,6.02,2.57,4.67,0.78
2025-01-05 11:00:00,250.34,0.28,3.56,80.11,6.38,2.97,5.28,0.83
2025-01-05 12:00:00,250.34,0.16,2.74,89.41,6.2,3.69,5.93,0.87
2025-01-05 13:00:00,247.0,0.11,1.97,94.41,5.72,4.19,6.14,0.82
2025-01-05 14:00:00,240.33,0.09,1.71,95.84,5.25,4.01,5.56,0.71
2025-01-05 15:00:00,236.99,0.1,1.63,98.71,5.07,3.85,5.22,0.64
2025-01-05 16:00:00,240.33,0.09,1.95,98.71,5.42,3.97,5.42,0.67
2025-01-05 17:00:00,243.66,0.07,2.7,92.98,5.72,3.85,5.38,0.73
2025-01-05 18:00:00,250.34,0.01,3.94,82.25,6.26,3.87,5.54,0.78
2025-01-05 19:00:00,260.35,0.0,5.18,72.24,6.74,4.03,5.79,0.8
2025-01-05 20:00:00,267.03,0.0,5.83,66.52,6.91,4.35,6.26,0.8
2025-01-05 21:00:00,273.7,0.0,6.08,62.94,7.09,5.01,7.28,0.81
2025-01-05 22:00:00,277.04,0.0,6.25,60.08,7.39,5.68,8.51,0.89
2025-01-05 23:00:00,280.38,0.0,5.91,59.37,7.15,6.06,9.4,0.92
