Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,340.46,0.27,2.96,38.98,0.57,4.65,5.83,1.63
2025-01-01 09:00:00,277.04,0.13,0.92,53.64,0.28,1.99,2.58,0.85
2025-01-01 10:00:00,290.39,0.15,1.22,56.51,0.37,2.21,3.08,1.16
2025-01-01 11:00:00,327.11,0.17,2.25,60.08,0.6,3.56,5.14,1.79
2025-01-01 12:00:00,313.76,0.1,2.12,57.22,0.51,3.07,4.41,1.61
2025-01-01 13:00:00,300.41,0.09,1.88,55.07,0.46,2.51,3.56,1.44
2025-01-01 14:00:00,293.73,0.08,1.71,56.51,0.48,2.23,3.09,1.41
2025-01-01 15:00:00,310.42,0.11,2.25,57.94,0.69,2.66,3.53,1.71
2025-01-01 16:00:00,340.46,0.12,3.77,57.94,1.15,3.51,4.47,2.06
2025-01-01 17:00:00,353.81,0.05,5.4,53.64,1.68,3.95,4.83,1.85
2025-01-01 18:00:00,363.83,0.0,7.2,48.64,2.03,4.55,5.43,1.68
2025-01-01 19:00:00,367.16,0.0,7.71,45.78,1.94,5.19,6.12,1.63
2025-01-01 20:00:00,363.83,0.0,7.03,45.42,1.64,5.55,6.5,1.6
2025-01-01 21:00:00,410.56,0.0,8.05,36.12,1.42,7.44,8.8,2.37
2025-01-01 22:00:00,487.33,0.01,9.77,23.25,1.34,10.44,12.39,3.17
2025-01-01 23:00:00,540.73,0.04,10.71,15.38,1.28,12.89,15.14,3.74
2025-01-02 00:00:00,567.44,0.07,10.62,12.16,1.12,14.16,16.33,3.8
2025-01-02 01:00:00,567.44,0.06,9.68,12.52,0.89,14.42,16.35,3.17
2025-01-02 02:00:00,560.76,0.03,8.48,15.56,0.71,14.28,15.92,2.82
2025-01-02 03:00:00,527.38,0.01,7.03,21.82,0.61,13.02,14.46,2.75
2025-01-02 04:00:00,487.33,0.0,5.91,27.18,0.55,11.43,12.74,2.6
2025-01-02 05:00:00,453.95,0.0,5.27,30.76,0.52,10.18,11.4,2.44
2025-01-02 06:00:00,433.92,0.0,4.93,33.26,0.51,9.09,10.26,2.12
2025-01-02 07:00:00,413.89,0.0,4.84,35.41,0.6,7.82,9.04,1.77
2025-01-02 08:00:00,363.83,0.06,3.81,44.7,0.58,5.34,6.35,1.38
2025-01-02 09:00:00,277.04,0.04,1.2,63.66,0.24,1.87,2.28,0.66
2025-01-02 10:00:00,290.39,0.13,1.52,66.52,0.33,2.0,2.68,0.94
2025-01-02 11:00:00,320.43,0.24,1.95,72.24,0.44,3.18,4.3,1.23
2025-01-02 12:00:00,310.42,0.14,1.18,75.82,0.37,3.9,4.89,1.08
2025-01-02 13:00:00,303.75,0.1,1.05,75.1,0.4,4.9,5.84,1.14
2025-01-02 14:00:00,303.75,0.09,1.27,72.96,0.48,5.26,6.17,1.27
2025-01-02 15:00:00,307.08,0.11,1.95,68.66,0.69,4.98,5.88,1.58
2025-01-02 16:00:00,320.43,0.1,2.78,65.09,0.89,5.15,6.1,1.95
2025-01-02 17:00:00,337.12,0.04,3.47,61.51,0.95,5.5,6.49,2.12
2025-01-02 18:00:00,377.18,0.0,5.36,52.21,1.12,6.49,7.63,2.44
2025-01-02 19:00:00,433.92,0.0,7.45,38.98,1.25,8.31,9.78,2.53
2025-01-02 20:00:00,473.98,0.0,7.97,29.68,1.21,10.39,11.99,2.69
2025-01-02 21:00:00,514.03,0.01,8.23,21.82,1.12,12.66,14.23,3.04
2025-01-02 22:00:00,554.08,0.05,8.91,14.31,1.12,15.13,16.91,3.61
2025-01-02 23:00:00,594.14,0.1,9.68,11.0,1.15,17.05,19.19,4.37
2025-01-03 00:00:00,607.49,0.08,10.54,11.35,1.25,18.1,20.3,5.38
2025-01-03 01:00:00,627.52,0.05,11.48,13.41,1.43,18.73,20.88,6.21
2025-01-03 02:00:00,654.22,0.04,12.68,14.13,1.64,20.05,22.24,6.97
2025-01-03 03:00:00,667.57,0.05,13.37,13.59,1.76,21.34,23.69,7.28
2025-01-03 04:00:00,654.22,0.06,12.68,12.87,1.73,22.22,24.66,6.59
2025-01-03 05:00:00,634.19,0.06,11.82,12.52,1.7,22.62,25.07,5.64
2025-01-03 06:00:00,614.17,0.07,10.97,12.52,1.64,22.45,24.93,4.5
2025-01-03 07:00:00,587.46,0.08,9.94,13.41,1.61,20.49,23.03,3.26
2025-01-03 08:00:00,507.35,0.23,7.97,18.95,1.53,15.42,17.66,2.22
2025-01-03 09:00:00,297.07,0.12,3.21,37.91,1.0,4.33,5.27,0.91
2025-01-03 10:00:00,290.39,0.11,3.17,38.98,0.83,3.32,4.42,1.19
2025-01-03 11:00:00,307.08,0.12,3.77,41.13,0.77,3.4,4.9,1.57
2025-01-03 12:00:00,273.7,0.07,2.74,43.27,0.51,2.33,3.35,1.3
2025-01-03 13:00:00,267.03,0.07,2.42,43.99,0.45,2.11,2.92,1.31
2025-01-03 14:00:00,287.06,0.08,2.63,45.78,0.51,2.52,3.39,1.54
2025-01-03 15:00:00,313.76,0.05,3.38,45.06,0.69,3.43,4.43,2.09
2025-01-03 16:00:00,360.49,0.04,4.54,41.84,0.87,4.76,5.88,2.47
2025-01-03 17:00:00,403.88,0.01,5.57,37.91,1.01,6.14,7.25,2.34
2025-01-03 18:00:00,467.3,0.0,7.45,32.54,1.27,8.45,9.59,2.53
2025-01-03 19:00:00,547.41,0.0,9.42,25.39,1.43,11.44,12.75,2.82
