Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,560.76,0.66,8.48,22.35,1.49,11.06,14.14,4.24
2025-01-01 09:00:00,413.89,0.27,3.94,40.77,0.86,5.8,7.31,2.5
2025-01-01 10:00:00,353.81,0.17,2.33,49.35,0.64,3.64,4.66,1.93
2025-01-01 11:00:00,327.11,0.13,1.65,53.64,0.52,2.59,3.39,1.63
2025-01-01 12:00:00,287.06,0.08,1.0,55.79,0.32,1.45,1.95,1.09
2025-01-01 13:00:00,270.37,0.06,0.86,55.07,0.26,1.04,1.39,0.9
2025-01-01 14:00:00,273.7,0.06,0.92,52.93,0.26,1.16,1.46,0.85
2025-01-01 15:00:00,287.06,0.07,1.39,50.78,0.35,1.67,2.02,1.06
2025-01-01 16:00:00,310.42,0.06,2.1,49.35,0.49,2.42,2.86,1.41
2025-01-01 17:00:00,333.79,0.02,2.96,48.64,0.63,3.02,3.52,1.58
2025-01-01 18:00:00,357.15,0.0,4.07,47.21,0.79,3.63,4.24,1.73
2025-01-01 19:00:00,383.85,0.0,5.4,42.56,0.94,4.47,5.33,1.85
2025-01-01 20:00:00,407.22,0.0,6.17,37.91,0.97,5.27,6.38,1.8
2025-01-01 21:00:00,423.91,0.0,6.51,33.26,0.95,6.03,7.39,1.8
2025-01-01 22:00:00,433.92,0.0,6.6,30.4,0.92,6.55,8.05,1.88
2025-01-01 23:00:00,433.92,0.0,6.68,27.89,0.89,6.89,8.4,1.95
2025-01-02 00:00:00,453.95,0.0,7.37,25.39,0.88,7.59,9.07,2.12
2025-01-02 01:00:00,494.0,0.0,8.48,21.1,0.86,9.01,10.62,2.5
2025-01-02 02:00:00,534.06,0.01,9.25,16.81,0.84,10.67,12.46,2.91
2025-01-02 03:00:00,594.14,0.04,10.28,12.52,0.89,12.97,15.05,3.8
2025-01-02 04:00:00,660.9,0.14,11.48,8.49,1.0,16.14,18.69,4.69
2025-01-02 05:00:00,727.65,0.34,12.68,5.36,1.1,19.1,22.07,5.64
2025-01-02 06:00:00,767.71,0.64,13.19,3.44,1.25,20.8,24.15,6.02
2025-01-02 07:00:00,787.73,1.27,13.54,2.24,1.59,21.08,25.06,5.57
2025-01-02 08:00:00,781.06,2.71,13.19,3.89,1.97,20.1,24.62,5.0
2025-01-02 09:00:00,627.52,1.87,10.28,15.56,1.61,13.72,16.96,3.67
2025-01-02 10:00:00,527.38,1.3,7.97,30.4,1.46,10.0,12.63,3.29
2025-01-02 11:00:00,453.95,0.71,5.48,48.64,1.27,7.73,9.87,3.26
2025-01-02 12:00:00,330.45,0.19,1.97,63.66,0.57,3.22,4.11,1.61
2025-01-02 13:00:00,287.06,0.1,1.23,62.23,0.37,1.55,2.03,1.09
2025-01-02 14:00:00,273.7,0.09,1.18,57.94,0.34,1.1,1.46,0.97
2025-01-02 15:00:00,277.04,0.09,1.5,55.07,0.4,1.23,1.63,1.16
2025-01-02 16:00:00,290.39,0.07,2.14,53.64,0.53,1.62,2.2,1.54
2025-01-02 17:00:00,310.42,0.03,3.13,50.78,0.7,2.01,2.8,1.9
2025-01-02 18:00:00,423.91,0.0,9.6,37.55,1.7,4.82,6.9,3.67
2025-01-02 19:00:00,600.81,0.02,17.82,21.46,2.62,10.23,14.43,5.26
2025-01-02 20:00:00,767.71,0.09,22.62,12.87,3.01,16.6,22.79,6.71
2025-01-02 21:00:00,894.55,0.28,24.68,6.97,2.98,22.43,30.26,7.47
2025-01-02 22:00:00,961.3,0.69,24.68,3.13,2.65,26.25,35.13,6.52
2025-01-02 23:00:00,988.01,1.16,23.31,1.48,2.32,28.57,37.11,5.45
2025-01-03 00:00:00,974.66,1.16,21.42,1.32,2.0,28.3,35.03,4.81
2025-01-03 01:00:00,934.6,0.87,19.88,1.72,1.71,26.85,32.42,4.62
2025-01-03 02:00:00,854.49,0.52,17.99,2.77,1.46,24.33,28.86,4.5
2025-01-03 03:00:00,807.76,0.34,16.28,3.53,1.28,22.48,26.48,4.43
2025-01-03 04:00:00,827.79,0.43,15.94,3.04,1.19,23.39,27.22,4.5
2025-01-03 05:00:00,881.2,0.68,16.28,1.99,1.18,25.63,29.41,4.62
2025-01-03 06:00:00,907.9,1.1,16.11,1.13,1.22,26.69,30.47,4.62
2025-01-03 07:00:00,907.9,2.01,15.25,0.55,1.46,26.71,30.89,4.37
2025-01-03 08:00:00,921.25,4.25,13.54,2.08,1.85,26.57,31.27,4.37
2025-01-03 09:00:00,761.03,2.4,11.82,10.91,1.64,19.54,23.31,3.67
2025-01-03 10:00:00,694.27,1.59,10.28,23.25,1.59,16.57,20.22,3.7
2025-01-03 11:00:00,634.19,0.91,7.97,41.13,1.43,14.42,17.84,3.74
2025-01-03 12:00:00,453.95,0.32,4.28,54.36,0.84,8.09,10.1,2.5
2025-01-03 13:00:00,393.87,0.17,3.64,53.64,0.7,5.9,7.43,2.18
2025-01-03 14:00:00,387.19,0.1,3.81,52.93,0.73,5.62,7.07,2.22
2025-01-03 15:00:00,417.23,0.07,4.71,52.93,0.98,6.83,8.27,2.5
2025-01-03 16:00:00,473.98,0.05,6.25,54.36,1.46,9.33,10.85,2.82
2025-01-03 17:00:00,514.03,0.02,7.71,56.51,1.88,11.6,13.18,2.82
2025-01-03 18:00:00,587.46,0.0,11.65,48.64,2.32,14.42,16.61,3.29
2025-01-03 19:00:00,687.6,0.0,16.45,36.48,2.59,18.01,21.27,3.99
2025-01-03 20:00:00,781.06,0.0,19.36,27.89,2.71,21.56,25.67,4.88
2025-01-03 21:00:00,841.14,0.01,20.22,21.82,2.62,24.16,28.5,5.38
2025-01-03 22:00:00,894.55,0.03,19.88,16.27,2.35,26.02,30.36,5.19
2025-01-03 23:00:00,934.6,0.09,19.54,11.09,2.09,27.22,31.32,4.88
2025-01-04 00:00:00,961.3,0.15,19.02,7.51,1.74,28.12,31.61,4.5
2025-01-04 01:00:00,961.3,0.14,17.82,5.81,1.43,28.55,31.42,4.37
2025-01-04 02:00:00,947.95,0.13,16.28,4.78,1.16,28.13,30.53,4.12
2025-01-04 03:00:00,921.25,0.13,14.91,4.43,1.01,27.58,29.8,4.12
2025-01-04 04:00:00,894.55,0.11,13.71,5.45,0.95,27.08,29.56,4.18
2025-01-04 05:00:00,854.49,0.06,12.85,7.78,0.94,25.88,28.57,4.18
2025-01-04 06:00:00,767.71,0.02,11.31,12.87,0.89,21.71,24.28,3.77
2025-01-04 07:00:00,654.22,0.01,9.77,18.42,0.98,16.48,19.0,3.36
2025-01-04 08:00:00,554.08,0.16,8.91,25.03,1.13,11.86,14.24,3.13
2025-01-04 09:00:00,427.25,0.38,5.91,39.34,1.04,6.62,8.49,2.91
2025-01-04 10:00:00,357.15,0.38,3.81,52.21,0.89,4.12,5.66,2.91
2025-01-04 11:00:00,320.43,0.27,2.31,62.23,0.7,3.31,4.53,2.63
2025-01-04 12:00:00,287.06,0.13,0.91,73.67,0.37,2.61,3.29,1.44
2025-01-04 13:00:00,280.38,0.09,0.69,76.53,0.29,2.49,3.0,1.17
2025-01-04 14:00:00,277.04,0.08,0.67,75.1,0.28,2.26,2.69,1.09
2025-01-04 15:00:00,273.7,0.06,0.82,72.24,0.28,1.88,2.26,1.08
2025-01-04 16:00:00,277.04,0.04,1.16,68.66,0.32,1.66,2.06,1.25
2025-01-04 17:00:00,280.38,0.01,1.61,66.52,0.39,1.71,2.15,1.47
2025-01-04 18:00:00,297.07,0.0,2.87,61.51,0.61,2.37,3.04,2.22
2025-01-04 19:00:00,323.77,0.0,4.11,55.07,0.84,3.48,4.51,3.17
2025-01-04 20:00:00,340.46,0.0,4.46,52.21,0.91,4.69,6.02,3.7
2025-01-04 21:00:00,347.14,0.0,3.94,52.93,0.81,5.74,7.06,3.58
2025-01-04 22:00:00,343.8,0.0,3.21,55.79,0.65,6.78,7.91,3.1
2025-01-04 23:00:00,333.79,0.0,2.66,62.23,0.49,7.36,8.21,2.47
2025-01-05 00:00:00,327.11,0.0,2.25,70.1,0.37,6.85,7.46,2.06
2025-01-05 01:00:00,327.11,0.0,2.25,72.96,0.34,6.01,6.59,2.31
2025-01-05 02:00:00,323.77,0.0,2.21,72.96,0.32,4.93,5.53,2.53
2025-01-05 03:00:00,323.77,0.0,2.29,71.53,0.34,4.31,4.97,2.79
2025-01-05 04:00:00,323.77,0.0,2.38,69.38,0.35,4.0,4.73,2.94
2025-01-05 05:00:00,320.43,0.0,2.44,67.23,0.36,3.7,4.47,3.01
2025-01-05 06:00:00,317.1,0.0,2.38,66.52,0.37,3.3,4.08,2.85
2025-01-05 07:00:00,313.76,0.0,2.59,65.09,0.45,3.15,4.02,2.66
2025-01-05 08:00:00,307.08,0.02,2.83,65.8,0.55,2.97,3.88,2.37
2025-01-05 09:00:00,277.04,0.04,1.71,70.81,0.36,1.9,2.46,1.3
2025-01-05 10:00:00,257.02,0.06,1.3,69.38,0.29,1.38,1.87,1.09
2025-01-05 11:00:00,247.0,0.07,1.02,68.66,0.26,1.27,1.76,1.01
2025-01-05 12:00:00,243.66,0.05,0.91,67.95,0.24,1.23,1.73,0.98
2025-01-05 13:00:00,240.33,0.05,0.88,66.52,0.23,1.17,1.64,0.97
2025-01-05 14:00:00,240.33,0.04,0.86,65.8,0.23,1.11,1.53,0.92
2025-01-05 15:00:00,247.0,0.04,1.22,63.66,0.32,1.3,1.78,1.23
2025-01-05 16:00:00,260.35,0.03,1.86,60.08,0.47,1.76,2.42,1.82
2025-01-05 17:00:00,273.7,0.01,2.55,56.51,0.6,2.18,2.94,2.22
2025-01-05 18:00:00,300.41,0.0,4.03,52.21,0.85,2.9,3.91,2.94
2025-01-05 19:00:00,337.12,0.0,5.65,45.78,1.09,4.05,5.51,3.7
2025-01-05 20:00:00,367.16,0.0,6.51,40.05,1.18,5.27,7.21,3.89
2025-01-05 21:00:00,393.87,0.0,7.2,35.76,1.19,6.48,8.84,3.83
2025-01-05 22:00:00,427.25,0.0,8.05,31.47,1.21,7.89,10.69,3.86
2025-01-05 23:00:00,460.62,0.0,9.08,27.54,1.21,9.29,12.42,3.8
2025-01-06 00:00:00,507.35,0.01,10.37,22.89,1.18,11.31,14.73,4.05
2025-01-06 01:00:00,574.11,0.02,11.82,17.88,1.21,13.98,17.87,4.94
2025-01-06 02:00:00,620.84,0.05,12.68,14.48,1.31,16.39,20.76,6.9
2025-01-06 03:00:00,667.57,0.1,13.71,11.8,1.53,19.01,23.92,9.88
2025-01-06 04:00:00,707.63,0.17,14.05,9.3,1.48,21.17,26.44,9.75
2025-01-06 05:00:00,734.33,0.29,14.22,7.06,1.36,22.8,28.25,8.36
2025-01-06 06:00:00,747.68,0.44,14.05,5.54,1.31,23.22,28.68,6.78
2025-01-06 07:00:00,761.03,0.87,14.57,4.02,1.61,23.47,29.47,6.33
2025-01-06 08:00:00,807.76,3.07,14.57,5.81,2.18,24.62,31.4,6.65
2025-01-06 09:00:00,674.25,2.71,11.48,26.46,1.94,18.4,24.0,5.51
2025-01-06 10:00:00,627.52,2.43,9.17,50.78,1.94,17.96,23.54,5.64
2025-01-06 11:00:00,620.84,1.26,6.77,91.55,2.21,26.86,32.59,6.14
2025-01-06 12:00:00,360.49,0.27,1.71,97.27,1.45,13.92,16.22,2.47
2025-01-06 13:00:00,307.08,0.15,1.04,94.41,0.98,10.75,12.19,1.87
2025-01-06 14:00:00,293.73,0.13,1.03,94.41,0.86,10.13,11.45,1.8
