Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,287.06,0.22,3.68,17.88,0.57,2.95,3.45,1.19
2025-01-01 09:00:00,270.37,0.45,3.0,24.32,0.57,2.39,2.85,1.01
2025-01-01 10:00:00,263.69,0.36,2.72,28.25,0.55,2.16,2.63,1.03
2025-01-01 11:00:00,253.68,0.28,2.36,32.9,0.52,2.06,2.53,1.06
2025-01-01 12:00:00,250.34,0.2,2.25,34.33,0.51,1.93,2.37,1.08
2025-01-01 13:00:00,260.35,0.21,2.87,31.47,0.64,2.21,2.7,1.38
2025-01-01 14:00:00,277.04,0.22,3.77,29.68,0.83,2.67,3.27,1.84
2025-01-01 15:00:00,283.72,0.18,4.28,29.33,0.93,2.83,3.45,2.06
2025-01-01 16:00:00,277.04,0.1,4.33,27.18,0.9,2.63,3.21,1.84
2025-01-01 17:00:00,273.7,0.03,4.63,24.68,0.92,2.43,2.96,1.61
2025-01-01 18:00:00,287.06,0.01,5.65,19.67,1.12,2.81,3.46,1.85
2025-01-01 19:00:00,317.1,0.02,6.85,13.95,1.33,3.89,4.8,2.28
2025-01-01 20:00:00,343.8,0.03,7.11,10.46,1.34,4.98,6.05,2.5
2025-01-01 21:00:00,363.83,0.03,7.03,9.03,1.33,6.19,7.42,2.88
2025-01-01 22:00:00,367.16,0.02,6.34,9.92,1.16,6.68,8.03,2.6
2025-01-01 23:00:00,343.8,0.01,5.1,11.98,0.89,6.15,7.48,1.96
2025-01-02 00:00:00,317.1,0.01,3.98,13.59,0.63,5.2,6.4,1.5
2025-01-02 01:00:00,303.75,0.0,3.3,13.77,0.48,4.95,5.97,1.39
2025-01-02 02:00:00,297.07,0.0,2.83,13.77,0.39,4.84,5.67,1.39
2025-01-02 03:00:00,287.06,0.0,2.53,13.95,0.35,4.56,5.27,1.36
2025-01-02 04:00:00,290.39,0.01,2.53,13.23,0.34,4.6,5.26,1.41
2025-01-02 05:00:00,297.07,0.01,2.74,11.98,0.35,4.99,5.66,1.47
2025-01-02 06:00:00,310.42,0.01,3.08,11.09,0.39,5.4,6.12,1.58
