Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,206.95,0.02,0.97,35.76,2.65,0.86,1.13,0.46
2025-01-01 09:00:00,208.62,0.04,0.95,37.19,2.53,0.78,1.06,0.44
2025-01-01 10:00:00,205.28,0.04,0.76,39.34,2.5,0.69,0.95,0.4
2025-01-01 11:00:00,203.61,0.03,0.6,41.13,2.59,0.63,0.85,0.35
2025-01-01 12:00:00,200.27,0.02,0.47,43.63,2.59,0.58,0.73,0.28
2025-01-01 13:00:00,200.27,0.03,0.44,43.99,2.62,0.64,0.79,0.28
2025-01-01 14:00:00,200.27,0.02,0.42,43.99,2.44,0.69,0.84,0.27
2025-01-01 15:00:00,201.94,0.02,0.51,42.92,2.53,0.82,1.01,0.36
2025-01-01 16:00:00,205.28,0.02,0.72,41.13,2.74,1.02,1.25,0.46
2025-01-01 17:00:00,208.62,0.01,1.0,39.34,2.95,1.19,1.47,0.5
2025-01-01 18:00:00,210.29,0.0,1.23,37.55,3.04,1.34,1.68,0.54
2025-01-01 19:00:00,210.29,0.0,1.36,35.05,3.04,1.4,1.82,0.61
2025-01-01 20:00:00,210.29,0.0,1.41,32.9,3.16,1.4,1.89,0.69
2025-01-01 21:00:00,206.95,0.0,1.31,31.47,3.16,1.31,1.88,0.74
2025-01-01 22:00:00,201.94,0.0,1.16,31.47,3.01,1.18,1.77,0.71
2025-01-01 23:00:00,198.6,0.0,1.05,32.54,2.89,1.09,1.6,0.66
2025-01-02 00:00:00,198.6,0.0,0.99,33.26,2.89,1.08,1.47,0.64
2025-01-02 01:00:00,198.6,0.0,0.97,32.54,2.98,1.22,1.54,0.69
2025-01-02 02:00:00,198.6,0.0,0.95,31.83,3.13,1.41,1.7,0.71
2025-01-02 03:00:00,200.27,0.0,1.01,31.11,3.34,1.61,1.9,0.79
2025-01-02 04:00:00,203.61,0.0,1.1,29.68,3.52,1.83,2.14,0.89
2025-01-02 05:00:00,208.62,0.0,1.19,28.25,3.64,1.99,2.34,0.98
2025-01-02 06:00:00,208.62,0.0,1.19,27.89,3.7,2.03,2.39,0.97
2025-01-02 07:00:00,210.29,0.0,1.32,28.61,3.81,1.96,2.41,0.9
2025-01-02 08:00:00,211.95,0.02,1.5,30.4,4.05,1.85,2.36,0.8
2025-01-02 09:00:00,206.95,0.04,1.29,33.97,4.05,1.57,1.95,0.55
2025-01-02 10:00:00,203.61,0.05,1.1,35.76,3.99,1.42,1.75,0.51
2025-01-02 11:00:00,200.27,0.04,0.92,36.48,4.11,1.29,1.58,0.42
2025-01-02 12:00:00,193.6,0.03,0.73,37.55,4.11,1.13,1.34,0.33
2025-01-02 13:00:00,191.93,0.02,0.66,37.19,3.93,1.05,1.23,0.32
2025-01-02 14:00:00,190.26,0.01,0.59,37.19,3.61,1.0,1.15,0.3
2025-01-02 15:00:00,191.93,0.01,0.71,35.76,3.76,1.18,1.35,0.42
2025-01-02 16:00:00,198.6,0.01,1.02,32.9,4.23,1.59,1.83,0.58
2025-01-02 17:00:00,203.61,0.01,1.34,31.11,4.53,1.94,2.25,0.65
2025-01-02 18:00:00,206.95,0.0,1.56,30.04,4.41,2.28,2.72,0.73
2025-01-02 19:00:00,208.62,0.0,1.63,27.18,4.47,2.58,3.16,0.78
2025-01-02 20:00:00,210.29,0.0,1.59,24.32,4.59,2.8,3.45,0.82
2025-01-02 21:00:00,208.62,0.0,1.41,22.53,4.89,2.86,3.41,0.72
2025-01-02 22:00:00,208.62,0.0,1.29,22.53,5.01,2.78,3.27,0.7
2025-01-02 23:00:00,206.95,0.0,1.23,22.89,5.13,2.72,3.17,0.68
2025-01-03 00:00:00,205.28,0.0,1.22,22.89,5.01,2.85,3.22,0.7
2025-01-03 01:00:00,205.28,0.0,1.26,21.1,4.89,3.16,3.5,0.74
2025-01-03 02:00:00,203.61,0.01,1.25,19.85,4.65,3.35,3.67,0.77
2025-01-03 03:00:00,201.94,0.01,1.24,19.67,4.65,3.55,3.9,0.86
2025-01-03 04:00:00,203.61,0.01,1.23,20.38,4.95,3.84,4.24,0.92
2025-01-03 05:00:00,203.61,0.01,1.21,21.1,5.19,4.06,4.49,0.95
2025-01-03 06:00:00,203.61,0.01,1.15,22.35,5.01,4.0,4.46,0.9
2025-01-03 07:00:00,206.95,0.02,1.3,22.71,4.89,4.04,4.62,0.94
2025-01-03 08:00:00,211.95,0.16,1.46,22.53,5.3,4.45,5.18,1.01
2025-01-03 09:00:00,211.95,0.21,1.44,23.96,5.96,4.82,5.54,0.83
2025-01-03 10:00:00,206.95,0.13,1.29,27.54,6.62,4.56,5.19,0.62
2025-01-03 11:00:00,200.27,0.05,1.08,31.47,7.39,4.07,4.59,0.44
2025-01-03 12:00:00,191.93,0.01,0.68,37.19,6.02,2.8,3.12,0.15
2025-01-03 13:00:00,190.26,0.01,0.67,37.91,5.25,2.23,2.49,0.2
2025-01-03 14:00:00,190.26,0.0,0.7,37.91,5.25,2.12,2.37,0.23
2025-01-03 15:00:00,195.26,0.02,0.96,36.12,6.08,2.37,2.68,0.45
2025-01-03 16:00:00,206.95,0.05,1.44,33.26,6.62,2.91,3.31,0.73
2025-01-03 17:00:00,213.62,0.05,1.97,31.11,6.44,3.26,3.74,0.84
2025-01-03 18:00:00,220.3,0.0,2.44,28.61,5.66,3.47,4.07,1.01
2025-01-03 19:00:00,230.31,0.0,2.59,25.39,4.95,3.64,4.43,1.17
2025-01-03 20:00:00,233.65,0.0,2.48,23.96,4.53,3.68,4.63,1.25
2025-01-03 21:00:00,240.33,0.01,2.42,21.28,3.99,3.78,4.89,1.44
2025-01-03 22:00:00,250.34,0.02,2.63,18.78,3.64,4.1,5.39,1.84
2025-01-03 23:00:00,260.35,0.02,2.83,17.34,3.49,4.31,5.67,2.18
2025-01-04 00:00:00,263.69,0.03,2.87,16.27,3.43,4.48,5.71,2.41
2025-01-04 01:00:00,257.02,0.02,2.57,16.27,3.46,4.39,5.41,2.25
2025-01-04 02:00:00,247.0,0.02,2.21,16.99,3.58,4.21,5.07,2.06
2025-01-04 03:00:00,240.33,0.01,1.95,18.78,3.87,4.08,4.84,1.87
2025-01-04 04:00:00,233.65,0.01,1.71,20.56,4.17,3.98,4.69,1.55
2025-01-04 05:00:00,223.64,0.01,1.46,22.71,4.47,3.79,4.45,1.23
2025-01-04 06:00:00,213.62,0.0,1.17,24.68,4.47,3.3,3.91,0.96
2025-01-04 07:00:00,213.62,0.03,1.19,25.39,4.41,2.99,3.68,0.97
2025-01-04 08:00:00,216.96,0.2,1.23,27.18,4.83,3.04,3.84,0.97
2025-01-04 09:00:00,213.62,0.24,1.19,31.83,5.25,2.84,3.63,0.77
2025-01-04 10:00:00,208.62,0.2,1.1,35.76,5.48,2.68,3.4,0.63
2025-01-04 11:00:00,201.94,0.13,0.94,38.98,6.14,2.85,3.48,0.46
2025-01-04 12:00:00,196.93,0.08,0.74,41.13,6.74,2.95,3.42,0.22
2025-01-04 13:00:00,195.26,0.06,0.66,41.48,7.15,3.03,3.44,0.14
2025-01-04 14:00:00,193.6,0.04,0.56,41.48,7.15,2.9,3.28,0.08
2025-01-04 15:00:00,196.93,0.05,0.66,41.13,7.75,3.07,3.51,0.22
2025-01-04 16:00:00,203.61,0.07,0.84,40.41,7.87,3.21,3.73,0.41
2025-01-04 17:00:00,206.95,0.06,1.08,39.34,7.03,3.1,3.69,0.5
2025-01-04 18:00:00,208.62,0.0,1.27,37.19,5.84,2.89,3.68,0.53
2025-01-04 19:00:00,205.28,0.0,1.22,35.76,4.95,2.76,3.77,0.55
2025-01-04 20:00:00,203.61,0.0,1.17,35.05,4.35,2.64,3.65,0.57
2025-01-04 21:00:00,201.94,0.0,1.02,35.05,3.73,2.32,3.15,0.57
2025-01-04 22:00:00,200.27,0.0,0.9,35.76,3.31,1.98,2.65,0.59
2025-01-04 23:00:00,198.6,0.0,0.81,36.48,3.16,1.74,2.28,0.58
2025-01-05 00:00:00,198.6,0.0,0.78,36.48,3.19,1.6,2.05,0.61
2025-01-05 01:00:00,198.6,0.0,0.77,35.76,3.37,1.58,1.98,0.66
2025-01-05 02:00:00,198.6,0.0,0.77,35.76,3.55,1.61,1.98,0.71
2025-01-05 03:00:00,201.94,0.0,0.9,34.33,3.87,1.76,2.16,0.87
2025-01-05 04:00:00,208.62,0.0,1.1,31.47,4.11,2.08,2.55,1.08
2025-01-05 05:00:00,216.96,0.0,1.27,28.61,4.35,2.41,2.96,1.27
2025-01-05 06:00:00,216.96,0.0,1.34,26.82,4.41,2.59,3.21,1.33
2025-01-05 07:00:00,220.3,0.03,1.41,27.18,4.83,2.89,3.67,1.31
2025-01-05 08:00:00,226.97,0.21,1.46,29.68,5.9,3.56,4.55,1.3
2025-01-05 09:00:00,223.64,0.26,1.46,35.41,6.79,3.84,4.82,0.98
2025-01-05 10:00:00,213.62,0.19,1.29,39.7,6.44,3.29,4.13,0.66
2025-01-05 11:00:00,200.27,0.09,0.88,41.48,4.89,2.31,3.03,0.43
2025-01-05 12:00:00,191.93,0.05,0.57,41.13,3.58,1.62,2.26,0.32
2025-01-05 13:00:00,188.59,0.04,0.49,40.05,3.04,1.29,1.86,0.35
2025-01-05 14:00:00,188.59,0.03,0.48,40.41,2.8,1.17,1.7,0.37
2025-01-05 15:00:00,188.59,0.02,0.56,40.05,2.92,1.4,1.98,0.44
2025-01-05 16:00:00,193.6,0.02,0.73,39.34,3.19,2.01,2.65,0.52
2025-01-05 17:00:00,201.94,0.01,0.96,39.34,3.34,2.6,3.26,0.59
2025-01-05 18:00:00,208.62,0.0,1.1,38.98,3.28,2.85,3.51,0.61
2025-01-05 19:00:00,210.29,0.0,1.16,37.91,3.25,2.93,3.67,0.66
2025-01-05 20:00:00,210.29,0.0,1.2,36.48,3.43,3.0,3.8,0.7
2025-01-05 21:00:00,210.29,0.0,1.25,33.26,3.37,3.01,3.84,0.77
2025-01-05 22:00:00,211.95,0.0,1.34,29.68,3.25,3.02,3.85,0.88
2025-01-05 23:00:00,213.62,0.0,1.39,27.54,3.28,3.02,3.82,0.95
2025-01-06 00:00:00,216.96,0.0,1.5,25.03,3.19,2.84,3.52,1.08
2025-01-06 01:00:00,220.3,0.01,1.63,22.35,3.31,2.88,3.55,1.27
2025-01-06 02:00:00,223.64,0.01,1.67,20.92,3.55,3.09,3.81,1.46
2025-01-06 03:00:00,226.97,0.01,1.65,21.28,3.93,3.34,4.08,1.52
2025-01-06 04:00:00,226.97,0.01,1.59,22.17,4.41,3.64,4.39,1.41
2025-01-06 05:00:00,226.97,0.01,1.59,22.53,4.95,4.0,4.78,1.28
2025-01-06 06:00:00,223.64,0.01,1.61,22.89,5.3,4.15,4.97,1.16
2025-01-06 07:00:00,226.97,0.01,1.88,23.25,5.84,4.36,5.33,1.12
2025-01-06 08:00:00,233.65,0.09,2.31,25.03,7.15,4.93,6.1,1.14
2025-01-06 09:00:00,220.3,0.14,1.97,31.47,9.54,4.96,6.01,0.58
2025-01-06 10:00:00,213.62,0.17,1.93,35.05,10.13,4.76,5.68,0.36
2025-01-06 11:00:00,211.95,0.16,1.71,39.7,11.8,6.37,7.21,0.07
2025-01-06 12:00:00,210.29,0.05,1.24,42.92,12.28,9.18,9.83,0.0
2025-01-06 13:00:00,206.95,0.02,1.02,42.2,11.56,8.35,8.91,0.0
2025-01-06 14:00:00,200.27,0.01,0.87,40.05,9.06,4.76,5.25,0.0
2025-01-06 15:00:00,203.61,0.04,0.86,39.34,8.11,2.96,3.41,0.17
2025-01-06 16:00:00,213.62,0.07,0.84,43.99,7.51,2.32,2.73,0.29
2025-01-06 17:00:00,223.64,0.06,0.96,49.35,7.03,2.25,2.66,0.34
