Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,907.9,4.86,7.71,3.0,1.09,33.59,35.84,5.45
2025-01-01 09:00:00,500.68,0.32,4.67,23.6,0.44,12.03,12.76,3.8
2025-01-01 10:00:00,447.27,0.17,3.3,29.68,0.38,8.68,9.29,3.13
2025-01-01 11:00:00,440.6,0.15,2.91,34.69,0.39,8.23,8.85,3.17
2025-01-01 12:00:00,410.56,0.12,2.21,37.91,0.34,6.46,6.98,2.66
2025-01-01 13:00:00,373.84,0.09,1.76,38.62,0.28,5.02,5.44,2.18
2025-01-01 14:00:00,370.5,0.09,1.61,40.77,0.28,4.75,5.15,2.12
2025-01-01 15:00:00,380.52,0.08,1.91,41.13,0.33,5.12,5.58,2.34
2025-01-01 16:00:00,400.54,0.05,2.59,38.27,0.42,6.03,6.61,2.66
2025-01-01 17:00:00,420.57,0.02,3.34,34.69,0.5,7.05,7.73,2.82
2025-01-01 18:00:00,487.33,0.0,6.08,25.39,0.77,9.65,10.81,3.45
2025-01-01 19:00:00,587.46,0.02,9.17,14.31,1.01,12.96,14.81,3.96
2025-01-01 20:00:00,667.57,0.11,10.88,7.6,1.13,15.9,18.03,4.43
2025-01-01 21:00:00,734.33,0.24,11.48,4.38,1.15,18.45,20.58,4.81
2025-01-01 22:00:00,781.06,0.42,11.65,2.75,1.12,20.81,22.94,5.07
2025-01-01 23:00:00,827.79,0.57,11.82,1.81,1.09,23.21,25.3,5.38
2025-01-02 00:00:00,867.84,0.69,12.0,1.29,1.1,25.84,27.87,6.27
2025-01-02 01:00:00,894.55,0.82,12.0,0.84,1.09,28.5,30.48,7.16
2025-01-02 02:00:00,907.9,1.05,11.82,0.49,1.07,30.57,32.52,8.11
2025-01-02 03:00:00,921.25,1.38,11.48,0.28,1.09,32.85,34.74,9.37
2025-01-02 04:00:00,934.6,1.76,11.31,0.19,1.12,35.39,37.21,10.89
2025-01-02 05:00:00,961.3,2.21,11.14,0.12,1.18,38.0,39.68,12.67
2025-01-02 06:00:00,988.01,2.88,10.45,0.03,1.16,40.18,41.78,12.41
2025-01-02 07:00:00,1014.71,4.08,9.42,0.65,1.18,41.54,43.46,9.5
2025-01-02 08:00:00,1014.71,4.69,9.42,7.24,1.28,40.92,43.28,7.47
2025-01-02 09:00:00,534.06,0.27,4.5,34.69,0.45,14.32,15.06,3.01
2025-01-02 10:00:00,453.95,0.14,2.78,37.19,0.36,9.64,10.24,2.5
2025-01-02 11:00:00,423.91,0.11,2.1,37.91,0.29,7.99,8.51,2.41
2025-01-02 12:00:00,320.43,0.07,1.16,36.84,0.16,3.55,3.84,1.46
2025-01-02 13:00:00,267.03,0.06,0.84,35.76,0.13,1.77,1.97,1.14
2025-01-02 14:00:00,260.35,0.06,0.8,36.48,0.14,1.51,1.71,1.19
2025-01-02 15:00:00,283.72,0.13,1.61,33.97,0.31,2.11,2.49,2.28
2025-01-02 16:00:00,330.45,0.17,3.04,30.04,0.54,3.52,4.22,3.39
2025-01-02 17:00:00,383.85,0.12,4.8,26.11,0.75,5.21,6.17,3.64
2025-01-02 18:00:00,447.27,0.01,6.94,19.67,0.91,7.15,8.43,3.8
2025-01-02 19:00:00,507.35,0.01,8.48,13.41,1.01,9.36,11.06,4.18
2025-01-02 20:00:00,540.73,0.04,9.25,9.3,1.1,11.47,13.33,4.88
2025-01-02 21:00:00,580.79,0.13,9.68,6.17,1.13,13.8,15.87,5.76
2025-01-02 22:00:00,634.19,0.39,10.28,3.17,1.24,16.82,19.24,7.35
2025-01-02 23:00:00,687.6,0.91,11.14,1.33,1.43,19.79,22.38,10.26
2025-01-03 00:00:00,741.0,1.38,12.51,0.64,1.71,22.27,24.72,14.19
2025-01-03 01:00:00,794.41,1.65,13.54,0.34,1.7,24.53,26.74,14.44
2025-01-03 02:00:00,854.49,1.82,14.57,0.21,1.65,27.17,29.24,13.68
2025-01-03 03:00:00,894.55,1.93,14.91,0.19,1.67,29.63,31.56,14.95
2025-01-03 04:00:00,907.9,2.07,15.94,0.2,1.94,31.37,33.29,20.52
2025-01-03 05:00:00,921.25,2.15,17.31,0.22,2.24,32.79,34.74,26.6
2025-01-03 06:00:00,947.95,2.35,19.02,0.13,2.56,34.55,36.59,32.42
2025-01-03 07:00:00,974.66,3.91,17.14,2.32,2.59,35.71,38.27,30.65
2025-01-03 08:00:00,974.66,4.41,14.57,8.85,2.15,35.74,38.66,17.99
2025-01-03 09:00:00,507.35,0.45,5.06,31.47,0.66,12.33,13.28,4.69
2025-01-03 10:00:00,433.92,0.29,2.36,46.49,0.49,8.95,9.7,3.36
2025-01-03 11:00:00,407.22,0.19,1.31,58.65,0.41,8.53,9.2,3.04
2025-01-03 12:00:00,323.77,0.11,0.72,56.51,0.25,5.16,5.58,1.87
2025-01-03 13:00:00,280.38,0.08,0.62,50.07,0.18,3.3,3.58,1.3
