Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,921.25,6.71,14.57,9.12,2.8,26.24,33.01,6.84
2025-01-01 09:00:00,707.63,3.91,11.14,29.33,2.44,18.56,23.3,6.08
2025-01-01 10:00:00,607.49,1.82,8.91,54.36,2.24,16.33,20.18,5.89
2025-01-01 11:00:00,494.0,0.65,5.27,72.96,1.71,12.53,15.26,5.0
2025-01-01 12:00:00,387.19,0.26,2.96,67.95,1.1,6.65,8.26,3.45
2025-01-01 13:00:00,333.79,0.23,2.68,61.51,0.9,3.41,4.52,2.91
2025-01-01 14:00:00,310.42,0.22,2.78,56.51,0.86,2.05,2.9,2.66
2025-01-01 15:00:00,313.76,0.13,3.34,51.5,0.89,2.01,2.71,2.56
2025-01-01 16:00:00,330.45,0.07,4.03,48.64,0.95,2.46,3.12,2.6
2025-01-01 17:00:00,343.8,0.03,4.88,47.92,1.04,2.96,3.6,2.47
2025-01-01 18:00:00,370.5,0.0,6.0,47.21,1.21,3.63,4.41,2.41
2025-01-01 19:00:00,407.22,0.0,7.71,43.63,1.46,4.84,5.97,2.91
2025-01-01 20:00:00,447.27,0.0,9.25,39.34,1.61,6.24,7.77,3.29
2025-01-01 21:00:00,473.98,0.0,10.02,35.41,1.65,7.52,9.5,3.67
2025-01-01 22:00:00,500.68,0.0,10.71,31.47,1.68,8.73,11.16,3.86
2025-01-01 23:00:00,540.73,0.0,12.0,28.25,1.7,10.09,12.83,3.89
2025-01-02 00:00:00,587.46,0.0,14.05,25.03,1.58,11.7,14.38,3.83
2025-01-02 01:00:00,640.87,0.0,15.59,21.99,1.39,13.45,16.06,3.93
2025-01-02 02:00:00,680.92,0.01,16.11,19.85,1.24,15.05,17.71,4.18
2025-01-02 03:00:00,754.36,0.03,17.82,16.09,1.27,18.29,21.52,5.32
2025-01-02 04:00:00,867.84,0.14,20.39,10.19,1.42,23.37,27.54,6.78
2025-01-02 05:00:00,961.3,0.44,21.93,5.59,1.58,27.78,32.75,8.11
2025-01-02 06:00:00,1014.71,1.09,22.28,2.57,1.76,30.81,36.23,8.61
2025-01-02 07:00:00,1068.12,2.68,22.62,1.11,2.38,32.81,38.8,8.61
2025-01-02 08:00:00,1121.52,6.31,22.28,3.58,3.37,34.04,40.61,8.87
2025-01-02 09:00:00,881.2,4.19,17.14,14.13,2.68,23.94,28.55,6.59
2025-01-02 10:00:00,814.44,4.02,13.88,28.61,2.5,22.43,26.66,6.21
2025-01-02 11:00:00,761.03,2.15,10.8,65.8,2.29,26.08,30.14,6.02
2025-01-02 12:00:00,600.81,0.57,4.93,97.27,1.62,27.05,30.05,4.75
2025-01-02 13:00:00,540.73,0.36,4.54,97.27,1.55,24.74,27.27,4.62
2025-01-02 14:00:00,467.3,0.29,5.27,79.39,1.48,14.74,16.64,4.18
2025-01-02 15:00:00,420.57,0.22,6.25,60.8,1.49,7.87,9.37,4.05
2025-01-02 16:00:00,440.6,0.17,8.23,52.93,1.76,7.12,8.74,4.56
2025-01-02 17:00:00,500.68,0.05,11.82,51.5,2.24,9.34,11.22,5.13
2025-01-02 18:00:00,620.84,0.0,18.51,48.64,3.19,15.39,17.87,6.46
2025-01-02 19:00:00,801.09,0.0,26.73,39.34,4.23,24.44,28.18,8.87
2025-01-02 20:00:00,961.3,0.0,31.53,32.19,4.77,34.18,39.16,11.27
2025-01-02 21:00:00,1041.41,0.01,31.53,25.75,4.65,40.62,46.58,12.16
2025-01-02 22:00:00,1068.12,0.03,28.79,19.67,3.76,40.83,46.66,9.63
2025-01-02 23:00:00,1054.76,0.12,26.39,12.87,3.01,37.55,43.24,7.41
2025-01-03 00:00:00,1041.41,0.31,25.02,6.97,2.41,33.62,38.94,6.02
2025-01-03 01:00:00,1041.41,0.52,24.33,3.84,1.94,31.83,37.08,5.26
2025-01-03 02:00:00,1041.41,0.5,23.31,3.44,1.59,31.43,36.74,4.75
2025-01-03 03:00:00,1028.06,0.27,22.28,5.36,1.31,30.58,35.01,4.31
2025-01-03 04:00:00,1028.06,0.28,21.42,5.59,1.15,30.98,34.76,4.31
2025-01-03 05:00:00,1054.76,0.43,21.42,4.78,1.12,32.44,36.11,4.5
2025-01-03 06:00:00,1108.17,0.69,22.28,3.26,1.24,35.13,39.23,4.81
2025-01-03 07:00:00,1148.22,1.36,23.31,2.1,1.7,36.6,41.35,5.13
2025-01-03 08:00:00,1134.87,3.05,23.31,3.89,2.41,35.19,40.52,5.45
2025-01-03 09:00:00,1014.71,3.38,21.08,10.64,2.65,30.21,35.44,5.45
2025-01-03 10:00:00,947.95,2.93,19.02,19.31,2.59,27.24,32.3,5.51
2025-01-03 11:00:00,841.14,1.77,15.42,34.69,2.26,23.71,28.18,5.38
2025-01-03 12:00:00,534.06,0.31,7.8,50.07,1.21,11.52,13.83,3.26
2025-01-03 13:00:00,453.95,0.09,6.17,50.78,1.04,8.07,9.75,2.91
2025-01-03 14:00:00,453.95,0.06,5.91,55.07,1.36,8.49,10.1,3.17
2025-01-03 15:00:00,480.65,0.03,7.03,57.22,2.15,9.94,11.58,3.8
2025-01-03 16:00:00,527.38,0.03,9.25,55.07,2.77,11.49,13.28,4.43
2025-01-03 17:00:00,574.11,0.02,12.17,49.35,3.1,13.34,15.26,4.5
2025-01-03 18:00:00,667.57,0.0,18.16,38.27,3.73,16.84,19.29,5.83
2025-01-03 19:00:00,807.76,0.01,25.36,25.39,4.35,21.81,25.34,7.92
