Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,297.07,0.15,1.52,32.54,0.34,4.93,6.44,1.0
2025-01-01 09:00:00,253.68,0.09,0.6,47.21,0.25,2.55,3.35,0.67
2025-01-01 10:00:00,253.68,0.09,0.6,51.5,0.42,2.18,2.88,0.82
2025-01-01 11:00:00,267.03,0.14,1.08,57.22,0.92,2.29,3.09,1.04
2025-01-01 12:00:00,270.37,0.09,1.23,57.94,0.9,1.88,2.57,0.97
2025-01-01 13:00:00,273.7,0.08,1.46,56.51,0.86,2.01,2.71,1.04
2025-01-01 14:00:00,287.06,0.05,1.99,56.51,1.13,2.42,3.16,1.22
2025-01-01 15:00:00,303.75,0.06,2.78,56.51,1.71,2.93,3.67,1.42
2025-01-01 16:00:00,327.11,0.06,3.6,55.79,2.32,3.65,4.39,1.6
2025-01-01 17:00:00,347.14,0.02,4.46,52.21,2.83,4.24,4.95,1.5
2025-01-01 18:00:00,367.16,0.0,5.4,46.49,3.04,5.0,5.75,1.3
2025-01-01 19:00:00,380.52,0.0,6.0,40.41,2.68,5.67,6.5,1.11
2025-01-01 20:00:00,387.19,0.0,6.08,36.12,2.09,6.09,7.01,1.0
2025-01-01 21:00:00,400.54,0.0,6.08,30.4,1.52,6.92,7.96,1.06
2025-01-01 22:00:00,417.23,0.0,6.17,25.03,1.21,8.03,9.28,1.17
2025-01-01 23:00:00,433.92,0.0,6.25,21.82,1.04,8.93,10.24,1.22
2025-01-02 00:00:00,440.6,0.0,6.08,20.03,0.89,9.5,10.78,1.2
2025-01-02 01:00:00,440.6,0.0,5.91,18.95,0.77,10.11,11.34,1.23
2025-01-02 02:00:00,440.6,0.0,5.57,19.13,0.66,10.52,11.67,1.23
2025-01-02 03:00:00,420.57,0.0,4.63,21.1,0.48,9.89,10.83,1.03
2025-01-02 04:00:00,387.19,0.0,3.64,25.39,0.35,8.56,9.33,0.89
2025-01-02 05:00:00,353.81,0.0,2.78,31.83,0.29,7.12,7.79,0.82
