Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,185.25,0.02,0.73,23.25,0.18,0.84,1.08,0.42
2025-01-01 09:00:00,185.25,0.03,0.57,28.61,0.17,0.57,0.76,0.32
2025-01-01 10:00:00,185.25,0.03,0.51,30.4,0.16,0.5,0.68,0.32
2025-01-01 11:00:00,185.25,0.04,0.54,30.4,0.17,0.5,0.68,0.37
2025-01-01 12:00:00,188.59,0.05,0.5,30.76,0.17,0.5,0.68,0.4
2025-01-01 13:00:00,190.26,0.05,0.41,31.47,0.16,0.5,0.66,0.37
2025-01-01 14:00:00,190.26,0.04,0.32,31.83,0.17,0.5,0.63,0.3
2025-01-01 15:00:00,188.59,0.03,0.27,32.9,0.16,0.5,0.61,0.24
2025-01-01 16:00:00,186.92,0.02,0.28,32.9,0.16,0.5,0.61,0.24
2025-01-01 17:00:00,186.92,0.0,0.33,31.47,0.17,0.5,0.62,0.25
2025-01-01 18:00:00,190.26,0.0,0.54,26.82,0.2,0.61,0.83,0.47
2025-01-01 19:00:00,196.93,0.0,0.85,20.92,0.25,0.91,1.26,0.7
2025-01-01 20:00:00,205.28,0.0,1.15,17.17,0.29,1.21,1.67,0.82
2025-01-01 21:00:00,208.62,0.0,1.37,14.48,0.3,1.41,1.9,0.82
2025-01-01 22:00:00,203.61,0.0,1.44,13.95,0.27,1.43,1.87,0.69
2025-01-01 23:00:00,196.93,0.0,1.35,16.63,0.23,1.27,1.61,0.53
2025-01-02 00:00:00,190.26,0.0,1.01,24.32,0.18,0.86,1.04,0.32
2025-01-02 01:00:00,186.92,0.0,0.87,24.32,0.13,0.67,0.8,0.31
2025-01-02 02:00:00,185.25,0.0,0.78,23.25,0.1,0.53,0.64,0.31
2025-01-02 03:00:00,186.92,0.0,0.72,23.96,0.09,0.5,0.61,0.32
2025-01-02 04:00:00,186.92,0.0,0.66,25.39,0.08,0.5,0.61,0.32
2025-01-02 05:00:00,186.92,0.0,0.62,26.11,0.07,0.5,0.61,0.33
2025-01-02 06:00:00,186.92,0.0,0.58,26.82,0.07,0.5,0.62,0.34
2025-01-02 07:00:00,188.59,0.0,0.59,27.54,0.09,0.5,0.67,0.36
2025-01-02 08:00:00,188.59,0.02,0.62,27.54,0.11,0.5,0.72,0.4
2025-01-02 09:00:00,188.59,0.01,0.65,27.18,0.13,0.5,0.73,0.39
2025-01-02 10:00:00,186.92,0.01,0.71,26.11,0.14,0.5,0.71,0.34
2025-01-02 11:00:00,185.25,0.01,0.72,26.11,0.14,0.52,0.7,0.31
2025-01-02 12:00:00,185.25,0.01,0.6,28.97,0.13,0.5,0.67,0.27
2025-01-02 13:00:00,185.25,0.01,0.46,30.76,0.11,0.5,0.66,0.25
2025-01-02 14:00:00,185.25,0.01,0.37,31.83,0.1,0.5,0.66,0.23
2025-01-02 15:00:00,186.92,0.02,0.39,32.54,0.11,0.5,0.68,0.23
2025-01-02 16:00:00,188.59,0.02,0.39,32.19,0.12,0.54,0.76,0.25
2025-01-02 17:00:00,186.92,0.01,0.4,31.83,0.12,0.63,0.88,0.26
2025-01-02 18:00:00,186.92,0.0,0.46,29.68,0.13,0.78,1.07,0.28
2025-01-02 19:00:00,186.92,0.0,0.6,27.18,0.16,0.98,1.38,0.31
2025-01-02 20:00:00,186.92,0.0,0.7,26.82,0.18,1.17,1.67,0.31
2025-01-02 21:00:00,186.92,0.0,0.72,27.54,0.18,1.3,1.85,0.3
