Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,547.41,0.98,9.94,19.49,1.91,11.03,13.94,5.26
2025-01-01 09:00:00,370.5,0.2,4.11,44.7,0.92,4.25,5.44,2.41
2025-01-01 10:00:00,340.46,0.18,3.08,50.07,0.8,3.08,3.94,2.06
2025-01-01 11:00:00,327.11,0.16,2.4,54.36,0.71,2.68,3.39,1.8
2025-01-01 12:00:00,300.41,0.1,1.5,57.22,0.53,1.95,2.44,1.33
2025-01-01 13:00:00,297.07,0.08,1.37,57.94,0.51,1.8,2.2,1.25
2025-01-01 14:00:00,290.39,0.07,1.35,55.79,0.47,1.59,1.91,1.11
2025-01-01 15:00:00,283.72,0.06,1.39,55.07,0.44,1.49,1.76,0.93
2025-01-01 16:00:00,290.39,0.04,1.71,55.79,0.48,1.72,2.01,0.97
2025-01-01 17:00:00,300.41,0.01,2.25,57.94,0.55,2.23,2.54,1.01
2025-01-01 18:00:00,330.45,0.0,4.2,56.51,0.92,3.28,3.82,1.58
2025-01-01 19:00:00,350.48,0.0,5.65,54.36,1.13,4.05,4.75,1.88
2025-01-01 20:00:00,357.15,0.0,6.08,52.21,1.1,4.29,5.08,1.84
2025-01-01 21:00:00,367.16,0.0,6.34,50.07,1.07,4.67,5.59,1.8
2025-01-01 22:00:00,387.19,0.0,6.77,47.21,1.09,5.39,6.52,1.88
2025-01-01 23:00:00,407.22,0.0,7.45,43.27,1.13,6.19,7.53,2.01
2025-01-02 00:00:00,460.62,0.0,9.25,36.48,1.19,7.99,9.63,2.53
2025-01-02 01:00:00,547.41,0.0,11.82,27.89,1.25,10.94,12.95,3.2
2025-01-02 02:00:00,627.52,0.01,13.54,21.46,1.27,13.89,16.07,3.89
2025-01-02 03:00:00,700.95,0.02,14.91,16.45,1.31,16.94,19.39,4.75
2025-01-02 04:00:00,774.38,0.06,16.28,12.52,1.39,20.04,22.79,5.51
2025-01-02 05:00:00,834.47,0.13,17.48,9.12,1.49,23.09,26.06,6.08
2025-01-02 06:00:00,881.2,0.27,18.51,6.26,1.7,25.51,28.75,6.78
2025-01-02 07:00:00,907.9,0.69,19.19,4.02,2.06,26.82,30.57,6.46
2025-01-02 08:00:00,907.9,2.49,18.34,6.08,2.5,26.47,30.9,5.64
2025-01-02 09:00:00,620.84,1.33,11.31,24.68,2.0,14.35,17.44,4.18
2025-01-02 10:00:00,534.06,1.34,8.83,35.05,2.06,10.85,13.39,4.5
2025-01-02 11:00:00,473.98,0.96,6.6,48.64,1.88,8.36,10.23,4.24
2025-01-02 12:00:00,340.46,0.27,2.51,62.94,0.79,3.2,3.86,1.82
2025-01-02 13:00:00,307.08,0.16,2.03,61.51,0.61,2.04,2.49,1.42
2025-01-02 14:00:00,300.41,0.12,2.21,60.08,0.64,1.88,2.31,1.47
2025-01-02 15:00:00,323.77,0.12,3.51,57.94,1.0,2.45,3.09,2.25
2025-01-02 16:00:00,373.84,0.11,5.83,55.07,1.48,3.7,4.71,3.42
2025-01-02 17:00:00,410.56,0.03,7.97,49.35,1.76,4.54,5.82,3.7
2025-01-02 18:00:00,467.3,0.0,11.82,39.34,2.32,6.07,7.92,4.24
2025-01-02 19:00:00,554.08,0.0,15.77,30.04,2.83,8.84,11.62,4.56
2025-01-02 20:00:00,647.54,0.0,19.02,24.32,2.98,12.75,16.44,4.5
2025-01-02 21:00:00,781.06,0.03,22.62,17.17,2.95,18.42,22.99,4.31
2025-01-02 22:00:00,934.6,0.29,26.39,8.4,2.98,25.22,30.73,5.0
2025-01-02 23:00:00,1094.82,1.31,29.82,2.41,3.19,32.68,38.38,6.65
2025-01-03 00:00:00,1228.33,2.91,30.85,0.37,3.04,38.34,43.28,7.54
2025-01-03 01:00:00,1335.14,3.86,32.22,0.05,2.92,43.13,47.32,8.74
2025-01-03 02:00:00,1415.25,4.02,33.59,0.04,2.89,46.86,50.51,9.75
2025-01-03 03:00:00,1388.55,3.27,32.22,0.17,2.44,45.75,48.53,8.23
2025-01-03 04:00:00,1335.14,2.51,30.5,0.23,1.97,43.33,45.56,6.65
2025-01-03 05:00:00,1295.09,1.98,29.82,0.3,1.76,41.28,43.25,5.95
2025-01-03 06:00:00,1241.68,1.72,28.1,0.51,1.74,38.25,40.22,5.83
2025-01-03 07:00:00,1188.28,2.46,25.02,0.42,1.94,35.52,37.79,5.19
2025-01-03 08:00:00,1161.58,4.69,21.42,1.56,2.38,33.02,35.8,4.43
2025-01-03 09:00:00,680.92,1.47,12.34,15.2,1.65,14.75,16.59,2.72
2025-01-03 10:00:00,560.76,1.1,9.25,24.68,1.59,11.0,12.86,3.01
2025-01-03 11:00:00,534.06,0.7,8.05,36.48,1.62,10.54,12.55,3.48
2025-01-03 12:00:00,357.15,0.19,3.56,46.49,0.79,4.31,5.32,1.9
2025-01-03 13:00:00,310.42,0.12,2.55,48.64,0.64,2.93,3.72,1.68
2025-01-03 14:00:00,310.42,0.11,2.72,49.35,0.74,3.01,3.85,1.93
2025-01-03 15:00:00,313.76,0.07,2.87,49.35,0.77,3.2,4.07,2.01
2025-01-03 16:00:00,353.81,0.06,3.94,50.07,0.94,4.75,5.82,2.37
2025-01-03 17:00:00,420.57,0.03,6.0,50.07,1.3,7.59,8.81,2.53
2025-01-03 18:00:00,507.35,0.0,9.68,47.21,1.97,11.05,12.57,2.82
2025-01-03 19:00:00,594.14,0.0,13.19,42.2,2.44,14.22,16.17,3.07
2025-01-03 20:00:00,647.54,0.0,14.57,38.98,2.47,16.65,18.75,3.07
2025-01-03 21:00:00,707.63,0.0,15.77,33.97,2.35,19.2,21.44,3.29
2025-01-03 22:00:00,774.38,0.0,17.31,27.54,2.26,22.2,24.65,3.61
2025-01-03 23:00:00,841.14,0.01,18.51,21.82,2.15,25.23,27.62,3.83
2025-01-04 00:00:00,907.9,0.02,19.71,16.81,1.94,27.94,30.09,4.05
2025-01-04 01:00:00,961.3,0.04,20.39,12.7,1.76,30.52,32.47,4.43
2025-01-04 02:00:00,1041.41,0.08,21.93,9.12,1.85,33.72,35.67,5.64
2025-01-04 03:00:00,1094.82,0.11,22.96,6.79,1.79,35.73,37.62,5.83
