Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,260.35,0.14,1.2,16.63,0.29,3.74,4.58,1.35
2025-01-01 09:00:00,260.35,0.21,0.82,19.67,0.3,3.78,4.64,1.33
2025-01-01 10:00:00,260.35,0.18,0.71,23.25,0.34,3.87,4.81,1.76
2025-01-01 11:00:00,267.03,0.14,0.65,29.33,0.43,4.02,5.02,2.5
2025-01-01 12:00:00,287.06,0.08,0.74,38.98,0.63,4.48,5.41,3.23
2025-01-01 13:00:00,293.73,0.06,0.71,45.06,0.68,4.73,5.49,3.04
2025-01-01 14:00:00,290.39,0.04,0.6,49.35,0.61,4.56,5.18,2.47
2025-01-01 15:00:00,283.72,0.02,0.57,52.93,0.54,4.49,5.03,1.88
2025-01-01 16:00:00,293.73,0.02,0.73,52.21,0.57,5.65,6.34,1.82
2025-01-01 17:00:00,307.08,0.01,0.88,52.21,0.57,7.35,8.18,1.63
2025-01-01 18:00:00,323.77,0.0,1.18,46.49,0.59,9.25,10.21,1.68
2025-01-01 19:00:00,347.14,0.0,1.61,36.48,0.64,11.43,12.54,1.99
2025-01-01 20:00:00,370.5,0.0,1.95,28.97,0.73,13.98,15.21,2.41
2025-01-01 21:00:00,383.85,0.0,2.14,22.71,0.8,15.79,17.04,2.56
2025-01-01 22:00:00,383.85,0.0,2.23,17.7,0.8,15.7,16.81,2.41
2025-01-01 23:00:00,370.5,0.0,2.18,15.56,0.69,14.15,15.07,2.12
2025-01-02 00:00:00,350.48,0.0,2.08,13.77,0.54,12.23,12.96,1.88
2025-01-02 01:00:00,330.45,0.01,1.99,11.62,0.49,10.54,11.23,1.88
2025-01-02 02:00:00,307.08,0.01,1.88,9.83,0.46,8.75,9.45,1.95
2025-01-02 03:00:00,290.39,0.01,1.84,9.66,0.47,7.59,8.27,2.31
2025-01-02 04:00:00,287.06,0.01,2.01,8.58,0.51,7.09,7.77,3.1
2025-01-02 05:00:00,277.04,0.02,2.23,7.42,0.56,6.59,7.28,3.96
2025-01-02 06:00:00,263.69,0.03,2.31,6.44,0.55,5.96,6.74,4.5
2025-01-02 07:00:00,257.02,0.04,2.4,5.81,0.59,5.91,6.87,4.88
2025-01-02 08:00:00,267.03,0.11,2.48,5.99,0.69,6.51,7.69,5.19
2025-01-02 09:00:00,270.37,0.21,2.08,8.31,0.61,6.83,8.05,3.96
2025-01-02 10:00:00,273.7,0.17,1.54,14.84,0.47,7.04,8.12,2.44
2025-01-02 11:00:00,300.41,0.1,1.1,25.39,0.37,7.33,8.15,1.66
2025-01-02 12:00:00,347.14,0.02,0.89,39.34,0.29,7.36,7.89,1.23
2025-01-02 13:00:00,363.83,0.01,0.86,42.56,0.31,7.35,7.82,1.36
2025-01-02 14:00:00,363.83,0.0,0.92,37.91,0.46,7.57,8.05,1.55
2025-01-02 15:00:00,360.49,0.0,1.08,32.19,0.62,8.0,8.5,1.85
2025-01-02 16:00:00,367.16,0.0,1.29,26.82,0.68,8.83,9.4,2.37
2025-01-02 17:00:00,370.5,0.0,1.52,21.99,0.78,9.74,10.38,2.98
2025-01-02 18:00:00,360.49,0.0,1.65,17.52,0.88,9.84,10.59,3.23
2025-01-02 19:00:00,347.14,0.0,1.76,13.23,0.85,9.65,10.54,2.79
2025-01-02 20:00:00,343.8,0.0,1.88,10.37,0.77,9.74,10.78,2.31
2025-01-02 21:00:00,337.12,0.0,1.91,8.4,0.76,9.51,10.7,2.15
2025-01-02 22:00:00,333.79,0.01,2.03,6.79,0.8,9.34,10.7,2.63
2025-01-02 23:00:00,337.12,0.01,2.29,5.54,0.83,9.56,11.09,3.42
2025-01-03 00:00:00,340.46,0.01,2.44,5.14,0.75,9.89,11.44,3.74
2025-01-03 01:00:00,333.79,0.02,2.33,3.84,0.55,9.68,11.21,2.72
2025-01-03 02:00:00,313.76,0.03,2.16,2.68,0.42,8.57,10.06,1.8
2025-01-03 03:00:00,297.07,0.04,2.12,2.15,0.41,7.59,8.78,2.22
2025-01-03 04:00:00,297.07,0.05,2.42,1.94,0.52,7.32,8.38,3.8
2025-01-03 05:00:00,303.75,0.06,2.87,1.86,0.65,7.42,8.41,5.51
2025-01-03 06:00:00,307.08,0.06,3.26,1.79,0.77,7.43,8.34,6.4
2025-01-03 07:00:00,310.42,0.07,3.43,1.81,0.92,7.55,8.41,6.52
2025-01-03 08:00:00,323.77,0.1,3.3,2.32,0.89,8.12,8.89,5.26
2025-01-03 09:00:00,323.77,0.11,2.44,4.38,0.65,7.97,8.57,2.41
2025-01-03 10:00:00,330.45,0.13,2.06,6.17,0.62,8.08,8.72,2.09
2025-01-03 11:00:00,350.48,0.11,1.88,9.75,0.66,8.65,9.36,2.28
2025-01-03 12:00:00,393.87,0.06,1.84,18.95,0.74,10.86,11.54,2.63
2025-01-03 13:00:00,427.25,0.03,1.67,25.39,0.74,12.95,13.63,3.1
2025-01-03 14:00:00,433.92,0.02,1.59,26.46,0.76,13.84,14.57,3.77
2025-01-03 15:00:00,433.92,0.01,1.54,26.46,0.75,14.15,14.89,4.02
2025-01-03 16:00:00,433.92,0.01,1.46,22.71,0.63,14.26,14.98,3.48
2025-01-03 17:00:00,427.25,0.0,1.41,17.34,0.52,13.86,14.56,2.66
2025-01-03 18:00:00,393.87,0.0,1.35,11.98,0.39,11.89,12.51,1.57
2025-01-03 19:00:00,357.15,0.0,1.27,9.21,0.3,9.33,9.83,0.85
2025-01-03 20:00:00,323.77,0.0,1.1,11.98,0.24,6.42,6.8,0.56
2025-01-03 21:00:00,273.7,0.0,0.66,26.46,0.15,3.57,3.78,0.4
2025-01-03 22:00:00,257.02,0.0,0.66,39.7,0.13,3.3,3.53,0.45
2025-01-03 23:00:00,253.68,0.0,0.72,47.21,0.12,3.44,3.7,0.51
2025-01-04 00:00:00,250.34,0.0,0.74,47.92,0.11,3.24,3.47,0.53
2025-01-04 01:00:00,247.0,0.0,0.75,43.27,0.11,3.02,3.23,0.48
2025-01-04 02:00:00,243.66,0.0,0.74,39.34,0.12,2.75,2.95,0.47
2025-01-04 03:00:00,243.66,0.0,0.75,38.27,0.12,2.48,2.68,0.51
2025-01-04 04:00:00,240.33,0.0,0.79,37.55,0.12,2.33,2.53,0.55
2025-01-04 05:00:00,240.33,0.0,0.82,35.05,0.11,2.32,2.53,0.58
2025-01-04 06:00:00,236.99,0.0,0.8,32.19,0.1,2.32,2.55,0.55
2025-01-04 07:00:00,233.65,0.0,0.78,31.11,0.11,2.28,2.52,0.51
2025-01-04 08:00:00,236.99,0.0,0.75,32.19,0.12,2.18,2.42,0.47
2025-01-04 09:00:00,236.99,0.01,0.65,31.83,0.13,2.14,2.43,0.47
2025-01-04 10:00:00,233.65,0.02,0.54,32.54,0.14,2.18,2.53,0.55
2025-01-04 11:00:00,233.65,0.02,0.41,36.84,0.13,2.13,2.48,0.67
2025-01-04 12:00:00,233.65,0.03,0.32,45.42,0.13,2.11,2.39,0.76
