Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,343.8,0.46,7.28,49.35,1.71,6.07,7.59,3.55
2025-01-01 09:00:00,350.48,1.01,6.77,57.22,1.85,5.75,7.23,3.58
2025-01-01 10:00:00,310.42,0.63,4.03,70.1,1.28,5.06,6.3,2.75
2025-01-01 11:00:00,277.04,0.31,2.06,75.82,0.77,4.95,5.9,1.74
2025-01-01 12:00:00,250.34,0.1,0.7,77.96,0.26,4.22,4.83,0.48
2025-01-01 13:00:00,257.02,0.09,0.71,79.39,0.24,4.51,5.07,0.4
2025-01-01 14:00:00,267.03,0.09,0.78,80.82,0.25,5.28,5.95,0.38
2025-01-01 15:00:00,290.39,0.09,1.18,82.25,0.37,7.97,9.1,0.51
2025-01-01 16:00:00,313.76,0.07,1.82,80.11,0.55,11.6,13.38,0.71
2025-01-01 17:00:00,333.79,0.02,2.59,77.96,0.72,13.67,15.63,0.84
2025-01-01 18:00:00,353.81,0.0,3.43,77.25,0.89,15.5,17.48,1.06
2025-01-01 19:00:00,367.16,0.0,3.81,76.53,1.01,17.7,19.86,1.41
2025-01-01 20:00:00,373.84,0.0,3.77,77.25,1.04,19.63,22.06,1.76
2025-01-01 21:00:00,383.85,0.0,4.03,76.53,1.1,20.44,22.95,2.5
2025-01-01 22:00:00,403.88,0.0,4.67,73.67,1.21,21.47,23.94,3.36
2025-01-01 23:00:00,433.92,0.0,5.31,69.38,1.3,23.17,25.58,3.83
2025-01-02 00:00:00,460.62,0.0,5.83,66.52,1.48,25.06,27.46,5.13
2025-01-02 01:00:00,480.65,0.0,5.65,67.23,1.61,26.14,28.45,7.03
2025-01-02 02:00:00,487.33,0.0,5.23,67.23,1.58,26.77,29.04,8.74
2025-01-02 03:00:00,514.03,0.0,5.27,64.37,1.55,27.92,30.11,9.75
2025-01-02 04:00:00,540.73,0.0,5.57,60.8,1.55,29.22,31.32,10.89
2025-01-02 05:00:00,560.76,0.0,6.0,57.22,1.59,29.6,31.64,12.03
2025-01-02 06:00:00,560.76,0.0,6.08,55.07,1.61,28.66,30.61,11.53
2025-01-02 07:00:00,580.79,0.0,8.05,49.35,2.15,28.36,30.4,10.01
2025-01-02 08:00:00,634.19,0.1,11.82,41.48,3.07,28.8,30.99,8.49
2025-01-02 09:00:00,634.19,0.39,10.97,40.05,2.41,26.01,27.92,4.24
2025-01-02 10:00:00,547.41,0.43,6.6,53.64,1.43,18.56,19.76,2.22
2025-01-02 11:00:00,453.95,0.25,3.34,65.09,0.8,12.14,12.77,1.58
2025-01-02 12:00:00,373.84,0.07,1.14,77.25,0.3,8.87,9.13,0.5
2025-01-02 13:00:00,350.48,0.06,1.08,77.96,0.27,8.0,8.2,0.42
2025-01-02 14:00:00,333.79,0.05,1.08,77.25,0.25,7.12,7.3,0.36
2025-01-02 15:00:00,323.77,0.03,1.18,76.53,0.25,7.42,7.59,0.32
2025-01-02 16:00:00,323.77,0.02,1.46,75.1,0.29,8.31,8.51,0.33
2025-01-02 17:00:00,327.11,0.0,1.93,74.39,0.36,9.19,9.41,0.35
2025-01-02 18:00:00,330.45,0.0,2.18,75.1,0.4,9.46,9.69,0.4
2025-01-02 19:00:00,327.11,0.0,2.08,76.53,0.38,9.33,9.57,0.45
2025-01-02 20:00:00,323.77,0.0,1.88,76.53,0.35,8.11,8.37,0.52
