Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,206.95,0.0,0.23,47.92,0.09,1.26,1.95,0.03
2025-01-01 09:00:00,206.95,0.01,0.23,47.92,0.09,1.16,1.88,0.03
2025-01-01 10:00:00,208.62,0.01,0.21,48.64,0.09,1.05,1.78,0.03
2025-01-01 11:00:00,208.62,0.01,0.19,48.64,0.09,1.05,1.79,0.04
2025-01-01 12:00:00,210.29,0.01,0.18,48.64,0.1,1.17,1.89,0.04
2025-01-01 13:00:00,210.29,0.01,0.17,49.35,0.1,1.34,2.09,0.03
2025-01-01 14:00:00,210.29,0.01,0.17,50.07,0.09,1.5,2.3,0.03
2025-01-01 15:00:00,210.29,0.0,0.18,51.5,0.09,1.69,2.58,0.02
2025-01-01 16:00:00,210.29,0.0,0.19,52.93,0.09,2.04,3.15,0.02
2025-01-01 17:00:00,211.95,0.0,0.22,54.36,0.09,2.32,3.67,0.01
2025-01-01 18:00:00,211.95,0.0,0.22,55.07,0.09,2.15,3.78,0.0
2025-01-01 19:00:00,210.29,0.0,0.21,54.36,0.09,1.84,3.74,0.01
2025-01-01 20:00:00,208.62,0.0,0.2,53.64,0.09,1.65,3.42,0.02
2025-01-01 21:00:00,208.62,0.0,0.2,52.93,0.09,1.68,2.96,0.02
2025-01-01 22:00:00,208.62,0.0,0.22,52.21,0.09,1.68,2.56,0.02
2025-01-01 23:00:00,206.95,0.0,0.24,50.78,0.08,1.53,2.23,0.03
2025-01-02 00:00:00,205.28,0.0,0.24,48.64,0.07,1.26,1.88,0.03
2025-01-02 01:00:00,200.27,0.0,0.22,47.21,0.07,1.04,1.71,0.03
2025-01-02 02:00:00,193.6,0.0,0.2,45.78,0.07,0.89,1.62,0.03
2025-01-02 03:00:00,188.59,0.0,0.18,45.06,0.06,0.7,1.28,0.03
2025-01-02 04:00:00,185.25,0.0,0.16,45.42,0.07,0.61,1.06,0.03
2025-01-02 05:00:00,185.25,0.0,0.15,45.78,0.07,0.61,1.04,0.03
2025-01-02 06:00:00,183.58,0.0,0.15,45.78,0.09,0.71,1.23,0.03
2025-01-02 07:00:00,183.58,0.0,0.2,45.42,0.13,0.88,1.57,0.04
2025-01-02 08:00:00,185.25,0.0,0.27,45.78,0.14,0.85,1.57,0.05
2025-01-02 09:00:00,186.92,0.0,0.3,46.49,0.13,0.69,1.31,0.05
2025-01-02 10:00:00,188.59,0.01,0.31,47.21,0.14,0.58,1.1,0.08
2025-01-02 11:00:00,190.26,0.01,0.32,47.21,0.17,0.53,0.98,0.1
2025-01-02 12:00:00,190.26,0.02,0.34,47.21,0.21,0.55,0.96,0.14
2025-01-02 13:00:00,190.26,0.02,0.33,46.49,0.23,0.6,1.03,0.14
2025-01-02 14:00:00,188.59,0.01,0.3,45.78,0.25,0.65,1.19,0.11
2025-01-02 15:00:00,188.59,0.01,0.3,44.7,0.25,0.66,1.3,0.1
2025-01-02 16:00:00,188.59,0.0,0.3,43.99,0.18,0.58,1.16,0.09
2025-01-02 17:00:00,186.92,0.0,0.31,42.92,0.14,0.51,0.99,0.08
2025-01-02 18:00:00,185.25,0.0,0.3,42.2,0.14,0.55,1.05,0.06
2025-01-02 19:00:00,186.92,0.0,0.31,42.2,0.17,0.6,1.1,0.06
2025-01-02 20:00:00,186.92,0.0,0.31,42.56,0.17,0.62,1.07,0.07
2025-01-02 21:00:00,185.25,0.0,0.28,42.92,0.15,0.62,1.03,0.07
2025-01-02 22:00:00,183.58,0.0,0.25,42.92,0.14,0.62,1.03,0.06
2025-01-02 23:00:00,183.58,0.0,0.24,42.2,0.3,0.67,1.05,0.05
2025-01-03 00:00:00,185.25,0.0,0.31,40.05,0.93,1.0,1.33,0.04
2025-01-03 01:00:00,190.26,0.0,0.47,38.27,1.91,1.67,1.94,0.04
2025-01-03 02:00:00,195.26,0.0,0.67,36.84,2.89,2.49,2.71,0.02
2025-01-03 03:00:00,200.27,0.0,0.85,36.12,3.61,3.45,3.64,0.0
2025-01-03 04:00:00,203.61,0.0,0.97,35.41,4.29,4.54,4.72,0.0
2025-01-03 05:00:00,206.95,0.0,1.06,35.05,4.77,5.67,5.83,0.0
2025-01-03 06:00:00,205.28,0.0,1.04,35.05,5.07,6.76,6.91,0.0
2025-01-03 07:00:00,206.95,0.0,1.15,34.69,5.66,7.92,8.11,0.0
2025-01-03 08:00:00,210.29,0.04,1.33,33.97,6.44,9.12,9.35,0.0
2025-01-03 09:00:00,210.29,0.1,1.26,34.33,7.51,10.0,10.27,0.0
2025-01-03 10:00:00,206.95,0.13,0.93,36.84,8.11,10.16,10.46,0.0
2025-01-03 11:00:00,201.94,0.11,0.61,39.7,8.11,9.9,10.24,0.0
2025-01-03 12:00:00,196.93,0.07,0.4,41.48,6.79,8.77,9.19,0.0
2025-01-03 13:00:00,191.93,0.05,0.29,41.48,4.89,6.98,7.57,0.0
2025-01-03 14:00:00,188.59,0.03,0.21,41.48,2.98,4.78,5.69,0.0
2025-01-03 15:00:00,185.25,0.02,0.17,42.56,1.73,3.15,4.34,0.0
2025-01-03 16:00:00,183.58,0.02,0.17,43.99,1.01,2.3,3.71,0.0
2025-01-03 17:00:00,183.58,0.01,0.22,44.7,0.64,1.87,3.45,0.0
2025-01-03 18:00:00,183.58,0.0,0.23,45.06,0.37,1.6,3.42,0.0
2025-01-03 19:00:00,183.58,0.0,0.2,45.42,0.2,1.43,3.39,0.01
2025-01-03 20:00:00,185.25,0.0,0.18,45.78,0.12,1.34,3.28,0.03
2025-01-03 21:00:00,185.25,0.0,0.17,45.78,0.08,1.27,3.06,0.03
2025-01-03 22:00:00,183.58,0.0,0.18,45.42,0.07,1.21,2.75,0.03
2025-01-03 23:00:00,183.58,0.0,0.18,45.06,0.07,1.11,2.34,0.04
2025-01-04 00:00:00,183.58,0.0,0.19,44.35,0.06,0.95,1.86,0.06
2025-01-04 01:00:00,185.25,0.0,0.17,43.99,0.05,0.88,1.66,0.06
2025-01-04 02:00:00,185.25,0.0,0.15,43.27,0.05,0.88,1.64,0.06
2025-01-04 03:00:00,185.25,0.0,0.15,42.2,0.05,0.87,1.61,0.05
2025-01-04 04:00:00,185.25,0.0,0.14,41.13,0.05,0.82,1.43,0.05
2025-01-04 05:00:00,183.58,0.0,0.14,39.34,0.05,0.77,1.21,0.04
2025-01-04 06:00:00,178.58,0.0,0.13,37.19,0.05,0.61,0.98,0.04
2025-01-04 07:00:00,190.26,0.0,0.17,39.34,0.06,0.5,0.86,0.06
2025-01-04 08:00:00,223.64,0.0,0.28,56.51,0.07,0.8,1.16,0.06
2025-01-04 09:00:00,243.66,0.0,0.3,71.53,0.07,1.36,1.79,0.06
2025-01-04 10:00:00,253.68,0.01,0.26,77.25,0.07,1.82,2.34,0.06
2025-01-04 11:00:00,253.68,0.01,0.22,77.25,0.07,2.03,2.57,0.05
2025-01-04 12:00:00,250.34,0.01,0.2,73.67,0.07,2.2,2.77,0.06
2025-01-04 13:00:00,240.33,0.01,0.18,68.66,0.07,2.21,2.84,0.05
2025-01-04 14:00:00,236.99,0.0,0.17,65.09,0.06,2.18,2.85,0.04
2025-01-04 15:00:00,230.31,0.0,0.17,62.23,0.06,2.09,2.76,0.04
2025-01-04 16:00:00,230.31,0.0,0.18,60.08,0.05,2.01,2.66,0.04
2025-01-04 17:00:00,230.31,0.0,0.2,59.37,0.06,1.97,2.59,0.04
2025-01-04 18:00:00,226.97,0.0,0.2,57.22,0.05,1.73,2.26,0.03
2025-01-04 19:00:00,210.29,0.0,0.18,49.35,0.05,1.13,1.59,0.04
2025-01-04 20:00:00,190.26,0.0,0.15,41.48,0.05,0.6,1.04,0.04
2025-01-04 21:00:00,181.91,0.0,0.13,40.77,0.05,0.5,0.99,0.04
2025-01-04 22:00:00,181.91,0.0,0.12,41.84,0.06,0.54,1.09,0.04
2025-01-04 23:00:00,183.58,0.0,0.12,41.13,0.06,0.68,1.3,0.04
2025-01-05 00:00:00,183.58,0.0,0.14,41.48,0.06,0.83,1.52,0.04
2025-01-05 01:00:00,183.58,0.0,0.14,42.2,0.07,0.94,1.68,0.04
2025-01-05 02:00:00,185.25,0.0,0.15,43.99,0.07,1.01,1.8,0.05
2025-01-05 03:00:00,186.92,0.0,0.15,45.78,0.07,1.03,1.86,0.06
2025-01-05 04:00:00,186.92,0.0,0.13,47.21,0.09,1.03,1.9,0.05
