Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,211.95,0.02,1.74,31.11,0.33,0.91,1.15,0.32
2025-01-01 09:00:00,211.95,0.05,1.56,33.97,0.31,0.86,1.07,0.25
2025-01-01 10:00:00,210.29,0.05,1.25,36.12,0.27,0.84,1.04,0.23
2025-01-01 11:00:00,206.95,0.05,1.01,37.91,0.23,0.81,1.01,0.22
2025-01-01 12:00:00,206.95,0.05,0.91,38.98,0.22,0.82,1.03,0.21
2025-01-01 13:00:00,205.28,0.04,0.89,39.34,0.21,0.88,1.14,0.19
2025-01-01 14:00:00,201.94,0.02,0.86,39.7,0.21,0.99,1.3,0.17
2025-01-01 15:00:00,201.94,0.02,0.88,39.34,0.21,1.1,1.45,0.17
2025-01-01 16:00:00,201.94,0.02,1.09,37.91,0.24,1.14,1.51,0.2
2025-01-01 17:00:00,203.61,0.02,1.48,36.12,0.29,1.06,1.43,0.22
2025-01-01 18:00:00,208.62,0.0,2.21,31.83,0.42,1.0,1.45,0.33
2025-01-01 19:00:00,211.95,0.01,2.59,26.82,0.53,1.08,1.64,0.49
2025-01-01 20:00:00,211.95,0.01,2.51,24.32,0.54,1.18,1.86,0.63
2025-01-01 21:00:00,206.95,0.0,1.97,25.75,0.44,1.12,1.77,0.59
2025-01-01 22:00:00,198.6,0.0,1.41,28.97,0.32,0.92,1.49,0.44
2025-01-01 23:00:00,191.93,0.0,1.03,32.9,0.23,0.74,1.21,0.3
2025-01-02 00:00:00,186.92,0.0,0.74,36.12,0.15,0.62,0.95,0.23
2025-01-02 01:00:00,185.25,0.0,0.58,35.76,0.11,0.58,0.82,0.24
2025-01-02 02:00:00,185.25,0.0,0.47,36.12,0.09,0.57,0.78,0.26
2025-01-02 03:00:00,185.25,0.0,0.47,35.05,0.09,0.62,0.84,0.31
2025-01-02 04:00:00,185.25,0.0,0.5,32.9,0.1,0.67,0.91,0.35
2025-01-02 05:00:00,185.25,0.0,0.58,31.11,0.11,0.69,0.92,0.39
2025-01-02 06:00:00,186.92,0.0,0.71,30.76,0.13,0.65,0.88,0.37
2025-01-02 07:00:00,195.26,0.0,1.24,30.04,0.25,0.67,0.93,0.38
2025-01-02 08:00:00,205.28,0.02,2.03,29.33,0.41,0.74,1.02,0.38
2025-01-02 09:00:00,203.61,0.06,1.91,31.47,0.4,0.69,0.95,0.29
2025-01-02 10:00:00,196.93,0.07,1.46,32.19,0.32,0.62,0.86,0.23
2025-01-02 11:00:00,190.26,0.05,1.04,33.62,0.24,0.56,0.77,0.18
2025-01-02 12:00:00,185.25,0.05,0.67,36.48,0.16,0.5,0.67,0.13
2025-01-02 13:00:00,183.58,0.06,0.5,38.27,0.15,0.5,0.68,0.12
2025-01-02 14:00:00,183.58,0.06,0.4,40.41,0.14,0.55,0.79,0.1
2025-01-02 15:00:00,181.91,0.07,0.46,40.77,0.15,0.66,1.03,0.12
2025-01-02 16:00:00,185.25,0.09,0.79,39.34,0.23,0.9,1.52,0.18
2025-01-02 17:00:00,190.26,0.05,1.31,37.55,0.31,1.05,1.85,0.21
2025-01-02 18:00:00,196.93,0.0,1.86,34.33,0.4,1.09,1.9,0.26
2025-01-02 19:00:00,200.27,0.0,2.01,30.04,0.44,1.09,1.77,0.31
2025-01-02 20:00:00,198.6,0.0,1.82,26.82,0.4,1.06,1.61,0.34
2025-01-02 21:00:00,195.26,0.0,1.46,25.39,0.32,1.0,1.42,0.33
2025-01-02 22:00:00,191.93,0.0,1.24,24.68,0.28,0.98,1.33,0.35
2025-01-02 23:00:00,190.26,0.0,1.18,24.32,0.25,1.04,1.36,0.36
2025-01-03 00:00:00,190.26,0.01,1.23,22.17,0.25,1.18,1.51,0.49
2025-01-03 01:00:00,188.59,0.01,1.12,20.38,0.23,1.33,1.72,0.67
2025-01-03 02:00:00,188.59,0.0,0.99,21.28,0.22,1.41,1.84,0.89
2025-01-03 03:00:00,188.59,0.0,0.97,21.82,0.23,1.48,1.96,1.14
2025-01-03 04:00:00,186.92,0.0,0.85,20.56,0.19,1.47,2.01,0.94
2025-01-03 05:00:00,185.25,0.0,0.76,21.1,0.16,1.34,1.95,0.68
2025-01-03 06:00:00,185.25,0.0,0.72,25.03,0.17,1.25,1.9,0.46
2025-01-03 07:00:00,191.93,0.01,1.23,26.82,0.29,1.45,2.26,0.4
2025-01-03 08:00:00,201.94,0.13,1.82,27.89,0.44,1.62,2.59,0.34
2025-01-03 09:00:00,190.26,0.08,0.87,37.55,0.25,1.25,2.09,0.13
2025-01-03 10:00:00,185.25,0.04,0.62,38.27,0.18,0.94,1.55,0.12
2025-01-03 11:00:00,181.91,0.02,0.5,38.62,0.15,0.72,1.13,0.11
2025-01-03 12:00:00,181.91,0.01,0.43,40.41,0.12,0.5,0.75,0.11
2025-01-03 13:00:00,181.91,0.02,0.44,42.2,0.12,0.5,0.67,0.11
2025-01-03 14:00:00,183.58,0.03,0.46,43.27,0.13,0.5,0.65,0.11
2025-01-03 15:00:00,196.93,0.1,1.61,34.33,0.37,0.55,0.78,0.33
2025-01-03 16:00:00,220.3,0.13,3.51,23.6,0.67,0.99,1.35,0.55
2025-01-03 17:00:00,247.0,0.08,5.65,18.78,1.03,1.42,1.87,0.89
2025-01-03 18:00:00,263.69,0.02,6.94,20.21,1.45,1.72,2.26,1.44
2025-01-03 19:00:00,260.35,0.01,6.17,20.38,1.37,1.87,2.52,1.49
2025-01-03 20:00:00,253.68,0.02,5.01,18.78,1.12,2.0,2.75,1.35
2025-01-03 21:00:00,240.33,0.01,3.73,18.95,0.83,1.89,2.66,1.17
2025-01-03 22:00:00,230.31,0.01,3.13,20.38,0.72,1.76,2.53,1.25
2025-01-03 23:00:00,226.97,0.01,3.04,21.28,0.72,1.73,2.49,1.42
2025-01-04 00:00:00,223.64,0.01,2.96,21.99,0.69,1.7,2.42,1.61
2025-01-04 01:00:00,216.96,0.0,2.27,22.53,0.51,1.62,2.29,1.63
2025-01-04 02:00:00,205.28,0.0,1.56,23.6,0.36,1.53,2.18,1.52
2025-01-04 03:00:00,200.27,0.0,1.31,23.25,0.29,1.58,2.28,1.58
2025-01-04 04:00:00,198.6,0.0,1.31,20.92,0.28,1.77,2.54,1.76
2025-01-04 05:00:00,201.94,0.01,1.44,18.24,0.29,2.07,2.89,1.88
2025-01-04 06:00:00,203.61,0.01,1.52,16.63,0.29,2.31,3.13,1.55
2025-01-04 07:00:00,213.62,0.05,2.03,13.59,0.38,2.66,3.49,1.03
2025-01-04 08:00:00,226.97,0.23,2.96,11.8,0.54,3.06,3.9,0.76
2025-01-04 09:00:00,206.95,0.06,1.91,27.18,0.33,2.04,2.7,0.34
2025-01-04 10:00:00,203.61,0.04,1.63,29.68,0.31,1.9,2.58,0.32
2025-01-04 11:00:00,200.27,0.03,1.44,31.11,0.29,1.89,2.65,0.34
2025-01-04 12:00:00,190.26,0.03,0.76,37.55,0.2,1.54,2.31,0.19
2025-01-04 13:00:00,188.59,0.05,0.51,38.98,0.17,1.41,2.26,0.16
2025-01-04 14:00:00,186.92,0.06,0.4,40.05,0.15,1.42,2.47,0.15
2025-01-04 15:00:00,188.59,0.09,0.51,37.91,0.19,1.51,2.71,0.22
2025-01-04 16:00:00,193.6,0.14,0.9,34.33,0.26,1.66,2.86,0.34
2025-01-04 17:00:00,198.6,0.13,1.56,32.19,0.36,1.81,2.99,0.43
2025-01-04 18:00:00,201.94,0.01,2.06,31.11,0.41,1.94,3.11,0.45
2025-01-04 19:00:00,200.27,0.0,1.76,31.47,0.36,1.97,3.06,0.4
2025-01-04 20:00:00,196.93,0.0,1.36,31.83,0.3,1.94,2.94,0.37
2025-01-04 21:00:00,195.26,0.0,1.01,32.9,0.24,1.81,2.62,0.33
2025-01-04 22:00:00,193.6,0.0,0.89,33.62,0.22,1.68,2.33,0.36
2025-01-04 23:00:00,193.6,0.0,0.9,33.97,0.21,1.57,2.17,0.4
2025-01-05 00:00:00,195.26,0.0,1.09,30.76,0.24,1.59,2.21,0.63
2025-01-05 01:00:00,196.93,0.0,1.17,26.82,0.25,1.67,2.35,0.93
2025-01-05 02:00:00,196.93,0.0,1.12,26.82,0.25,1.72,2.47,1.25
2025-01-05 03:00:00,200.27,0.0,1.26,25.75,0.28,1.91,2.75,1.71
2025-01-05 04:00:00,201.94,0.0,1.44,22.89,0.31,2.17,3.07,2.09
2025-01-05 05:00:00,205.28,0.0,1.59,21.82,0.34,2.39,3.33,2.31
2025-01-05 06:00:00,206.95,0.01,1.69,20.21,0.35,2.51,3.5,1.99
2025-01-05 07:00:00,213.62,0.06,2.08,17.34,0.44,2.6,3.69,1.23
2025-01-05 08:00:00,220.3,0.43,2.29,20.03,0.69,2.65,3.9,0.81
2025-01-05 09:00:00,193.6,0.12,0.74,42.92,0.36,1.33,2.81,0.21
2025-01-05 10:00:00,190.26,0.09,0.52,43.27,0.23,1.14,2.51,0.21
2025-01-05 11:00:00,186.92,0.06,0.35,43.63,0.18,1.03,2.33,0.15
2025-01-05 12:00:00,185.25,0.04,0.28,43.63,0.16,1.38,2.66,0.1
