Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,200.27,0.08,1.03,9.48,5.07,5.0,5.31,0.29
2025-01-01 09:00:00,191.93,0.04,0.76,21.46,6.44,2.79,2.97,0.04
2025-01-01 10:00:00,190.26,0.04,0.69,22.53,6.2,2.29,2.45,0.06
2025-01-01 11:00:00,190.26,0.04,0.63,21.99,6.14,2.02,2.18,0.1
2025-01-01 12:00:00,186.92,0.03,0.47,25.03,5.9,1.63,1.76,0.06
2025-01-01 13:00:00,186.92,0.03,0.4,26.46,5.9,1.59,1.69,0.05
2025-01-01 14:00:00,188.59,0.02,0.39,26.46,6.08,1.74,1.84,0.05
2025-01-01 15:00:00,188.59,0.02,0.38,25.03,6.32,2.07,2.18,0.07
2025-01-01 16:00:00,188.59,0.03,0.39,23.6,6.62,2.5,2.63,0.09
2025-01-01 17:00:00,188.59,0.02,0.41,23.96,6.74,2.75,2.9,0.09
2025-01-01 18:00:00,190.26,0.0,0.63,20.74,6.02,3.08,3.3,0.22
2025-01-01 19:00:00,193.6,0.0,0.88,15.91,5.3,3.5,3.86,0.39
2025-01-01 20:00:00,195.26,0.0,1.04,12.52,5.25,4.0,4.48,0.51
2025-01-01 21:00:00,198.6,0.0,1.15,10.64,5.36,4.5,5.09,0.59
2025-01-01 22:00:00,200.27,0.01,1.18,9.83,5.25,4.92,5.57,0.54
2025-01-01 23:00:00,200.27,0.01,1.16,10.19,5.07,5.14,5.78,0.43
2025-01-02 00:00:00,196.93,0.0,1.05,11.62,5.07,5.13,5.69,0.31
2025-01-02 01:00:00,193.6,0.0,0.96,12.34,5.01,4.99,5.47,0.27
2025-01-02 02:00:00,193.6,0.0,0.92,12.34,4.95,4.75,5.17,0.27
2025-01-02 03:00:00,191.93,0.0,0.89,10.91,4.77,4.57,4.94,0.32
2025-01-02 04:00:00,191.93,0.01,0.91,7.96,4.59,4.69,5.05,0.42
2025-01-02 05:00:00,191.93,0.02,0.94,6.08,4.71,4.98,5.33,0.48
2025-01-02 06:00:00,193.6,0.03,1.01,5.19,4.83,5.26,5.62,0.51
2025-01-02 07:00:00,195.26,0.05,1.06,5.45,5.07,5.55,5.95,0.42
2025-01-02 08:00:00,196.93,0.14,1.0,8.31,5.78,5.87,6.3,0.28
2025-01-02 09:00:00,193.6,0.05,0.77,23.25,7.87,5.29,5.58,0.0
