Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,554.08,1.15,9.25,15.74,1.64,22.64,24.65,10.01
2025-01-01 09:00:00,390.53,0.38,5.01,31.47,1.01,13.3,14.43,3.48
2025-01-01 10:00:00,347.14,0.2,4.03,35.41,0.92,11.06,12.06,2.5
2025-01-01 11:00:00,340.46,0.12,3.9,38.62,0.97,11.04,12.08,2.6
2025-01-01 12:00:00,350.48,0.08,3.86,43.99,1.09,11.91,13.01,2.85
2025-01-01 13:00:00,373.84,0.08,3.98,49.35,1.3,13.57,14.78,2.91
2025-01-01 14:00:00,383.85,0.06,4.07,50.07,1.49,12.96,14.2,2.72
2025-01-01 15:00:00,363.83,0.05,3.98,47.21,1.49,10.53,11.66,2.37
2025-01-01 16:00:00,353.81,0.03,4.33,44.35,1.42,8.92,9.96,2.31
2025-01-01 17:00:00,347.14,0.01,4.97,41.84,1.37,8.17,9.13,2.37
2025-01-01 18:00:00,373.84,0.0,7.03,38.98,1.76,8.87,9.98,4.31
2025-01-01 19:00:00,440.6,0.0,10.45,35.41,2.53,11.34,12.87,8.04
2025-01-01 20:00:00,514.03,0.0,13.88,31.83,3.28,14.71,16.74,12.03
2025-01-01 21:00:00,594.14,0.0,16.79,27.89,3.81,19.09,21.71,16.47
2025-01-01 22:00:00,634.19,0.0,17.82,23.25,3.87,21.91,24.97,19.0
2025-01-01 23:00:00,647.54,0.0,17.82,19.85,3.73,22.93,26.08,19.51
2025-01-02 00:00:00,654.22,0.01,17.82,16.81,3.43,23.1,25.9,19.0
2025-01-02 01:00:00,654.22,0.02,17.31,13.59,2.98,22.86,25.17,17.73
2025-01-02 02:00:00,627.52,0.05,15.77,10.28,2.47,21.43,23.32,15.96
2025-01-02 03:00:00,607.49,0.1,14.74,8.4,2.21,20.36,22.07,15.58
2025-01-02 04:00:00,607.49,0.15,14.39,6.97,2.06,20.12,21.84,16.21
2025-01-02 05:00:00,600.81,0.23,14.05,5.59,1.94,20.05,21.74,16.21
2025-01-02 06:00:00,574.11,0.35,12.68,4.25,1.71,19.26,20.91,14.82
2025-01-02 07:00:00,560.76,0.98,11.48,4.43,1.73,18.73,20.53,13.43
2025-01-02 08:00:00,560.76,2.88,8.57,10.46,1.79,19.12,21.2,11.15
2025-01-02 09:00:00,433.92,1.23,5.65,29.33,1.19,13.95,15.4,5.07
2025-01-02 10:00:00,380.52,0.58,3.81,47.21,1.09,13.45,14.79,3.74
2025-01-02 11:00:00,350.48,0.3,2.44,61.51,1.1,13.73,14.96,3.36
2025-01-02 12:00:00,313.76,0.16,1.63,69.38,1.15,11.84,12.83,2.56
2025-01-02 13:00:00,317.1,0.12,1.76,72.24,1.27,12.32,13.36,2.63
2025-01-02 14:00:00,320.43,0.09,2.06,70.1,1.36,11.82,12.87,2.66
2025-01-02 15:00:00,327.11,0.07,2.63,63.66,1.4,11.22,12.28,2.79
2025-01-02 16:00:00,343.8,0.05,3.6,56.51,1.45,11.83,12.91,2.91
2025-01-02 17:00:00,353.81,0.02,4.5,51.5,1.4,12.24,13.25,2.75
2025-01-02 18:00:00,377.18,0.0,6.34,42.56,1.37,13.08,14.31,3.39
2025-01-02 19:00:00,423.91,0.0,8.57,32.19,1.53,14.91,16.74,5.07
2025-01-02 20:00:00,467.3,0.0,9.94,26.11,1.8,16.69,19.13,7.54
2025-01-02 21:00:00,514.03,0.0,12.0,21.82,2.24,19.0,21.88,10.77
2025-01-02 22:00:00,574.11,0.01,14.57,17.17,2.62,21.8,24.99,14.06
2025-01-02 23:00:00,627.52,0.03,16.79,13.95,2.86,24.52,27.83,16.72
2025-01-03 00:00:00,667.57,0.04,18.68,12.34,2.92,26.92,30.03,18.49
2025-01-03 01:00:00,700.95,0.06,19.71,10.55,2.8,29.11,31.96,19.76
2025-01-03 02:00:00,694.27,0.09,18.85,9.57,2.44,30.12,32.61,19.0
2025-01-03 03:00:00,680.92,0.07,17.82,10.64,2.26,30.66,32.92,19.0
2025-01-03 04:00:00,667.57,0.04,16.79,13.23,2.18,30.97,33.11,19.51
2025-01-03 05:00:00,654.22,0.02,15.42,15.91,2.09,31.14,33.14,19.25
2025-01-03 06:00:00,620.84,0.01,13.37,18.95,1.94,30.07,31.88,17.48
2025-01-03 07:00:00,580.79,0.26,11.65,22.89,1.94,27.86,29.67,15.45
2025-01-03 08:00:00,540.73,1.38,8.31,33.26,1.86,25.46,27.26,11.91
2025-01-03 09:00:00,383.85,0.54,3.04,52.21,0.92,16.01,16.98,3.67
2025-01-03 10:00:00,360.49,0.31,1.95,63.66,0.82,16.24,17.1,2.79
2025-01-03 11:00:00,350.48,0.21,1.41,72.24,0.81,17.62,18.39,2.41
2025-01-03 12:00:00,323.77,0.15,1.11,73.67,0.79,17.62,18.28,2.03
2025-01-03 13:00:00,317.1,0.13,1.12,74.39,0.73,18.41,19.04,1.9
2025-01-03 14:00:00,313.76,0.12,1.23,73.67,0.68,18.88,19.5,1.8
2025-01-03 15:00:00,307.08,0.11,1.37,72.24,0.63,18.02,18.63,1.69
2025-01-03 16:00:00,303.75,0.1,1.63,71.53,0.64,16.99,17.61,1.66
2025-01-03 17:00:00,310.42,0.06,2.08,71.53,0.69,17.11,17.76,1.73
2025-01-03 18:00:00,367.16,0.01,4.58,67.23,1.15,21.68,22.76,4.12
2025-01-03 19:00:00,460.62,0.0,8.48,63.66,2.0,28.25,30.07,8.99
2025-01-03 20:00:00,547.41,0.0,11.65,57.94,2.71,33.26,35.78,13.68
2025-01-03 21:00:00,634.19,0.0,14.22,49.35,3.13,38.51,41.64,17.99
2025-01-03 22:00:00,694.27,0.0,15.59,37.91,3.28,41.76,45.36,20.77
2025-01-03 23:00:00,727.65,0.0,15.94,26.11,3.1,42.06,45.75,20.77
2025-01-04 00:00:00,747.68,0.0,15.94,17.88,2.71,41.84,45.32,20.01
2025-01-04 01:00:00,761.03,0.01,16.45,14.13,2.62,42.12,45.43,21.53
2025-01-04 02:00:00,754.36,0.02,15.94,11.8,2.44,41.38,44.46,22.29
2025-01-04 03:00:00,741.0,0.03,15.59,11.09,2.29,41.47,44.41,23.05
2025-01-04 04:00:00,734.33,0.03,15.25,11.27,2.24,42.29,45.14,23.56
2025-01-04 05:00:00,714.3,0.03,14.22,11.98,2.12,43.68,46.44,23.05
2025-01-04 06:00:00,660.9,0.03,11.65,13.41,1.77,43.99,46.53,18.75
2025-01-04 07:00:00,614.17,0.2,9.0,14.13,1.42,43.38,45.81,12.16
2025-01-04 08:00:00,607.49,1.12,6.43,23.25,1.21,44.1,46.59,6.78
2025-01-04 09:00:00,420.57,0.27,2.59,69.38,1.12,32.39,34.08,2.34
