Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,403.88,0.62,6.34,22.53,1.73,7.6,8.72,11.15
2025-01-01 09:00:00,417.23,0.55,7.2,34.33,2.12,8.18,9.54,11.02
2025-01-01 10:00:00,407.22,0.31,6.68,40.77,2.12,7.84,9.24,9.75
2025-01-01 11:00:00,360.49,0.12,4.58,36.48,1.48,5.87,6.85,6.46
2025-01-01 12:00:00,320.43,0.07,3.17,27.89,0.9,4.32,4.98,3.67
2025-01-01 13:00:00,337.12,0.09,4.37,27.54,1.24,4.98,5.82,5.13
2025-01-01 14:00:00,360.49,0.1,5.18,28.25,1.56,5.58,6.49,6.33
2025-01-01 15:00:00,383.85,0.1,6.0,29.33,1.85,6.21,7.2,7.41
2025-01-01 16:00:00,393.87,0.09,6.77,28.97,2.0,6.7,7.74,8.04
2025-01-01 17:00:00,390.53,0.05,7.11,25.39,1.94,6.71,7.71,7.6
2025-01-01 18:00:00,370.5,0.01,6.34,18.78,1.64,6.18,7.13,5.95
2025-01-01 19:00:00,370.5,0.01,6.51,15.74,1.7,6.37,7.44,6.27
2025-01-01 20:00:00,383.85,0.01,7.28,14.13,1.89,7.26,8.56,7.54
2025-01-01 21:00:00,400.54,0.01,7.45,13.59,1.97,8.01,9.39,8.49
2025-01-01 22:00:00,407.22,0.01,6.85,13.41,1.94,8.61,9.99,8.74
2025-01-01 23:00:00,407.22,0.02,6.25,12.7,1.76,9.13,10.47,8.49
2025-01-02 00:00:00,400.54,0.02,5.74,11.18,1.42,9.37,10.54,7.6
2025-01-02 01:00:00,393.87,0.03,4.97,9.75,1.12,9.65,10.67,6.84
2025-01-02 02:00:00,387.19,0.03,4.16,9.12,0.86,9.9,10.79,6.08
2025-01-02 03:00:00,380.52,0.04,3.73,8.31,0.67,9.55,10.37,5.45
2025-01-02 04:00:00,373.84,0.04,3.77,7.78,0.59,9.07,9.86,5.64
2025-01-02 05:00:00,373.84,0.04,3.9,7.96,0.57,8.76,9.54,6.08
2025-01-02 06:00:00,377.18,0.04,4.11,8.67,0.63,8.58,9.36,6.52
2025-01-02 07:00:00,387.19,0.09,4.8,8.49,0.86,8.55,9.49,6.59
2025-01-02 08:00:00,400.54,0.31,6.0,8.05,1.18,8.58,9.76,6.08
2025-01-02 09:00:00,403.88,0.62,5.44,13.05,1.22,9.02,10.28,4.31
2025-01-02 10:00:00,390.53,0.52,3.43,24.68,0.92,9.15,10.35,2.41
2025-01-02 11:00:00,367.16,0.31,1.93,36.12,0.67,8.36,9.32,1.88
2025-01-02 12:00:00,340.46,0.16,1.05,40.05,0.44,6.55,7.11,1.38
2025-01-02 13:00:00,337.12,0.19,1.41,35.76,0.49,6.7,7.32,1.57
2025-01-02 14:00:00,343.8,0.18,2.1,32.19,0.63,7.13,7.85,2.01
2025-01-02 15:00:00,350.48,0.14,3.13,34.33,0.9,7.08,7.84,3.23
2025-01-02 16:00:00,370.5,0.1,4.58,36.48,1.28,7.28,8.13,4.75
2025-01-02 17:00:00,397.21,0.04,6.68,35.76,1.71,7.93,8.91,6.21
2025-01-02 18:00:00,433.92,0.0,9.08,32.54,2.32,9.19,10.38,8.11
2025-01-02 19:00:00,467.3,0.0,10.97,29.33,2.92,11.08,12.64,10.64
2025-01-02 20:00:00,500.68,0.0,12.51,26.46,3.34,12.95,14.88,13.05
2025-01-02 21:00:00,514.03,0.0,12.68,23.96,3.46,14.12,16.22,14.44
2025-01-02 22:00:00,494.0,0.0,11.14,20.21,3.04,13.9,15.94,13.3
2025-01-02 23:00:00,453.95,0.01,7.97,14.84,2.03,12.41,14.22,8.87
2025-01-03 00:00:00,420.57,0.04,4.84,8.94,0.98,10.76,12.23,3.7
2025-01-03 01:00:00,387.19,0.06,3.17,6.97,0.55,9.1,10.24,2.37
2025-01-03 02:00:00,357.15,0.06,2.16,7.06,0.34,7.33,8.14,1.88
