Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,220.3,0.01,1.99,36.84,0.69,5.04,5.45,0.24
2025-01-01 09:00:00,223.64,0.03,2.31,35.76,0.75,5.18,5.61,0.26
2025-01-01 10:00:00,233.65,0.07,2.7,33.97,0.82,4.89,5.35,0.34
2025-01-01 11:00:00,230.31,0.12,2.46,33.97,0.75,3.61,4.04,0.41
2025-01-01 12:00:00,216.96,0.12,1.5,37.55,0.44,2.0,2.32,0.31
2025-01-01 13:00:00,208.62,0.09,1.02,40.77,0.28,1.31,1.61,0.25
2025-01-01 14:00:00,203.61,0.07,0.84,43.99,0.32,1.27,1.55,0.21
2025-01-01 15:00:00,200.27,0.05,0.77,45.78,0.42,1.32,1.57,0.16
2025-01-01 16:00:00,196.93,0.04,0.82,45.06,0.48,1.18,1.4,0.14
2025-01-01 17:00:00,196.93,0.02,0.95,43.63,0.47,1.07,1.27,0.12
2025-01-01 18:00:00,198.6,0.0,1.1,42.2,0.44,1.0,1.18,0.12
2025-01-01 19:00:00,200.27,0.0,1.19,40.77,0.37,0.87,1.06,0.15
2025-01-01 20:00:00,200.27,0.0,1.17,39.7,0.29,0.69,0.89,0.18
2025-01-01 21:00:00,198.6,0.0,1.14,38.62,0.25,0.57,0.76,0.21
2025-01-01 22:00:00,198.6,0.0,1.2,37.55,0.27,0.55,0.75,0.25
2025-01-01 23:00:00,198.6,0.0,1.27,36.48,0.32,0.59,0.81,0.28
2025-01-02 00:00:00,198.6,0.0,1.24,34.33,0.34,0.67,0.86,0.28
2025-01-02 01:00:00,200.27,0.0,1.17,31.47,0.32,0.76,0.96,0.25
2025-01-02 02:00:00,200.27,0.0,1.18,28.97,0.43,0.94,1.14,0.2
2025-01-02 03:00:00,198.6,0.0,1.12,28.97,0.57,1.06,1.25,0.14
2025-01-02 04:00:00,195.26,0.0,1.03,30.04,0.65,1.09,1.31,0.12
2025-01-02 05:00:00,193.6,0.0,0.99,31.11,0.69,1.17,1.38,0.11
2025-01-02 06:00:00,193.6,0.0,1.07,31.47,0.83,1.43,1.65,0.11
2025-01-02 07:00:00,198.6,0.0,1.48,30.4,1.18,2.14,2.43,0.12
2025-01-02 08:00:00,206.95,0.02,1.88,28.97,1.52,2.86,3.22,0.14
2025-01-02 09:00:00,213.62,0.06,2.21,29.68,1.77,3.57,4.03,0.16
2025-01-02 10:00:00,223.64,0.11,2.25,33.97,1.76,3.84,4.4,0.18
2025-01-02 11:00:00,223.64,0.13,1.93,40.41,1.51,3.64,4.17,0.15
2025-01-02 12:00:00,216.96,0.11,1.36,45.78,1.22,3.35,3.78,0.0
2025-01-02 13:00:00,210.29,0.07,1.0,47.21,0.86,2.69,3.09,0.03
2025-01-02 14:00:00,205.28,0.05,0.82,46.49,0.6,2.07,2.42,0.11
2025-01-02 15:00:00,201.94,0.03,0.86,45.06,0.48,1.6,1.92,0.18
2025-01-02 16:00:00,201.94,0.02,1.11,43.27,0.48,1.31,1.65,0.25
2025-01-02 17:00:00,205.28,0.01,1.52,41.84,0.48,1.26,1.64,0.31
2025-01-02 18:00:00,206.95,0.0,1.82,41.48,0.71,1.66,2.03,0.26
2025-01-02 19:00:00,203.61,0.0,1.71,42.2,1.15,2.26,2.62,0.13
2025-01-02 20:00:00,200.27,0.0,1.46,41.13,1.48,2.69,3.07,0.07
2025-01-02 21:00:00,195.26,0.0,1.18,39.34,1.48,2.52,2.9,0.06
2025-01-02 22:00:00,195.26,0.0,1.03,37.55,1.19,2.16,2.52,0.11
2025-01-02 23:00:00,198.6,0.0,1.02,36.12,0.95,1.89,2.25,0.19
2025-01-03 00:00:00,203.61,0.0,1.14,35.41,0.78,1.74,2.13,0.34
2025-01-03 01:00:00,206.95,0.0,1.21,34.69,0.69,1.72,2.13,0.46
2025-01-03 02:00:00,205.28,0.0,1.17,34.33,0.69,1.78,2.16,0.42
2025-01-03 03:00:00,205.28,0.0,1.39,33.62,0.92,2.2,2.6,0.4
2025-01-03 04:00:00,206.95,0.0,1.69,32.9,1.16,2.8,3.22,0.36
2025-01-03 05:00:00,208.62,0.0,1.97,32.54,1.39,3.43,3.86,0.31
2025-01-03 06:00:00,210.29,0.0,2.21,32.19,1.55,4.03,4.45,0.25
2025-01-03 07:00:00,211.95,0.01,2.38,31.83,1.64,4.55,4.99,0.18
2025-01-03 08:00:00,213.62,0.11,2.27,32.9,1.71,5.0,5.48,0.13
2025-01-03 09:00:00,220.3,0.19,1.86,38.62,1.77,5.32,5.92,0.16
2025-01-03 10:00:00,226.97,0.2,1.56,50.78,2.0,6.18,6.99,0.37
2025-01-03 11:00:00,236.99,0.17,1.24,65.8,2.18,7.36,8.32,0.57
2025-01-03 12:00:00,243.66,0.13,0.96,76.53,2.24,8.8,9.84,0.55
2025-01-03 13:00:00,247.0,0.11,0.87,82.25,2.15,10.15,11.2,0.46
2025-01-03 14:00:00,243.66,0.1,0.84,85.12,1.91,10.72,11.78,0.39
2025-01-03 15:00:00,240.33,0.09,0.81,82.25,1.46,9.46,10.53,0.38
2025-01-03 16:00:00,230.31,0.07,0.9,75.82,1.06,7.44,8.53,0.49
2025-01-03 17:00:00,230.31,0.03,1.22,70.1,0.89,5.74,6.8,0.67
2025-01-03 18:00:00,230.31,0.0,1.93,64.37,0.93,4.88,5.87,0.79
2025-01-03 19:00:00,230.31,0.0,2.53,60.08,1.0,5.46,6.44,0.76
2025-01-03 20:00:00,230.31,0.0,2.74,61.51,1.22,7.16,8.26,0.71
2025-01-03 21:00:00,233.65,0.0,2.74,69.38,1.79,10.72,11.95,0.57
2025-01-03 22:00:00,236.99,0.0,2.66,77.96,2.47,14.55,15.9,0.42
2025-01-03 23:00:00,243.66,0.0,2.51,80.11,2.71,15.76,17.07,0.43
2025-01-04 00:00:00,247.0,0.0,2.27,76.53,2.41,14.67,15.93,0.59
2025-01-04 01:00:00,247.0,0.0,2.01,72.24,2.0,13.26,14.44,0.72
2025-01-04 02:00:00,247.0,0.0,1.82,67.23,1.59,11.52,12.64,0.78
2025-01-04 03:00:00,250.34,0.0,1.74,60.08,1.21,9.64,10.72,0.83
2025-01-04 04:00:00,250.34,0.0,1.8,50.07,0.87,7.23,8.21,0.87
2025-01-04 05:00:00,253.68,0.0,2.01,40.05,0.69,5.27,6.1,0.76
2025-01-04 06:00:00,250.34,0.0,2.16,35.76,0.95,5.63,6.27,0.34
2025-01-04 07:00:00,253.68,0.02,2.46,39.7,1.89,9.05,9.72,0.13
2025-01-04 08:00:00,257.02,0.11,1.93,51.5,2.71,13.44,14.26,0.0
2025-01-04 09:00:00,250.34,0.12,1.18,66.52,2.71,15.45,16.3,0.0
2025-01-04 10:00:00,236.99,0.11,0.93,73.67,2.24,14.08,14.87,0.0
