Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,494.0,0.99,9.0,28.25,2.89,9.67,15.06,4.37
2025-01-01 09:00:00,347.14,0.6,4.33,47.21,1.97,4.4,7.11,2.34
2025-01-01 10:00:00,310.42,0.35,3.08,52.93,1.65,3.26,5.37,1.92
2025-01-01 11:00:00,287.06,0.19,2.31,55.07,1.39,2.57,4.26,1.57
2025-01-01 12:00:00,280.38,0.14,2.12,55.79,1.33,2.36,3.8,1.44
2025-01-01 13:00:00,283.72,0.15,2.36,55.79,1.43,2.61,4.04,1.52
2025-01-01 14:00:00,287.06,0.13,2.61,55.79,1.46,3.07,4.5,1.52
2025-01-01 15:00:00,300.41,0.1,3.26,55.79,1.65,3.84,5.4,1.61
2025-01-01 16:00:00,313.76,0.06,4.33,55.07,1.94,4.65,6.44,1.74
2025-01-01 17:00:00,323.77,0.02,5.48,54.36,2.12,4.83,6.74,1.68
2025-01-01 18:00:00,330.45,0.0,6.08,54.36,2.15,4.62,6.65,1.6
2025-01-01 19:00:00,333.79,0.0,5.83,53.64,2.09,4.66,6.89,1.69
2025-01-01 20:00:00,330.45,0.0,5.4,52.21,2.03,4.69,7.05,1.8
2025-01-01 21:00:00,333.79,0.0,5.27,50.07,1.94,4.88,7.39,2.01
2025-01-01 22:00:00,350.48,0.0,5.83,45.78,1.97,5.55,8.42,2.37
2025-01-01 23:00:00,373.84,0.0,6.6,41.48,1.97,6.18,9.26,2.66
2025-01-02 00:00:00,387.19,0.0,6.94,37.91,1.89,6.7,9.99,3.07
2025-01-02 01:00:00,400.54,0.0,6.6,35.05,1.74,7.4,11.05,3.36
2025-01-02 02:00:00,417.23,0.0,6.34,32.19,1.58,8.33,12.29,3.55
2025-01-02 03:00:00,453.95,0.0,6.6,29.33,1.49,9.87,14.28,3.77
2025-01-02 04:00:00,500.68,0.0,7.37,26.82,1.53,11.82,16.76,4.05
2025-01-02 05:00:00,540.73,0.0,8.31,25.39,1.67,13.55,18.98,4.24
2025-01-02 06:00:00,567.44,0.01,9.25,24.32,1.83,14.72,20.45,4.24
2025-01-02 07:00:00,594.14,0.02,11.14,24.32,2.41,15.23,21.39,4.24
2025-01-02 08:00:00,600.81,0.19,13.37,27.18,3.22,14.39,20.7,4.24
2025-01-02 09:00:00,467.3,0.64,9.08,41.84,3.04,9.43,13.94,3.23
2025-01-02 10:00:00,410.56,0.87,6.08,51.5,2.98,7.3,11.47,3.07
2025-01-02 11:00:00,343.8,0.54,3.43,64.37,2.56,4.99,8.76,2.63
2025-01-02 12:00:00,277.04,0.24,1.63,66.52,1.49,2.24,4.3,1.58
2025-01-02 13:00:00,270.37,0.2,1.93,62.23,1.51,1.72,3.61,1.58
2025-01-02 14:00:00,270.37,0.14,2.78,56.51,1.77,1.72,4.01,1.76
2025-01-02 15:00:00,277.04,0.06,3.73,50.78,2.09,1.9,4.6,1.95
2025-01-02 16:00:00,287.06,0.04,4.41,47.92,2.29,2.16,4.98,2.12
2025-01-02 17:00:00,293.73,0.01,5.27,45.78,2.41,2.32,5.02,2.25
2025-01-02 18:00:00,397.21,0.0,12.17,34.69,3.67,3.93,7.68,3.89
2025-01-02 19:00:00,567.44,0.08,20.91,19.49,5.07,7.59,13.73,5.89
2025-01-02 20:00:00,714.3,0.43,24.33,10.28,5.78,11.74,20.14,7.6
2025-01-02 21:00:00,794.41,0.85,23.99,5.99,5.9,15.37,25.41,9.63
2025-01-02 22:00:00,834.47,1.3,22.28,3.89,5.72,18.23,29.32,10.89
2025-01-02 23:00:00,881.2,2.21,21.25,2.08,5.6,20.59,31.91,11.65
2025-01-03 00:00:00,947.95,3.27,20.56,0.89,5.66,22.7,34.03,13.05
2025-01-03 01:00:00,988.01,3.91,19.54,0.36,5.19,24.85,36.66,14.31
2025-01-03 02:00:00,1001.36,4.47,17.82,0.12,4.53,26.91,39.07,15.58
2025-01-03 03:00:00,1028.06,5.59,16.45,0.03,4.17,29.08,41.47,15.96
