Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,310.42,0.87,3.81,22.89,0.85,7.51,9.17,14.69
2025-01-01 09:00:00,323.77,0.5,3.6,41.48,0.95,8.53,10.36,15.45
2025-01-01 10:00:00,323.77,0.27,2.78,50.07,0.91,8.43,10.17,14.06
2025-01-01 11:00:00,307.08,0.16,2.14,46.49,0.79,7.4,8.9,11.65
2025-01-01 12:00:00,300.41,0.12,2.01,42.2,0.74,7.06,8.49,10.89
2025-01-01 13:00:00,300.41,0.1,1.91,39.7,0.72,6.76,8.1,10.89
2025-01-01 14:00:00,283.72,0.07,1.8,35.05,0.65,5.48,6.64,10.01
2025-01-01 15:00:00,280.38,0.07,1.97,31.47,0.64,4.93,6.05,10.01
2025-01-01 16:00:00,293.73,0.05,2.38,29.33,0.7,5.43,6.64,11.02
2025-01-01 17:00:00,307.08,0.02,2.87,26.82,0.78,6.22,7.56,12.29
2025-01-01 18:00:00,317.1,0.0,3.21,23.96,0.84,6.24,7.66,13.17
2025-01-01 19:00:00,337.12,0.0,3.94,21.28,0.98,6.68,8.34,14.95
2025-01-01 20:00:00,367.16,0.0,5.1,19.67,1.16,7.83,9.78,16.97
2025-01-01 21:00:00,377.18,0.0,5.65,17.88,1.21,8.23,10.27,17.48
2025-01-01 22:00:00,370.5,0.0,5.48,15.91,1.15,7.76,9.71,16.47
2025-01-01 23:00:00,350.48,0.0,5.06,13.95,0.97,7.08,8.87,14.19
2025-01-02 00:00:00,323.77,0.01,4.2,11.8,0.65,6.16,7.63,10.26
2025-01-02 01:00:00,303.75,0.01,3.47,10.1,0.44,5.45,6.67,7.6
2025-01-02 02:00:00,303.75,0.03,3.13,7.87,0.36,5.35,6.48,6.59
2025-01-02 03:00:00,307.08,0.06,3.08,6.17,0.31,5.79,6.95,5.38
2025-01-02 04:00:00,300.41,0.09,3.0,5.1,0.28,6.22,7.42,4.31
2025-01-02 05:00:00,297.07,0.11,2.91,4.6,0.25,6.51,7.7,3.58
2025-01-02 06:00:00,300.41,0.12,3.0,4.52,0.25,6.88,8.09,3.39
2025-01-02 07:00:00,307.08,0.35,2.78,5.68,0.31,7.29,8.7,3.93
2025-01-02 08:00:00,307.08,0.73,2.16,15.02,0.41,7.84,9.56,4.94
2025-01-02 09:00:00,307.08,0.33,2.27,22.71,0.44,7.96,9.78,5.19
2025-01-02 10:00:00,280.38,0.27,1.41,23.96,0.34,6.27,7.79,3.74
2025-01-02 11:00:00,247.0,0.19,0.77,25.03,0.23,3.96,4.95,2.5
2025-01-02 12:00:00,230.31,0.14,0.73,28.25,0.24,2.92,3.65,2.91
2025-01-02 13:00:00,236.99,0.13,1.17,31.47,0.38,3.3,4.17,5.19
2025-01-02 14:00:00,247.0,0.07,1.65,31.47,0.49,3.56,4.52,7.09
2025-01-02 15:00:00,267.03,0.01,2.25,28.25,0.6,4.16,5.23,8.99
2025-01-02 16:00:00,290.39,0.01,2.74,25.75,0.72,5.07,6.28,10.77
2025-01-02 17:00:00,310.42,0.0,3.26,23.6,0.81,6.03,7.37,12.41
2025-01-02 18:00:00,317.1,0.0,3.56,21.28,0.86,6.39,7.8,13.3
2025-01-02 19:00:00,320.43,0.0,4.07,19.31,0.93,6.68,8.24,13.93
2025-01-02 20:00:00,327.11,0.0,4.58,17.34,0.98,7.34,9.05,14.19
2025-01-02 21:00:00,307.08,0.01,3.6,11.27,0.65,6.84,8.54,8.11
2025-01-02 22:00:00,290.39,0.02,2.83,7.33,0.42,6.09,7.75,4.31
2025-01-02 23:00:00,280.38,0.05,2.53,5.54,0.31,5.78,7.36,2.79
2025-01-03 00:00:00,273.7,0.05,2.63,5.63,0.3,5.81,7.26,3.61
