Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,236.99,0.01,2.83,47.21,4.77,2.49,4.07,0.33
2025-01-01 09:00:00,236.99,0.05,2.87,47.21,4.89,2.56,3.97,0.3
2025-01-01 10:00:00,233.65,0.1,2.57,47.92,4.77,2.51,3.79,0.28
2025-01-01 11:00:00,233.65,0.13,2.27,48.64,4.53,2.44,3.62,0.26
2025-01-01 12:00:00,233.65,0.14,2.31,50.07,4.89,2.47,3.65,0.25
2025-01-01 13:00:00,236.99,0.11,2.21,51.5,4.53,2.48,3.55,0.25
2025-01-01 14:00:00,240.33,0.08,2.1,52.93,4.17,2.42,3.4,0.24
2025-01-01 15:00:00,240.33,0.05,2.29,54.36,4.35,2.48,3.5,0.25
2025-01-01 16:00:00,243.66,0.03,2.48,54.36,4.47,2.62,3.65,0.26
2025-01-01 17:00:00,243.66,0.01,2.68,54.36,4.41,2.74,3.75,0.27
2025-01-01 18:00:00,243.66,0.0,2.59,53.64,4.11,2.7,3.68,0.28
2025-01-01 19:00:00,243.66,0.0,2.61,53.64,4.17,2.66,3.76,0.31
2025-01-01 20:00:00,243.66,0.0,2.72,52.21,4.53,2.6,3.83,0.34
2025-01-01 21:00:00,243.66,0.0,2.57,51.5,4.11,2.49,3.82,0.36
2025-01-01 22:00:00,240.33,0.0,2.66,50.78,4.35,2.69,4.2,0.39
2025-01-01 23:00:00,240.33,0.0,2.83,50.07,4.71,2.76,4.38,0.41
2025-01-02 00:00:00,240.33,0.0,2.87,48.64,5.19,2.74,4.34,0.43
2025-01-02 01:00:00,240.33,0.0,2.4,47.21,4.41,2.77,4.34,0.45
2025-01-02 02:00:00,240.33,0.0,1.95,46.49,3.55,2.8,4.31,0.46
2025-01-02 03:00:00,240.33,0.0,1.86,46.49,3.46,2.86,4.4,0.47
2025-01-02 04:00:00,240.33,0.0,1.82,46.49,3.4,2.72,4.13,0.45
2025-01-02 05:00:00,236.99,0.0,1.8,46.49,3.37,2.36,3.61,0.43
2025-01-02 06:00:00,240.33,0.0,1.8,47.92,3.07,1.89,3.07,0.41
2025-01-02 07:00:00,243.66,0.0,2.31,47.92,3.7,1.67,3.09,0.43
2025-01-02 08:00:00,247.0,0.03,3.21,47.21,5.01,1.59,3.32,0.45
2025-01-02 09:00:00,247.0,0.1,3.43,45.78,5.72,1.58,3.35,0.43
2025-01-02 10:00:00,240.33,0.17,3.21,46.49,6.26,1.64,3.33,0.4
2025-01-02 11:00:00,230.31,0.23,3.04,46.49,6.68,1.62,3.18,0.36
2025-01-02 12:00:00,226.97,0.32,3.13,47.92,7.75,1.63,3.16,0.34
2025-01-02 13:00:00,223.64,0.31,2.91,47.92,7.27,1.56,2.96,0.33
2025-01-02 14:00:00,220.3,0.29,2.66,46.49,6.56,1.47,2.72,0.32
2025-01-02 15:00:00,216.96,0.24,3.04,44.35,7.09,1.54,2.91,0.35
2025-01-02 16:00:00,216.96,0.12,3.47,40.41,7.15,1.59,3.13,0.39
2025-01-02 17:00:00,216.96,0.03,3.73,38.27,6.79,1.56,3.15,0.42
2025-01-02 18:00:00,220.3,0.0,3.38,37.19,6.08,1.48,2.94,0.42
2025-01-02 19:00:00,220.3,0.0,3.3,36.48,5.66,1.5,3.14,0.47
2025-01-02 20:00:00,220.3,0.0,3.43,35.05,6.02,1.6,3.6,0.52
2025-01-02 21:00:00,216.96,0.0,3.26,33.26,6.5,1.5,3.57,0.55
2025-01-02 22:00:00,213.62,0.0,3.38,31.47,7.15,1.36,3.56,0.6
2025-01-02 23:00:00,211.95,0.0,3.94,29.68,8.34,1.39,3.78,0.68
2025-01-03 00:00:00,211.95,0.0,4.67,28.25,9.18,1.56,4.07,0.77
2025-01-03 01:00:00,206.95,0.0,4.11,27.18,7.63,1.44,3.65,0.77
2025-01-03 02:00:00,201.94,0.0,2.96,28.61,5.3,1.04,2.73,0.7
2025-01-03 03:00:00,200.27,0.0,2.14,30.04,2.86,0.76,2.46,0.82
2025-01-03 04:00:00,205.28,0.0,1.74,29.68,1.45,0.71,2.76,1.04
2025-01-03 05:00:00,210.29,0.0,1.63,28.25,0.95,0.76,3.16,1.25
2025-01-03 06:00:00,211.95,0.0,1.61,26.46,0.76,0.85,3.54,1.31
2025-01-03 07:00:00,216.96,0.01,2.14,25.03,1.04,0.98,4.37,1.33
2025-01-03 08:00:00,226.97,0.2,3.38,25.03,2.32,1.17,5.43,1.31
2025-01-03 09:00:00,223.64,0.46,4.97,27.54,6.97,1.37,5.28,1.04
2025-01-03 10:00:00,220.3,0.57,5.91,29.68,9.89,1.57,5.36,0.95
2025-01-03 11:00:00,220.3,0.71,7.54,32.19,13.95,1.88,5.84,0.87
2025-01-03 12:00:00,216.96,1.2,13.02,33.26,26.23,2.93,6.44,0.55
2025-01-03 13:00:00,216.96,1.16,14.57,32.19,27.89,3.91,6.74,0.27
2025-01-03 14:00:00,216.96,0.59,12.0,31.47,20.27,3.45,5.79,0.31
2025-01-03 15:00:00,220.3,0.25,10.97,28.97,15.97,2.99,5.33,0.44
2025-01-03 16:00:00,223.64,0.1,11.48,25.75,16.69,2.98,5.61,0.55
2025-01-03 17:00:00,223.64,0.02,12.0,23.25,17.4,2.88,5.51,0.56
2025-01-03 18:00:00,223.64,0.0,9.85,22.71,11.68,2.17,4.94,0.72
2025-01-03 19:00:00,230.31,0.0,7.63,22.71,6.08,1.58,4.94,0.97
2025-01-03 20:00:00,236.99,0.0,6.68,21.82,3.93,1.44,5.75,1.16
2025-01-03 21:00:00,240.33,0.0,5.91,20.56,3.07,1.4,6.35,1.19
2025-01-03 22:00:00,240.33,0.0,5.91,19.85,3.7,1.5,7.39,1.17
2025-01-03 23:00:00,240.33,0.0,7.63,18.6,7.63,1.91,9.26,1.16
2025-01-04 00:00:00,253.68,0.01,10.28,14.66,10.49,3.29,12.5,1.79
2025-01-04 01:00:00,287.06,0.01,10.28,11.35,6.74,4.77,13.74,2.44
2025-01-04 02:00:00,300.41,0.03,7.88,8.58,3.22,5.08,11.32,2.5
2025-01-04 03:00:00,287.06,0.03,5.31,8.05,1.33,4.32,8.05,2.15
2025-01-04 04:00:00,247.0,0.02,3.0,10.82,0.51,2.75,5.26,1.54
2025-01-04 05:00:00,213.62,0.01,1.54,15.38,0.25,1.33,3.26,1.12
2025-01-04 06:00:00,191.93,0.0,1.32,28.25,2.15,0.5,1.52,0.41
2025-01-04 07:00:00,198.6,0.0,1.74,30.04,2.95,0.5,1.55,0.38
2025-01-04 08:00:00,216.96,0.04,2.38,32.9,3.99,0.87,2.11,0.4
2025-01-04 09:00:00,247.0,0.11,2.48,37.55,4.41,1.53,2.71,0.38
2025-01-04 10:00:00,273.7,0.14,2.27,43.99,4.35,2.37,3.51,0.39
2025-01-04 11:00:00,287.06,0.14,2.06,54.36,4.17,2.86,4.07,0.38
2025-01-04 12:00:00,280.38,0.14,1.93,65.09,4.23,2.8,4.14,0.37
2025-01-04 13:00:00,267.03,0.15,1.63,69.38,3.78,2.57,3.8,0.36
2025-01-04 14:00:00,260.35,0.16,1.41,70.1,3.4,2.55,3.67,0.34
2025-01-04 15:00:00,257.02,0.17,1.5,70.1,3.58,2.57,3.74,0.33
2025-01-04 16:00:00,250.34,0.16,1.69,69.38,3.73,2.65,3.99,0.33
2025-01-04 17:00:00,247.0,0.09,2.01,69.38,3.81,3.22,4.76,0.32
2025-01-04 18:00:00,250.34,0.01,2.16,71.53,3.52,4.52,6.23,0.31
2025-01-04 19:00:00,257.02,0.0,2.36,73.67,3.76,5.53,7.45,0.33
2025-01-04 20:00:00,267.03,0.0,2.57,75.1,4.11,5.84,7.75,0.36
2025-01-04 21:00:00,263.69,0.0,2.46,71.53,3.93,4.91,6.46,0.36
2025-01-04 22:00:00,243.66,0.0,2.12,58.65,3.55,2.99,4.22,0.34
2025-01-04 23:00:00,216.96,0.0,1.8,44.7,3.07,1.7,2.73,0.31
2025-01-05 00:00:00,216.96,0.0,1.71,50.07,2.8,1.9,2.79,0.29
2025-01-05 01:00:00,250.34,0.0,1.61,75.82,2.41,3.28,4.1,0.27
2025-01-05 02:00:00,260.35,0.0,1.44,82.97,2.12,3.69,4.56,0.25
2025-01-05 03:00:00,250.34,0.0,1.3,81.54,1.97,3.0,3.89,0.23
2025-01-05 04:00:00,240.33,0.0,1.17,80.82,1.8,2.23,3.14,0.22
2025-01-05 05:00:00,236.99,0.0,1.1,79.39,1.73,1.93,2.91,0.21
2025-01-05 06:00:00,230.31,0.0,1.07,75.1,1.68,1.67,2.92,0.21
2025-01-05 07:00:00,223.64,0.0,1.27,70.81,2.0,1.47,3.2,0.23
2025-01-05 08:00:00,216.96,0.06,1.52,69.38,2.44,1.29,3.06,0.24
2025-01-05 09:00:00,213.62,0.13,1.48,70.81,2.56,1.4,3.04,0.24
2025-01-05 10:00:00,213.62,0.14,1.46,71.53,2.8,1.59,3.01,0.23
