Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,260.35,1.03,2.78,7.06,0.93,5.82,7.95,1.04
2025-01-01 09:00:00,203.61,0.15,1.1,23.25,0.36,1.22,1.75,0.4
2025-01-01 10:00:00,201.94,0.12,0.94,26.46,0.35,0.88,1.29,0.41
2025-01-01 11:00:00,205.28,0.12,0.94,28.61,0.37,0.91,1.29,0.44
2025-01-01 12:00:00,200.27,0.08,0.76,29.68,0.31,0.74,1.05,0.38
2025-01-01 13:00:00,201.94,0.08,0.9,30.4,0.34,0.83,1.14,0.44
2025-01-01 14:00:00,208.62,0.08,1.23,31.47,0.41,0.98,1.3,0.51
2025-01-01 15:00:00,213.62,0.08,1.44,31.83,0.45,1.12,1.45,0.55
2025-01-01 16:00:00,220.3,0.06,1.71,30.76,0.5,1.38,1.75,0.62
2025-01-01 17:00:00,223.64,0.02,1.99,28.25,0.52,1.54,1.93,0.63
2025-01-01 18:00:00,240.33,0.0,3.56,22.17,0.77,2.04,2.62,0.78
2025-01-01 19:00:00,260.35,0.0,4.88,15.74,0.97,2.81,3.71,0.88
2025-01-01 20:00:00,270.37,0.01,5.01,11.8,0.98,3.46,4.57,0.91
2025-01-01 21:00:00,280.38,0.02,5.1,8.49,0.98,4.23,5.64,0.98
2025-01-01 22:00:00,293.73,0.05,5.27,5.23,1.01,5.16,7.01,1.08
2025-01-01 23:00:00,303.75,0.1,5.31,3.26,0.97,6.02,8.15,1.17
2025-01-02 00:00:00,303.75,0.12,5.01,2.21,0.81,6.63,8.78,1.19
2025-01-02 01:00:00,300.41,0.11,4.54,1.68,0.63,7.1,9.2,1.11
2025-01-02 02:00:00,297.07,0.11,4.03,1.4,0.49,7.47,9.45,1.04
2025-01-02 03:00:00,290.39,0.1,3.51,1.24,0.41,7.77,9.62,0.96
2025-01-02 04:00:00,280.38,0.08,3.04,1.41,0.35,7.89,9.55,0.86
2025-01-02 05:00:00,267.03,0.05,2.55,2.24,0.32,7.36,8.54,0.77
2025-01-02 06:00:00,247.0,0.03,2.12,3.93,0.33,6.14,6.96,0.71
2025-01-02 07:00:00,243.66,0.1,2.33,5.36,0.52,5.33,6.25,0.78
2025-01-02 08:00:00,250.34,0.44,2.66,10.64,0.8,4.68,5.88,0.85
2025-01-02 09:00:00,205.28,0.16,1.17,29.68,0.44,1.31,1.8,0.42
2025-01-02 10:00:00,201.94,0.16,0.86,33.62,0.41,0.97,1.38,0.49
2025-01-02 11:00:00,201.94,0.13,0.61,37.55,0.37,0.85,1.22,0.53
2025-01-02 12:00:00,191.93,0.08,0.36,33.62,0.26,0.54,0.79,0.37
2025-01-02 13:00:00,193.6,0.07,0.51,33.97,0.29,0.58,0.81,0.4
2025-01-02 14:00:00,216.96,0.05,1.18,40.05,0.59,1.05,1.34,0.49
2025-01-02 15:00:00,260.35,0.02,2.68,48.64,1.55,2.49,2.92,0.66
2025-01-02 16:00:00,300.41,0.03,3.98,50.07,2.21,4.14,4.7,0.74
2025-01-02 17:00:00,313.76,0.02,4.5,44.7,2.09,5.07,5.67,0.7
2025-01-02 18:00:00,333.79,0.0,6.34,30.04,1.73,6.11,6.6,0.84
2025-01-02 19:00:00,357.15,0.0,7.45,17.52,1.51,7.36,7.95,0.89
2025-01-02 20:00:00,367.16,0.01,7.03,11.27,1.33,8.25,8.98,0.89
2025-01-02 21:00:00,380.52,0.05,6.68,6.35,1.19,9.55,10.45,0.91
2025-01-02 22:00:00,400.54,0.17,6.17,2.66,1.07,11.19,12.15,0.89
2025-01-02 23:00:00,407.22,0.37,5.44,0.92,0.95,12.33,13.25,0.85
2025-01-03 00:00:00,397.21,0.45,4.63,0.6,0.72,12.62,13.46,0.86
2025-01-03 01:00:00,383.85,0.38,3.94,0.69,0.54,12.89,13.59,0.9
2025-01-03 02:00:00,380.52,0.32,3.38,0.77,0.44,13.57,14.18,0.97
2025-01-03 03:00:00,367.16,0.25,2.96,1.04,0.39,13.85,14.46,0.98
2025-01-03 04:00:00,343.8,0.15,2.68,1.63,0.36,13.36,14.02,0.92
2025-01-03 05:00:00,320.43,0.08,2.51,2.62,0.36,12.46,13.2,0.89
2025-01-03 06:00:00,307.08,0.08,2.51,2.79,0.4,11.8,12.65,0.8
2025-01-03 07:00:00,310.42,0.5,2.59,3.93,0.63,11.56,12.92,0.84
