Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,183.58,0.03,0.87,17.7,0.47,0.92,1.2,0.42
2025-01-01 09:00:00,183.58,0.03,0.63,26.11,0.41,0.54,0.72,0.25
2025-01-01 10:00:00,183.58,0.04,0.57,28.25,0.36,0.5,0.64,0.22
2025-01-01 11:00:00,185.25,0.04,0.58,28.61,0.35,0.5,0.62,0.21
2025-01-01 12:00:00,185.25,0.04,0.52,28.25,0.31,0.5,0.61,0.21
2025-01-01 13:00:00,186.92,0.05,0.44,26.46,0.32,0.5,0.61,0.23
2025-01-01 14:00:00,186.92,0.06,0.36,25.75,0.35,0.5,0.62,0.24
2025-01-01 15:00:00,186.92,0.05,0.32,25.75,0.36,0.53,0.67,0.25
2025-01-01 16:00:00,185.25,0.03,0.35,25.39,0.37,0.58,0.73,0.25
2025-01-01 17:00:00,185.25,0.01,0.42,25.39,0.38,0.61,0.76,0.24
2025-01-01 18:00:00,185.25,0.0,0.7,22.17,0.42,0.73,0.93,0.34
2025-01-01 19:00:00,188.59,0.0,1.05,17.52,0.46,0.96,1.26,0.46
2025-01-01 20:00:00,191.93,0.0,1.24,14.66,0.45,1.2,1.6,0.52
2025-01-01 21:00:00,191.93,0.0,1.26,14.13,0.44,1.32,1.73,0.51
2025-01-01 22:00:00,190.26,0.0,1.16,15.56,0.42,1.29,1.65,0.45
2025-01-01 23:00:00,188.59,0.0,1.05,17.88,0.4,1.15,1.44,0.37
2025-01-02 00:00:00,188.59,0.0,0.97,19.31,0.35,0.97,1.15,0.31
2025-01-02 01:00:00,186.92,0.0,0.93,18.78,0.3,0.82,0.95,0.3
2025-01-02 02:00:00,185.25,0.0,0.86,18.42,0.26,0.69,0.8,0.29
2025-01-02 03:00:00,183.58,0.0,0.79,18.06,0.23,0.62,0.74,0.32
2025-01-02 04:00:00,185.25,0.0,0.77,16.99,0.21,0.63,0.77,0.38
2025-01-02 05:00:00,185.25,0.01,0.77,16.09,0.21,0.67,0.81,0.43
2025-01-02 06:00:00,183.58,0.0,0.76,16.45,0.24,0.68,0.85,0.44
2025-01-02 07:00:00,185.25,0.01,0.8,17.88,0.3,0.67,0.89,0.42
2025-01-02 08:00:00,185.25,0.02,0.85,21.1,0.37,0.64,0.89,0.37
2025-01-02 09:00:00,183.58,0.02,0.78,27.54,0.34,0.5,0.67,0.21
2025-01-02 10:00:00,183.58,0.03,0.89,27.89,0.33,0.5,0.64,0.18
2025-01-02 11:00:00,183.58,0.03,0.84,29.33,0.31,0.5,0.64,0.16
2025-01-02 12:00:00,183.58,0.02,0.63,32.19,0.25,0.5,0.62,0.15
2025-01-02 13:00:00,183.58,0.01,0.51,32.9,0.22,0.5,0.61,0.15
2025-01-02 14:00:00,183.58,0.01,0.46,32.54,0.22,0.5,0.61,0.14
2025-01-02 15:00:00,183.58,0.01,0.47,30.04,0.23,0.5,0.64,0.2
2025-01-02 16:00:00,185.25,0.03,0.57,26.46,0.28,0.59,0.78,0.27
2025-01-02 17:00:00,186.92,0.03,0.77,23.6,0.34,0.74,0.98,0.31
2025-01-02 18:00:00,188.59,0.0,1.12,20.38,0.42,0.94,1.24,0.38
2025-01-02 19:00:00,191.93,0.0,1.44,17.17,0.47,1.19,1.56,0.44
2025-01-02 20:00:00,193.6,0.0,1.59,14.66,0.47,1.44,1.86,0.47
2025-01-02 21:00:00,193.6,0.0,1.61,13.23,0.44,1.65,2.06,0.47
2025-01-02 22:00:00,193.6,0.01,1.54,12.16,0.42,1.82,2.27,0.51
2025-01-02 23:00:00,193.6,0.01,1.48,11.27,0.4,1.96,2.45,0.58
2025-01-03 00:00:00,195.26,0.03,1.5,8.49,0.35,2.19,2.69,0.78
2025-01-03 01:00:00,196.93,0.06,1.5,5.81,0.32,2.46,2.97,1.08
2025-01-03 02:00:00,196.93,0.08,1.54,5.19,0.34,2.63,3.14,1.46
2025-01-03 03:00:00,196.93,0.09,1.54,5.01,0.35,2.72,3.22,1.65
2025-01-03 04:00:00,193.6,0.09,1.27,4.56,0.28,2.62,3.04,1.09
2025-01-03 05:00:00,186.92,0.06,1.03,5.19,0.23,2.3,2.62,0.69
2025-01-03 06:00:00,178.58,0.01,0.75,10.82,0.28,1.59,1.83,0.39
2025-01-03 07:00:00,178.58,0.03,0.75,12.7,0.38,1.39,1.67,0.4
2025-01-03 08:00:00,181.91,0.1,0.82,15.02,0.5,1.39,1.73,0.42
2025-01-03 09:00:00,183.58,0.09,0.82,20.56,0.55,1.24,1.59,0.34
2025-01-03 10:00:00,183.58,0.11,0.91,21.99,0.57,1.2,1.58,0.31
2025-01-03 11:00:00,183.58,0.13,0.94,22.71,0.55,1.18,1.58,0.32
2025-01-03 12:00:00,183.58,0.08,0.64,26.82,0.37,0.97,1.29,0.31
2025-01-03 13:00:00,183.58,0.06,0.48,26.82,0.28,0.88,1.16,0.33
2025-01-03 14:00:00,185.25,0.05,0.38,26.11,0.22,0.78,1.02,0.34
2025-01-03 15:00:00,185.25,0.05,0.33,25.03,0.2,0.74,0.95,0.36
2025-01-03 16:00:00,186.92,0.05,0.35,23.96,0.22,0.74,0.95,0.41
2025-01-03 17:00:00,188.59,0.04,0.49,23.25,0.29,0.75,0.96,0.45
2025-01-03 18:00:00,191.93,0.0,0.93,19.49,0.42,0.92,1.2,0.57
2025-01-03 19:00:00,198.6,0.0,1.34,13.77,0.5,1.26,1.7,0.66
2025-01-03 20:00:00,203.61,0.01,1.56,9.66,0.49,1.65,2.25,0.69
2025-01-03 21:00:00,205.28,0.02,1.65,7.24,0.46,1.97,2.63,0.68
2025-01-03 22:00:00,205.28,0.03,1.63,6.17,0.43,2.22,2.87,0.69
2025-01-03 23:00:00,205.28,0.03,1.56,5.99,0.4,2.41,3.03,0.71
2025-01-04 00:00:00,205.28,0.04,1.52,5.36,0.35,2.63,3.2,0.78
2025-01-04 01:00:00,203.61,0.06,1.44,4.43,0.3,2.88,3.41,0.92
2025-01-04 02:00:00,201.94,0.07,1.36,4.29,0.28,3.03,3.54,1.11
2025-01-04 03:00:00,200.27,0.07,1.31,4.29,0.28,3.16,3.67,1.23
2025-01-04 04:00:00,198.6,0.07,1.21,4.56,0.25,3.22,3.72,1.11
2025-01-04 05:00:00,195.26,0.04,1.11,6.26,0.24,3.19,3.69,0.94
2025-01-04 06:00:00,190.26,0.02,0.96,10.46,0.26,2.94,3.44,0.74
2025-01-04 07:00:00,186.92,0.02,0.93,12.34,0.31,2.71,3.26,0.59
2025-01-04 08:00:00,185.25,0.06,0.96,14.48,0.4,2.57,3.14,0.51
2025-01-04 09:00:00,183.58,0.04,0.57,32.19,0.45,1.64,2.0,0.19
2025-01-04 10:00:00,181.91,0.06,0.5,32.9,0.34,1.17,1.41,0.21
