Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,754.36,4.08,10.97,1.14,2.32,24.34,26.48,21.53
2025-01-01 09:00:00,774.38,4.97,10.8,2.55,2.35,25.38,27.76,19.0
2025-01-01 10:00:00,734.33,3.74,9.77,5.68,1.58,23.72,25.87,10.39
2025-01-01 11:00:00,614.17,1.47,8.14,15.02,1.0,18.72,20.32,5.76
2025-01-01 12:00:00,353.81,0.17,2.48,47.21,0.35,7.51,8.36,2.06
2025-01-01 13:00:00,280.38,0.08,1.08,59.37,0.24,4.84,5.69,1.36
2025-01-01 14:00:00,247.0,0.05,0.58,64.37,0.18,3.77,4.68,0.96
2025-01-01 15:00:00,240.33,0.05,0.6,65.8,0.18,3.64,4.58,0.99
2025-01-01 16:00:00,243.66,0.04,0.94,62.94,0.22,3.86,4.82,1.33
2025-01-01 17:00:00,250.34,0.01,1.37,60.8,0.27,3.89,4.85,1.55
2025-01-01 18:00:00,297.07,0.0,3.43,51.5,0.54,5.18,6.26,3.04
2025-01-01 19:00:00,373.84,0.0,6.17,38.98,0.86,7.72,9.1,4.62
2025-01-01 20:00:00,453.95,0.0,8.31,29.33,1.09,10.78,12.53,6.27
2025-01-01 21:00:00,520.71,0.01,9.42,22.89,1.22,13.69,15.69,7.85
2025-01-01 22:00:00,554.08,0.03,9.51,18.24,1.19,15.53,17.58,7.85
2025-01-01 23:00:00,567.44,0.04,9.25,16.09,1.09,16.34,18.21,7.28
2025-01-02 00:00:00,547.41,0.02,8.65,17.7,0.92,16.06,17.54,6.46
2025-01-02 01:00:00,567.44,0.03,8.74,16.63,0.89,17.37,18.65,7.16
2025-01-02 02:00:00,587.46,0.06,9.08,13.41,0.89,18.94,20.12,8.23
2025-01-02 03:00:00,600.81,0.1,9.08,11.18,0.88,19.92,21.0,8.61
2025-01-02 04:00:00,594.14,0.11,8.57,10.73,0.77,20.07,21.05,7.22
2025-01-02 05:00:00,574.11,0.09,7.97,10.82,0.66,19.72,20.6,5.76
2025-01-02 06:00:00,574.11,0.16,7.71,9.12,0.63,19.48,20.29,5.26
2025-01-02 07:00:00,607.49,0.43,8.4,5.99,0.83,20.98,21.95,6.4
2025-01-02 08:00:00,660.9,0.96,10.02,4.34,1.27,23.14,24.39,8.99
2025-01-02 09:00:00,720.98,1.59,11.65,3.58,1.67,25.03,26.42,12.03
2025-01-02 10:00:00,720.98,1.59,10.54,4.65,1.4,24.58,25.88,9.63
2025-01-02 11:00:00,640.87,0.79,8.31,9.75,0.93,21.14,22.13,6.21
2025-01-02 12:00:00,494.0,0.29,4.71,27.54,0.51,15.12,15.76,3.36
2025-01-02 13:00:00,447.27,0.3,3.3,40.05,0.45,13.26,13.83,3.01
2025-01-02 14:00:00,413.89,0.25,2.38,50.07,0.4,12.12,12.63,2.91
2025-01-02 15:00:00,333.79,0.11,1.32,61.51,0.25,7.3,7.62,1.93
2025-01-02 16:00:00,310.42,0.05,1.31,60.8,0.24,5.45,5.71,1.8
2025-01-02 17:00:00,313.76,0.01,1.65,56.51,0.28,5.27,5.55,1.93
2025-01-02 18:00:00,353.81,0.0,3.6,46.49,0.54,6.72,7.17,3.23
2025-01-02 19:00:00,440.6,0.0,6.34,33.62,0.88,10.28,11.1,5.07
2025-01-02 20:00:00,534.06,0.0,8.4,24.68,1.12,14.95,16.12,6.97
2025-01-02 21:00:00,614.17,0.02,10.62,18.78,1.55,19.34,20.82,12.03
2025-01-02 22:00:00,694.27,0.05,13.54,13.95,2.18,23.28,25.09,19.25
2025-01-02 23:00:00,774.38,0.16,16.62,9.3,2.74,27.13,29.18,26.35
2025-01-03 00:00:00,867.84,0.38,20.05,5.72,3.1,31.81,33.87,31.66
2025-01-03 01:00:00,947.95,0.74,22.28,3.08,3.16,35.75,37.7,34.96
2025-01-03 02:00:00,1001.36,1.38,22.96,1.33,3.16,38.06,39.87,36.98
2025-01-03 03:00:00,1068.12,2.4,22.96,0.44,3.16,41.42,43.11,39.01
2025-01-03 04:00:00,1134.87,3.63,23.31,0.11,3.19,45.24,46.78,41.04
