Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,226.97,0.02,1.76,28.61,0.46,2.24,2.61,0.51
2025-01-01 09:00:00,220.3,0.04,1.16,35.41,0.38,1.83,2.08,0.26
2025-01-01 10:00:00,220.3,0.09,1.07,36.12,0.35,1.49,1.68,0.27
2025-01-01 11:00:00,223.64,0.12,0.97,37.55,0.37,1.35,1.5,0.28
2025-01-01 12:00:00,223.64,0.12,0.88,39.7,0.4,1.27,1.39,0.31
2025-01-01 13:00:00,223.64,0.09,0.82,40.05,0.47,1.27,1.37,0.3
2025-01-01 14:00:00,220.3,0.05,0.73,39.7,0.61,1.37,1.48,0.25
2025-01-01 15:00:00,220.3,0.03,0.8,38.98,0.79,1.47,1.57,0.27
2025-01-01 16:00:00,223.64,0.02,1.06,37.91,0.89,1.48,1.59,0.34
2025-01-01 17:00:00,226.97,0.01,1.39,36.84,0.94,1.46,1.56,0.38
2025-01-01 18:00:00,230.31,0.0,1.56,36.84,0.91,1.38,1.48,0.38
2025-01-01 19:00:00,230.31,0.0,1.5,37.55,0.83,1.24,1.34,0.38
2025-01-01 20:00:00,230.31,0.0,1.36,38.62,0.75,1.14,1.24,0.36
2025-01-01 21:00:00,223.64,0.0,1.11,39.7,0.73,1.16,1.25,0.32
2025-01-01 22:00:00,226.97,0.0,1.14,39.34,0.75,1.33,1.44,0.34
2025-01-01 23:00:00,230.31,0.0,1.26,38.62,0.74,1.54,1.67,0.38
2025-01-02 00:00:00,230.31,0.0,1.25,38.62,0.7,1.74,1.88,0.36
2025-01-02 01:00:00,226.97,0.0,1.09,39.34,0.69,1.97,2.11,0.31
2025-01-02 02:00:00,223.64,0.0,0.91,40.05,0.74,2.22,2.37,0.25
2025-01-02 03:00:00,223.64,0.0,0.89,39.7,0.82,2.5,2.67,0.28
2025-01-02 04:00:00,226.97,0.0,0.93,38.62,0.91,2.76,2.94,0.3
2025-01-02 05:00:00,226.97,0.0,0.93,37.91,1.03,2.99,3.18,0.3
2025-01-02 06:00:00,223.64,0.0,0.92,36.84,1.15,3.38,3.59,0.27
2025-01-02 07:00:00,220.3,0.0,1.12,35.41,1.3,3.94,4.19,0.24
2025-01-02 08:00:00,223.64,0.03,1.61,33.97,1.43,4.44,4.74,0.23
2025-01-02 09:00:00,223.64,0.07,1.71,33.26,1.65,4.94,5.23,0.12
2025-01-02 10:00:00,220.3,0.06,1.5,33.97,1.94,5.71,5.98,0.0
2025-01-02 11:00:00,213.62,0.05,1.24,34.69,2.26,6.81,7.05,0.0
2025-01-02 12:00:00,211.95,0.04,1.11,35.41,2.38,7.67,7.88,0.0
2025-01-02 13:00:00,210.29,0.05,1.14,36.12,2.41,8.4,8.61,0.0
2025-01-02 14:00:00,210.29,0.05,1.17,36.84,2.47,8.87,9.07,0.0
2025-01-02 15:00:00,213.62,0.06,1.34,37.91,2.47,9.03,9.23,0.0
2025-01-02 16:00:00,220.3,0.05,1.74,37.91,2.38,9.11,9.33,0.0
2025-01-02 17:00:00,226.97,0.03,2.33,36.84,2.32,9.15,9.36,0.0
2025-01-02 18:00:00,233.65,0.0,2.83,35.41,2.29,8.89,9.11,0.04
2025-01-02 19:00:00,236.99,0.0,3.04,33.97,2.18,8.5,8.72,0.21
2025-01-02 20:00:00,240.33,0.0,3.04,32.9,1.94,8.04,8.25,0.37
2025-01-02 21:00:00,236.99,0.0,2.57,32.9,1.56,6.87,7.06,0.43
2025-01-02 22:00:00,226.97,0.0,1.93,34.33,1.19,5.48,5.62,0.41
2025-01-02 23:00:00,220.3,0.0,1.48,35.41,0.98,4.54,4.66,0.38
2025-01-03 00:00:00,216.96,0.0,1.12,36.84,0.91,4.07,4.16,0.28
2025-01-03 01:00:00,213.62,0.0,0.82,37.91,0.94,4.05,4.12,0.15
2025-01-03 02:00:00,213.62,0.0,0.69,37.91,1.07,4.5,4.56,0.03
2025-01-03 03:00:00,216.96,0.0,0.7,36.84,1.1,4.92,4.97,0.0
2025-01-03 04:00:00,220.3,0.0,0.76,35.41,0.97,4.83,4.88,0.01
2025-01-03 05:00:00,223.64,0.0,0.85,34.33,0.82,4.47,4.53,0.11
2025-01-03 06:00:00,223.64,0.0,0.93,32.9,0.73,4.07,4.12,0.16
2025-01-03 07:00:00,223.64,0.0,1.16,31.83,0.77,4.01,4.07,0.12
2025-01-03 08:00:00,230.31,0.04,1.52,31.47,0.91,4.37,4.44,0.09
2025-01-03 09:00:00,230.31,0.09,1.46,32.19,1.03,4.88,4.95,0.0
2025-01-03 10:00:00,230.31,0.08,1.27,33.26,1.15,5.71,5.79,0.0
