Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,647.54,2.12,12.51,10.28,2.65,26.66,29.02,14.31
2025-01-01 09:00:00,547.41,1.31,10.02,20.38,2.12,20.95,22.96,7.66
2025-01-01 10:00:00,494.0,0.78,8.57,26.46,1.89,17.8,19.63,5.19
2025-01-01 11:00:00,467.3,0.45,7.54,31.47,1.77,15.57,17.2,4.31
2025-01-01 12:00:00,460.62,0.21,7.63,29.68,1.82,13.63,15.19,4.24
2025-01-01 13:00:00,480.65,0.28,9.08,25.03,2.06,13.17,14.79,5.64
2025-01-01 14:00:00,494.0,0.38,10.8,28.61,2.47,12.45,14.05,8.23
2025-01-01 15:00:00,514.03,0.39,13.54,35.41,3.16,12.57,14.2,11.4
2025-01-01 16:00:00,567.44,0.29,17.14,37.19,3.93,14.39,16.18,14.44
2025-01-01 17:00:00,640.87,0.09,21.93,33.26,4.77,16.91,18.88,17.23
2025-01-01 18:00:00,680.92,0.0,25.36,25.39,5.36,18.69,20.87,19.0
2025-01-01 19:00:00,720.98,0.0,27.42,19.13,5.66,20.82,23.29,20.77
2025-01-01 20:00:00,774.38,0.02,29.82,14.84,5.96,23.58,26.38,23.05
2025-01-01 21:00:00,781.06,0.04,29.13,11.8,5.54,24.66,27.52,23.05
2025-01-01 22:00:00,761.03,0.1,26.73,9.39,4.95,24.56,27.38,22.04
2025-01-01 23:00:00,747.68,0.2,24.68,7.6,4.35,24.49,27.17,21.28
2025-01-02 00:00:00,734.33,0.26,22.96,6.62,3.93,24.33,26.83,21.79
2025-01-02 01:00:00,687.6,0.21,20.22,7.15,3.4,23.25,25.59,22.04
2025-01-02 02:00:00,634.19,0.14,16.45,8.85,2.71,21.53,23.64,20.52
2025-01-02 03:00:00,607.49,0.12,14.74,9.83,2.41,20.94,22.94,20.77
2025-01-02 04:00:00,607.49,0.12,14.57,9.75,2.32,21.46,23.44,22.04
2025-01-02 05:00:00,614.17,0.15,14.22,9.3,2.29,21.84,23.79,22.8
2025-01-02 06:00:00,594.14,0.17,13.37,9.12,2.24,21.19,23.14,22.04
2025-01-02 07:00:00,614.17,0.8,14.05,8.4,2.77,21.48,23.72,22.29
2025-01-02 08:00:00,687.6,4.64,13.71,12.34,4.05,24.51,27.24,24.83
2025-01-02 09:00:00,700.95,5.36,13.54,22.35,4.17,25.52,28.39,20.77
2025-01-02 10:00:00,620.84,2.65,10.45,43.27,2.83,23.91,26.45,11.53
2025-01-02 11:00:00,500.68,0.84,5.57,67.23,1.82,21.72,23.64,6.71
2025-01-02 12:00:00,290.39,0.21,1.48,61.51,0.87,8.27,8.99,2.37
