Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,253.68,0.91,8.14,27.18,3.87,2.69,2.93,2.63
2025-01-01 09:00:00,263.69,1.13,8.4,39.34,4.11,2.88,3.13,2.47
2025-01-01 10:00:00,257.02,0.62,6.94,47.21,3.37,2.57,2.79,1.74
2025-01-01 11:00:00,233.65,0.27,4.11,42.56,2.0,1.73,1.86,0.85
2025-01-01 12:00:00,208.62,0.09,1.34,31.83,0.64,0.85,0.89,0.19
2025-01-01 13:00:00,203.61,0.07,1.08,32.19,0.5,0.79,0.83,0.15
2025-01-01 14:00:00,201.94,0.07,1.23,35.76,0.54,0.91,0.96,0.15
2025-01-01 15:00:00,201.94,0.06,1.54,40.05,0.59,1.04,1.1,0.16
2025-01-01 16:00:00,201.94,0.04,1.93,42.2,0.65,1.08,1.14,0.16
2025-01-01 17:00:00,201.94,0.01,2.18,42.56,0.68,1.0,1.05,0.16
2025-01-01 18:00:00,210.29,0.0,3.64,40.77,1.1,1.12,1.19,0.3
2025-01-01 19:00:00,216.96,0.0,4.88,38.98,1.48,1.27,1.37,0.51
2025-01-01 20:00:00,220.3,0.0,4.88,37.55,1.58,1.27,1.39,0.65
2025-01-01 21:00:00,216.96,0.0,4.76,36.84,1.82,1.33,1.48,0.89
2025-01-01 22:00:00,216.96,0.0,4.41,35.76,1.91,1.39,1.57,1.06
2025-01-01 23:00:00,213.62,0.0,4.16,34.33,1.86,1.38,1.57,1.11
2025-01-02 00:00:00,211.95,0.0,3.98,32.54,1.76,1.33,1.5,1.11
2025-01-02 01:00:00,208.62,0.0,3.68,30.04,1.64,1.24,1.39,1.09
2025-01-02 02:00:00,203.61,0.0,3.3,27.54,1.52,1.21,1.35,1.08
2025-01-02 03:00:00,201.94,0.0,2.91,26.11,1.4,1.2,1.34,0.97
2025-01-02 04:00:00,200.27,0.0,2.72,25.39,1.33,1.18,1.32,0.86
2025-01-02 05:00:00,200.27,0.0,2.55,25.03,1.25,1.14,1.27,0.73
2025-01-02 06:00:00,206.95,0.0,2.51,23.25,1.18,1.2,1.33,0.68
2025-01-02 07:00:00,226.97,0.02,3.34,19.31,1.4,1.59,1.78,0.89
2025-01-02 08:00:00,247.0,0.3,4.58,19.13,1.88,2.06,2.32,1.16
2025-01-02 09:00:00,260.35,0.43,5.57,24.68,2.15,2.33,2.6,1.23
2025-01-02 10:00:00,247.0,0.34,4.41,30.04,1.77,1.99,2.22,0.94
2025-01-02 11:00:00,220.3,0.22,2.68,32.54,1.28,1.37,1.52,0.59
2025-01-02 12:00:00,201.94,0.07,1.07,32.19,0.59,0.77,0.85,0.27
2025-01-02 13:00:00,195.26,0.06,0.65,31.83,0.43,0.5,0.56,0.19
2025-01-02 14:00:00,193.6,0.06,0.48,31.83,0.36,0.5,0.54,0.15
2025-01-02 15:00:00,191.93,0.06,0.49,32.19,0.34,0.5,0.54,0.14
2025-01-02 16:00:00,193.6,0.05,0.75,33.26,0.42,0.5,0.55,0.17
2025-01-02 17:00:00,196.93,0.02,1.11,34.33,0.51,0.5,0.56,0.2
2025-01-02 18:00:00,206.95,0.0,2.72,33.62,1.06,0.68,0.78,0.42
2025-01-02 19:00:00,220.3,0.0,4.71,30.76,1.73,1.09,1.27,0.77
2025-01-02 20:00:00,230.31,0.0,5.65,28.61,2.09,1.41,1.67,1.11
2025-01-02 21:00:00,233.65,0.0,5.91,26.82,2.26,1.59,1.87,1.52
2025-01-02 22:00:00,230.31,0.0,5.4,25.75,2.15,1.48,1.75,1.76
2025-01-02 23:00:00,226.97,0.0,4.5,25.39,1.77,1.26,1.51,1.8
2025-01-03 00:00:00,220.3,0.0,3.3,27.18,1.22,1.1,1.33,1.57
2025-01-03 01:00:00,223.64,0.0,2.53,29.68,0.9,1.3,1.52,1.42
2025-01-03 02:00:00,226.97,0.0,2.16,31.83,0.77,1.64,1.86,1.36
2025-01-03 03:00:00,226.97,0.0,1.95,32.9,0.7,1.83,2.06,1.3
2025-01-03 04:00:00,223.64,0.0,1.82,33.26,0.69,1.89,2.12,1.3
2025-01-03 05:00:00,223.64,0.0,1.88,33.26,0.73,1.89,2.11,1.31
2025-01-03 06:00:00,223.64,0.0,2.27,32.9,0.95,1.98,2.2,1.52
2025-01-03 07:00:00,230.31,0.06,3.04,32.9,1.28,2.17,2.43,1.71
2025-01-03 08:00:00,243.66,0.31,3.43,40.41,1.68,2.62,2.95,1.82
2025-01-03 09:00:00,267.03,0.38,3.6,59.37,2.15,3.65,4.07,1.98
2025-01-03 10:00:00,283.72,0.3,3.21,75.82,2.44,4.92,5.39,1.98
2025-01-03 11:00:00,283.72,0.2,2.42,81.54,2.32,5.52,5.96,1.58
2025-01-03 12:00:00,273.7,0.15,1.86,81.54,1.97,5.29,5.64,1.19
2025-01-03 13:00:00,277.04,0.18,2.21,88.69,2.24,5.53,5.89,1.39
2025-01-03 14:00:00,280.38,0.2,2.57,91.55,2.59,5.48,5.81,1.58
2025-01-03 15:00:00,277.04,0.22,2.87,90.84,2.86,5.05,5.37,1.65
2025-01-03 16:00:00,277.04,0.23,3.56,86.55,3.13,4.61,4.92,1.71
2025-01-03 17:00:00,280.38,0.18,5.31,75.82,3.49,4.15,4.44,1.82
2025-01-03 18:00:00,287.06,0.02,8.23,55.79,4.05,3.58,3.85,2.03
2025-01-03 19:00:00,297.07,0.0,10.11,43.63,4.41,3.44,3.72,2.25
2025-01-03 20:00:00,300.41,0.0,10.37,42.2,4.35,3.82,4.14,2.37
2025-01-03 21:00:00,297.07,0.0,9.68,43.99,4.05,4.37,4.71,2.41
2025-01-03 22:00:00,293.73,0.0,8.83,44.7,3.78,4.6,4.97,2.41
2025-01-03 23:00:00,283.72,0.0,8.31,43.99,3.67,4.6,4.97,2.41
2025-01-04 00:00:00,273.7,0.0,7.8,43.27,3.52,4.43,4.76,2.34
2025-01-04 01:00:00,260.35,0.0,6.77,42.92,3.28,3.97,4.23,2.18
2025-01-04 02:00:00,240.33,0.0,5.27,42.92,2.89,3.28,3.49,1.82
2025-01-04 03:00:00,223.64,0.0,3.94,43.27,2.38,2.64,2.8,1.42
2025-01-04 04:00:00,216.96,0.0,3.47,42.2,2.15,2.28,2.42,1.27
2025-01-04 05:00:00,213.62,0.0,3.43,40.41,2.12,2.04,2.17,1.17
2025-01-04 06:00:00,211.95,0.0,3.51,37.91,2.09,1.77,1.89,1.09
2025-01-04 07:00:00,210.29,0.1,3.47,35.76,1.91,1.52,1.66,0.93
