Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,494.0,3.05,14.39,20.03,4.71,8.51,9.31,11.27
2025-01-01 09:00:00,587.46,3.63,19.88,43.63,6.5,10.82,11.73,11.53
2025-01-01 10:00:00,634.19,1.93,21.59,75.82,6.97,12.82,13.76,11.02
2025-01-01 11:00:00,627.52,0.79,18.68,91.55,6.44,12.86,13.73,9.75
2025-01-01 12:00:00,627.52,0.54,17.14,94.41,6.14,12.68,13.46,9.12
2025-01-01 13:00:00,600.81,0.5,14.57,94.41,5.48,11.85,12.54,8.23
2025-01-01 14:00:00,527.38,0.5,11.48,75.1,4.23,8.84,9.4,6.27
2025-01-01 15:00:00,453.95,0.44,10.02,50.07,3.04,6.69,7.18,4.31
2025-01-01 16:00:00,460.62,0.31,12.51,33.62,3.28,6.26,6.77,4.37
2025-01-01 17:00:00,514.03,0.21,17.99,21.99,4.35,6.56,7.1,5.07
2025-01-01 18:00:00,580.79,0.18,22.28,13.23,5.48,6.68,7.23,5.95
2025-01-01 19:00:00,620.84,0.36,23.99,8.58,6.08,7.06,7.68,6.9
2025-01-01 20:00:00,640.87,0.49,25.7,6.26,6.32,8.04,8.78,8.11
2025-01-01 21:00:00,627.52,0.38,24.33,6.26,5.84,8.46,9.27,8.74
2025-01-01 22:00:00,587.46,0.26,20.22,7.33,5.01,8.36,9.21,8.87
2025-01-01 23:00:00,540.73,0.22,17.31,7.96,4.23,8.16,8.98,8.74
2025-01-02 00:00:00,507.35,0.15,15.77,8.4,3.55,7.95,8.69,8.74
2025-01-02 01:00:00,473.98,0.06,13.54,9.39,2.86,7.72,8.39,8.74
2025-01-02 02:00:00,440.6,0.02,10.8,10.64,2.24,7.55,8.2,8.74
2025-01-02 03:00:00,427.25,0.02,9.68,11.35,1.97,7.8,8.47,9.5
2025-01-02 04:00:00,433.92,0.01,9.6,11.62,1.94,8.3,8.98,10.89
2025-01-02 05:00:00,440.6,0.02,9.85,11.62,2.03,8.83,9.52,12.03
2025-01-02 06:00:00,447.27,0.04,10.02,11.09,2.18,9.21,9.95,12.67
2025-01-02 07:00:00,487.33,0.38,13.19,8.31,3.16,9.94,10.8,13.3
2025-01-02 08:00:00,594.14,3.07,18.68,5.9,5.36,11.39,12.39,14.06
2025-01-02 09:00:00,640.87,5.09,20.05,12.16,6.44,11.78,12.78,12.16
2025-01-02 10:00:00,580.79,3.07,15.59,36.48,5.01,10.77,11.61,7.92
2025-01-02 11:00:00,467.3,1.02,6.77,59.37,2.53,9.27,9.87,3.23
2025-01-02 12:00:00,360.49,0.32,2.18,53.64,1.24,6.14,6.47,1.17
2025-01-02 13:00:00,367.16,0.41,3.08,49.35,1.37,6.16,6.49,1.16
2025-01-02 14:00:00,377.18,0.47,4.41,42.92,1.64,5.54,5.88,1.36
2025-01-02 15:00:00,403.88,0.55,7.11,42.2,2.5,5.08,5.43,2.37
2025-01-02 16:00:00,467.3,0.6,12.17,42.56,3.87,5.64,6.04,3.83
2025-01-02 17:00:00,554.08,0.46,20.39,37.19,5.54,6.79,7.25,5.26
2025-01-02 18:00:00,654.22,0.1,31.19,28.61,7.51,8.66,9.26,7.16
2025-01-02 19:00:00,707.63,0.0,37.7,22.71,8.58,10.48,11.24,8.87
2025-01-02 20:00:00,707.63,0.0,39.41,20.56,8.7,11.63,12.45,9.88
2025-01-02 21:00:00,694.27,0.0,37.36,19.67,8.34,12.56,13.46,10.89
2025-01-02 22:00:00,700.95,0.0,34.62,18.6,8.34,13.67,14.66,12.16
2025-01-02 23:00:00,700.95,0.02,30.85,16.27,7.87,14.2,15.2,12.54
2025-01-03 00:00:00,647.54,0.04,21.42,12.34,5.66,13.09,13.96,9.25
2025-01-03 01:00:00,587.46,0.03,15.42,11.44,4.29,11.65,12.4,8.11
2025-01-03 02:00:00,534.06,0.01,11.65,13.05,3.4,10.56,11.24,8.04
2025-01-03 03:00:00,500.68,0.01,9.94,15.2,2.89,10.07,10.73,8.61
2025-01-03 04:00:00,500.68,0.0,9.68,16.27,2.71,10.64,11.34,9.88
2025-01-03 05:00:00,500.68,0.01,9.85,16.63,2.59,11.68,12.45,10.77
2025-01-03 06:00:00,494.0,0.01,9.68,15.02,2.38,13.05,13.96,10.51
2025-01-03 07:00:00,514.03,0.63,11.31,11.44,2.95,14.03,15.12,9.88
2025-01-03 08:00:00,580.79,3.58,12.85,23.25,4.47,15.62,16.84,10.01
2025-01-03 09:00:00,540.73,2.63,10.54,45.06,3.52,14.64,15.7,5.32
2025-01-03 10:00:00,480.65,0.95,7.03,57.22,2.29,12.99,13.81,2.63
