Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,307.08,1.51,8.23,26.11,6.5,5.65,6.83,9.12
2025-01-01 09:00:00,317.1,1.58,8.31,36.84,6.79,5.66,6.82,8.11
2025-01-01 10:00:00,280.38,0.76,6.08,42.92,5.3,4.32,5.18,5.13
2025-01-01 11:00:00,240.33,0.34,3.98,39.34,3.78,2.79,3.33,2.44
2025-01-01 12:00:00,208.62,0.12,2.4,38.62,2.68,1.43,1.62,0.68
2025-01-01 13:00:00,203.61,0.07,2.14,36.84,2.24,1.11,1.26,0.59
2025-01-01 14:00:00,200.27,0.05,2.01,36.12,2.12,0.96,1.1,0.55
2025-01-01 15:00:00,206.95,0.04,2.68,32.54,2.44,1.13,1.36,1.01
2025-01-01 16:00:00,220.3,0.04,3.73,28.25,2.83,1.51,1.89,1.65
2025-01-01 17:00:00,236.99,0.03,4.93,26.11,3.1,1.82,2.31,2.18
2025-01-01 18:00:00,250.34,0.01,5.74,25.75,3.37,2.04,2.62,2.88
2025-01-01 19:00:00,267.03,0.0,6.51,26.82,3.87,2.58,3.33,4.02
2025-01-01 20:00:00,287.06,0.0,7.45,27.89,4.83,3.55,4.52,5.57
2025-01-01 21:00:00,300.41,0.0,7.63,30.04,5.19,4.31,5.28,6.02
2025-01-01 22:00:00,307.08,0.0,7.71,30.4,4.83,4.89,5.83,5.89
2025-01-01 23:00:00,310.42,0.0,7.97,29.68,4.47,5.42,6.33,5.95
2025-01-02 00:00:00,310.42,0.0,7.88,28.61,4.11,5.67,6.53,6.4
2025-01-02 01:00:00,297.07,0.0,7.03,28.25,3.7,5.41,6.21,6.33
2025-01-02 02:00:00,277.04,0.0,6.0,27.89,3.19,4.78,5.5,5.7
2025-01-02 03:00:00,267.03,0.0,5.57,26.46,2.86,4.53,5.23,5.38
2025-01-02 04:00:00,260.35,0.0,5.27,25.39,2.62,4.37,5.07,4.88
2025-01-02 05:00:00,250.34,0.0,5.01,23.96,2.44,4.02,4.71,4.12
2025-01-02 06:00:00,236.99,0.01,4.67,22.89,2.26,3.27,3.85,3.01
2025-01-02 07:00:00,240.33,0.03,5.1,20.74,2.35,2.9,3.51,2.31
2025-01-02 08:00:00,250.34,0.16,5.65,20.03,2.71,2.8,3.43,1.88
2025-01-02 09:00:00,236.99,0.26,4.71,24.68,2.86,2.3,2.75,1.19
2025-01-02 10:00:00,226.97,0.34,3.81,29.33,2.92,2.19,2.58,1.0
2025-01-02 11:00:00,216.96,0.31,2.96,36.84,3.07,2.1,2.43,0.83
2025-01-02 12:00:00,208.62,0.21,2.16,43.63,2.8,1.85,2.11,0.65
2025-01-02 13:00:00,206.95,0.16,2.1,47.92,2.86,1.9,2.16,0.67
2025-01-02 14:00:00,206.95,0.13,2.18,50.78,2.83,2.04,2.31,0.69
2025-01-02 15:00:00,220.3,0.15,3.13,46.49,2.95,2.68,3.04,1.19
2025-01-02 16:00:00,240.33,0.12,4.8,40.41,3.22,3.6,4.11,1.87
2025-01-02 17:00:00,263.69,0.05,6.68,36.84,3.67,4.38,5.01,2.53
2025-01-02 18:00:00,280.38,0.0,8.23,36.48,4.35,4.8,5.54,3.67
2025-01-02 19:00:00,293.73,0.0,9.17,36.12,5.25,5.13,6.03,5.26
2025-01-02 20:00:00,313.76,0.0,10.45,34.69,6.32,5.93,7.04,7.22
2025-01-02 21:00:00,320.43,0.0,10.54,34.69,7.33,6.32,7.58,8.74
2025-01-02 22:00:00,320.43,0.0,9.85,33.97,8.11,6.24,7.57,9.63
