Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,433.92,0.19,4.54,39.7,1.1,7.64,10.4,2.03
2025-01-01 09:00:00,420.57,0.3,2.96,52.21,1.03,7.84,10.6,1.9
2025-01-01 10:00:00,413.89,0.22,1.95,70.1,1.03,9.48,12.27,1.85
2025-01-01 11:00:00,407.22,0.13,1.2,86.55,0.98,12.14,14.96,1.82
2025-01-01 12:00:00,393.87,0.09,0.85,94.41,0.86,14.28,17.02,1.71
2025-01-01 13:00:00,383.85,0.07,0.72,98.71,0.78,16.17,18.89,1.61
2025-01-01 14:00:00,373.84,0.07,0.68,100.14,0.78,18.41,21.17,1.57
2025-01-01 15:00:00,357.15,0.03,0.76,97.27,0.7,17.9,20.51,1.38
2025-01-01 16:00:00,360.49,0.02,0.87,95.84,0.69,19.48,22.4,1.23
2025-01-01 17:00:00,370.5,0.01,0.9,91.55,0.6,20.65,23.78,1.01
2025-01-01 18:00:00,373.84,0.0,0.88,86.55,0.54,20.46,23.06,0.78
2025-01-01 19:00:00,370.5,0.0,0.81,82.97,0.48,19.71,21.69,0.61
2025-01-01 20:00:00,360.49,0.0,0.69,82.25,0.37,18.32,19.89,0.47
2025-01-01 21:00:00,363.83,0.0,0.73,83.68,0.34,18.12,19.46,0.47
2025-01-01 22:00:00,380.52,0.0,1.07,82.25,0.44,17.96,19.26,0.55
2025-01-01 23:00:00,393.87,0.0,1.46,77.25,0.5,15.33,16.56,0.63
2025-01-02 00:00:00,393.87,0.0,1.95,67.23,0.53,11.23,12.31,0.74
2025-01-02 01:00:00,400.54,0.0,3.21,53.64,0.68,7.66,8.62,0.89
2025-01-02 02:00:00,410.56,0.0,4.63,43.27,0.83,5.92,6.84,1.06
2025-01-02 03:00:00,417.23,0.0,5.14,39.34,0.92,5.78,6.88,1.27
2025-01-02 04:00:00,420.57,0.0,5.23,37.91,0.98,6.14,7.6,1.52
2025-01-02 05:00:00,427.25,0.0,5.44,36.48,1.07,6.61,8.43,1.71
2025-01-02 06:00:00,447.27,0.0,5.91,33.97,1.19,7.32,9.42,1.82
2025-01-02 07:00:00,453.95,0.0,6.17,32.19,1.19,7.99,10.21,1.76
2025-01-02 08:00:00,460.62,0.05,6.0,32.19,1.1,8.37,10.64,1.58
2025-01-02 09:00:00,453.95,0.21,5.27,35.41,1.04,8.87,11.22,1.42
2025-01-02 10:00:00,447.27,0.24,4.03,45.06,1.04,9.91,12.23,1.22
2025-01-02 11:00:00,427.25,0.14,2.38,59.37,0.94,11.52,13.58,0.89
2025-01-02 12:00:00,400.54,0.07,1.15,70.1,0.66,13.36,14.78,0.46
2025-01-02 13:00:00,390.53,0.05,0.69,74.39,0.41,15.32,16.34,0.21
2025-01-02 14:00:00,380.52,0.04,0.55,73.67,0.3,15.54,16.41,0.12
2025-01-02 15:00:00,343.8,0.03,0.44,71.53,0.24,12.5,13.19,0.08
2025-01-02 16:00:00,327.11,0.02,0.38,72.24,0.18,12.29,13.12,0.05
2025-01-02 17:00:00,360.49,0.0,0.4,78.68,0.16,16.9,18.15,0.02
2025-01-02 18:00:00,393.87,0.0,0.44,85.83,0.15,20.31,21.68,0.02
2025-01-02 19:00:00,403.88,0.0,0.47,89.41,0.14,20.56,21.86,0.02
2025-01-02 20:00:00,407.22,0.0,0.48,89.41,0.13,20.03,21.29,0.04
2025-01-02 21:00:00,407.22,0.0,0.5,87.26,0.14,19.69,21.09,0.06
2025-01-02 22:00:00,400.54,0.0,0.59,82.97,0.13,19.24,20.74,0.11
2025-01-02 23:00:00,383.85,0.0,0.72,77.96,0.23,16.88,18.2,0.15
2025-01-03 00:00:00,363.83,0.0,1.74,72.24,1.85,14.27,15.24,0.08
2025-01-03 01:00:00,360.49,0.0,5.18,65.09,6.62,15.31,16.15,0.0
2025-01-03 02:00:00,373.84,0.0,6.6,61.51,8.7,16.21,17.07,0.0
2025-01-03 03:00:00,380.52,0.0,5.83,59.37,7.15,13.96,14.81,0.0
2025-01-03 04:00:00,377.18,0.0,5.65,54.36,5.72,11.34,12.24,0.07
2025-01-03 05:00:00,373.84,0.0,6.08,49.35,4.95,9.87,10.81,0.11
2025-01-03 06:00:00,350.48,0.0,5.44,46.49,3.58,7.36,8.2,0.05
2025-01-03 07:00:00,337.12,0.0,4.46,45.06,2.21,5.55,6.28,0.1
2025-01-03 08:00:00,327.11,0.0,4.24,43.99,1.73,4.94,5.65,0.09
2025-01-03 09:00:00,330.45,0.04,4.28,43.63,1.65,5.04,5.8,0.06
2025-01-03 10:00:00,350.48,0.11,3.86,44.7,1.18,5.25,6.15,0.11
2025-01-03 11:00:00,387.19,0.19,3.13,47.92,0.7,5.87,6.99,0.23
2025-01-03 12:00:00,417.23,0.21,1.99,55.79,0.54,7.47,8.61,0.3
2025-01-03 13:00:00,427.25,0.14,1.48,60.8,0.48,8.97,9.95,0.28
2025-01-03 14:00:00,417.23,0.1,1.21,61.51,0.36,8.75,9.47,0.2
2025-01-03 15:00:00,353.81,0.03,0.95,58.65,0.21,5.67,6.11,0.07
2025-01-03 16:00:00,290.39,0.01,0.88,55.79,0.24,3.55,3.88,0.01
2025-01-03 17:00:00,257.02,0.0,1.07,55.79,0.33,3.35,3.65,0.0
2025-01-03 18:00:00,250.34,0.0,1.15,57.94,0.3,3.9,4.22,0.0
2025-01-03 19:00:00,277.04,0.0,0.92,59.37,0.17,4.49,4.84,0.0
2025-01-03 20:00:00,307.08,0.0,0.66,62.94,0.08,4.89,5.25,0.0
2025-01-03 21:00:00,327.11,0.0,0.58,66.52,0.06,4.93,5.31,0.02
2025-01-03 22:00:00,350.48,0.0,0.77,64.37,0.07,5.48,5.89,0.08
