Date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-01-01 08:00:00,200.27,0.05,1.18,25.39,0.19,1.16,1.42,0.53
2025-01-01 09:00:00,198.6,0.07,1.06,25.39,0.23,1.08,1.36,0.52
2025-01-01 10:00:00,196.93,0.06,0.85,28.61,0.22,0.89,1.15,0.46
2025-01-01 11:00:00,195.26,0.06,0.69,31.11,0.2,0.74,1.02,0.44
2025-01-01 12:00:00,196.93,0.05,0.6,32.9,0.2,0.71,0.99,0.44
2025-01-01 13:00:00,196.93,0.04,0.5,33.97,0.21,0.68,0.95,0.44
2025-01-01 14:00:00,196.93,0.03,0.41,34.33,0.23,0.62,0.85,0.44
2025-01-01 15:00:00,195.26,0.02,0.37,34.33,0.26,0.5,0.68,0.38
2025-01-01 16:00:00,195.26,0.01,0.36,33.97,0.26,0.5,0.63,0.33
2025-01-01 17:00:00,193.6,0.0,0.39,33.62,0.26,0.5,0.62,0.31
2025-01-01 18:00:00,193.6,0.0,0.42,32.54,0.26,0.5,0.62,0.29
2025-01-01 19:00:00,193.6,0.0,0.49,30.76,0.25,0.51,0.64,0.28
2025-01-01 20:00:00,195.26,0.0,0.61,28.97,0.25,0.6,0.77,0.28
2025-01-01 21:00:00,198.6,0.0,0.91,26.82,0.26,0.78,1.03,0.32
2025-01-01 22:00:00,201.94,0.0,1.23,25.75,0.28,0.99,1.3,0.35
2025-01-01 23:00:00,203.61,0.0,1.39,26.82,0.27,1.09,1.4,0.34
2025-01-02 00:00:00,203.61,0.0,1.46,27.18,0.25,1.11,1.41,0.34
2025-01-02 01:00:00,201.94,0.0,1.37,26.11,0.21,1.07,1.33,0.35
2025-01-02 02:00:00,196.93,0.0,1.14,25.39,0.16,0.87,1.07,0.34
2025-01-02 03:00:00,191.93,0.0,0.93,25.39,0.12,0.67,0.83,0.33
2025-01-02 04:00:00,190.26,0.0,0.8,25.75,0.11,0.55,0.72,0.33
2025-01-02 05:00:00,190.26,0.0,0.73,26.82,0.1,0.5,0.67,0.32
2025-01-02 06:00:00,190.26,0.0,0.67,28.61,0.09,0.5,0.67,0.32
2025-01-02 07:00:00,191.93,0.0,0.65,30.4,0.1,0.5,0.68,0.34
2025-01-02 08:00:00,193.6,0.02,0.67,31.11,0.13,0.5,0.71,0.38
2025-01-02 09:00:00,201.94,0.03,0.92,30.4,0.22,0.52,0.88,0.65
2025-01-02 10:00:00,210.29,0.03,1.18,29.68,0.34,0.73,1.27,1.06
2025-01-02 11:00:00,213.62,0.03,1.19,29.33,0.4,0.84,1.47,1.31
2025-01-02 12:00:00,216.96,0.03,1.16,28.97,0.44,0.95,1.62,1.47
2025-01-02 13:00:00,213.62,0.03,0.97,28.61,0.39,0.93,1.53,1.31
